Run,Antibiogram,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Isolate,Isolation_source,Lat_Lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Plasmid(s)_found,Platform,ReleaseDate,Sample Name,Sequence_Type,SRA Study,STRAIN,Host_disease,Host
SRR19575916,AMC-CRO-CIP-GEN-MXF-TOB-SXT,WGS,601,400323950,PRJNA756559,SAMN27524654,Pathogen.cl,281784521,NML,NML,31/07/2016,public,"sra,fastq,wgmlst_sig,realign","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX15627785,Canada,North America,Canada: ONTARIO,Illumina MiSeq,Not applicable,human,Not collected,N17-01023,PAIRED,RANDOM,GENOMIC,Escherichia coli,"IncFIA, IncFIB(AP001918)",ILLUMINA,2022-08-08T00:00:00Z,N17-01023,95,SRP378977,131,E. coli gastroenteritis,Homo sapiens
SRR19575917,CRO-CIP-GEN-MXF,WGS,601,346881778,PRJNA756559,SAMN27524652,Pathogen.cl,242569643,NML,NML,31/07/2016,public,"sra,fastq,realign,wgmlst_sig","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX15627784,Canada,North America,Canada: QUEBEC,Illumina MiSeq,Not applicable,human,Not collected,N17-01011,PAIRED,RANDOM,GENOMIC,Escherichia coli,"Col156, IncFIA",ILLUMINA,2022-08-08T00:00:00Z,N17-01011,155,SRP378977,131,E. coli gastroenteritis,Homo sapiens
SRR19575918,CRO-CIP-DOX-GEN-MXF-TOB-SXT,WGS,599,495233131,PRJNA756559,SAMN27524600,Pathogen.cl,338412180,NML,NML,31/07/2014,public,"realign,wgmlst_sig,sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX15627783,Canada,North America,Canada: ONTARIO,Illumina MiSeq,Not applicable,human,Not collected,N16-02121,PAIRED,RANDOM,GENOMIC,Escherichia coli,"IncFIA, IncFIB(AP001918), IncFII(pAMA1167-NDM-5), IncQ1",ILLUMINA,2022-08-08T00:00:00Z,N16-02121,10,SRP378977,648,E. coli gastroenteritis,Homo sapiens
SRR19575919,CRO-CIP-GEN-MXF-TOB-SXT,WGS,601,495667194,PRJNA756559,SAMN27524646,Pathogen.cl,350391130,NML,NML,31/07/2016,public,"wgmlst_sig,realign,sra,fastq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX15627782,Canada,North America,Canada: ONTARIO,Illumina MiSeq,Not applicable,human,Not collected,N17-00991,PAIRED,RANDOM,GENOMIC,Escherichia coli,"Col156, IncFIA, IncFIB(AP001918), IncFII(pRSB107)",ILLUMINA,2022-08-08T00:00:00Z,N17-00991,48,SRP378977,131,E. coli gastroenteritis,Homo sapiens
SRR19575920,CRO-CIP-GEN-MXF-TOB,WGS,601,654078671,PRJNA756559,SAMN27524611,Pathogen.cl,443279291,NML,NML,31/07/2015,public,"realign,fastq,sra,wgmlst_sig","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX15627781,Canada,North America,Canada: ONTARIO,Illumina MiSeq,Not applicable,human,Not collected,N16-02166,PAIRED,RANDOM,GENOMIC,Escherichia coli,"Col156, IncFIA, IncFIB(AP001918)",ILLUMINA,2022-08-08T00:00:00Z,N16-02166,131,SRP378977,131,E. coli gastroenteritis,Homo sapiens
SRR19575921,CFZ-CRO-CIP-GEN-MXF,WGS,601,522390777,PRJNA756559,SAMN27524631,Pathogen.cl,380720909,NML,NML,31/07/2014,public,"fastq,realign,wgmlst_sig,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX15627780,Canada,North America,Canada: ALBERTA,Illumina MiSeq,Not applicable,human,Not collected,N16-03045,PAIRED,RANDOM,GENOMIC,Escherichia coli,"Col156, IncFIA, IncFII(pRSB107), IncX4",ILLUMINA,2022-08-08T00:00:00Z,N16-03045,131,SRP378977,131,E. coli gastroenteritis,Homo sapiens
SRR19575922,CRO-CIP-GEN-MXF-TOB,WGS,601,436009243,PRJNA756559,SAMN27524619,Pathogen.cl,295057905,NML,NML,31/07/2015,public,"wgmlst_sig,sra,realign,fastq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX15627779,Canada,North America,Canada: PRINCE EDWARD ISLAND,Illumina MiSeq,Not applicable,human,Not collected,N16-02205,PAIRED,RANDOM,GENOMIC,Escherichia coli,"IncFIA, IncFIB(AP001918)",ILLUMINA,2022-08-08T00:00:00Z,N16-02205,295,SRP378977,131,E. coli gastroenteritis,Homo sapiens
SRR19575923,CFZ-CRO-CIP-GEN-MXF-TOB,WGS,601,458028516,PRJNA756559,SAMN27524622,Pathogen.cl,307327457,NML,NML,31/07/2015,public,"fastq,sra,realign,wgmlst_sig","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX15627778,Canada,North America,Canada: ONTARIO,Illumina MiSeq,Not applicable,human,Not collected,N16-02211,PAIRED,RANDOM,GENOMIC,Escherichia coli,"IncFIA, IncFII",ILLUMINA,2022-08-08T00:00:00Z,N16-02211,3764,SRP378977,131,E. coli gastroenteritis,Homo sapiens
SRR19575924,CRO-CIP-DOX-GEN-MXF-TOB,WGS,601,488468461,PRJNA756559,SAMN27524634,Pathogen.cl,341735787,NML,NML,31/07/2016,public,"sra,realign,fastq,wgmlst_sig","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX15627777,Canada,North America,Canada: MANITOBA,Illumina MiSeq,Not applicable,human,Not collected,N17-00944,PAIRED,RANDOM,GENOMIC,Escherichia coli,"IncFIA, IncFIB(AP001918), IncI1",ILLUMINA,2022-08-08T00:00:00Z,N17-00944,349,SRP378977,131,E. coli gastroenteritis,Homo sapiens
SRR19575925,CFZ-CRO-CIP-GEN-MXF-TOB,WGS,601,620748873,PRJNA756559,SAMN27524620,Pathogen.cl,423811523,NML,NML,31/07/2015,public,"realign,wgmlst_sig,fastq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX15627776,Canada,North America,Canada: PRINCE EDWARD ISLAND,Illumina MiSeq,Not applicable,human,Not collected,N16-02206,PAIRED,RANDOM,GENOMIC,Escherichia coli,"IncFIA, IncFIB(AP001918)",ILLUMINA,2022-08-08T00:00:00Z,N16-02206,1140,SRP378977,131,E. coli gastroenteritis,Homo sapiens
SRR19575926,CRO-CIP-DOX-GEN-MXF-TGC-SXT,WGS,601,487539531,PRJNA756559,SAMN27524628,Pathogen.cl,357612351,NML,NML,31/07/2014,public,"wgmlst_sig,sra,realign,fastq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX15627775,Canada,North America,Canada: ONTARIO,Illumina MiSeq,Not applicable,human,Not collected,N16-03033,PAIRED,RANDOM,GENOMIC,Escherichia coli,"Col(BS512), Col(KPHS6), IncFII(pRSB107)",ILLUMINA,2022-08-08T00:00:00Z,N16-03033,10,SRP378977,648,E. coli gastroenteritis,Homo sapiens
SRR19575927,AMC-CRO-GEN,WGS,600,568992791,PRJNA756559,SAMN27524625,Pathogen.cl,370567926,NML,NML,31/07/2014,public,"sra,realign,wgmlst_sig,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX15627774,Canada,North America,Canada: NOVA SCOTIA,Illumina MiSeq,Not applicable,human,Not collected,N16-02233,PAIRED,RANDOM,GENOMIC,Escherichia coli,"IncA/C2, IncFIA, IncFIB(AP001918)",ILLUMINA,2022-08-08T00:00:00Z,N16-02233,117,SRP378977,69,E. coli gastroenteritis,Homo sapiens
SRR19575928,CRO-CIP-DOX-GEN-MXF-TGC-SXT,WGS,601,517811193,PRJNA756559,SAMN27524644,Pathogen.cl,366686525,NML,NML,31/07/2016,public,"fastq,sra,wgmlst_sig,realign","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX15627773,Canada,North America,Canada: QUEBEC,Illumina MiSeq,Not applicable,human,Not collected,N17-00986,PAIRED,RANDOM,GENOMIC,Escherichia coli,"IncFIB(AP001918), IncX4",ILLUMINA,2022-08-08T00:00:00Z,N17-00986,295,SRP378977,167,E. coli gastroenteritis,Homo sapiens
SRR19575929,CFZ-CRO-CIP-GEN-MXF-TOB,WGS,601,524278022,PRJNA756559,SAMN27524641,Pathogen.cl,371876512,NML,NML,31/07/2016,public,"fastq,wgmlst_sig,sra,realign","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX15627772,Canada,North America,Canada: BRITISH COLUMBIA,Illumina MiSeq,Not applicable,human,Not collected,N17-00983,PAIRED,RANDOM,GENOMIC,Escherichia coli,"Col440II, IncB/O/K/Z, IncFIA, IncFIB(AP001918)",ILLUMINA,2022-08-08T00:00:00Z,N17-00983,38,SRP378977,131,E. coli gastroenteritis,Homo sapiens
SRR19575930,AMC-CAZ-CRO-CIP-GEN-MXF-TOB,WGS,599,483729664,PRJNA756559,SAMN27524605,Pathogen.cl,327638960,NML,NML,31/07/2014,public,"sra,realign,wgmlst_sig,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX15627771,Canada,North America,Canada: ONTARIO,Illumina MiSeq,Not applicable,human,Not collected,N16-02133,PAIRED,RANDOM,GENOMIC,Escherichia coli,IncN3,ILLUMINA,2022-08-08T00:00:00Z,N16-02133,410,SRP378977,131,E. coli gastroenteritis,Homo sapiens
SRR19575931,CRO-CIP-GEN-MXF,WGS,601,453906045,PRJNA756559,SAMN27524629,Pathogen.cl,286999625,NML,NML,31/07/2014,public,"sra,fastq,wgmlst_sig,realign","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX15627770,Canada,North America,Canada: PRINCE EDWARD ISLAND,Illumina MiSeq,Not applicable,human,Not collected,N16-03039,PAIRED,RANDOM,GENOMIC,Escherichia coli,"Col156, IncFIA, IncFII(pRSB107)",ILLUMINA,2022-08-08T00:00:00Z,N16-03039,131,SRP378977,131,E. coli gastroenteritis,Homo sapiens
SRR19575932,CRO-CIP-DOX-GEN-MXF-SXT,WGS,601,554476050,PRJNA756559,SAMN27524609,Pathogen.cl,377888919,NML,NML,31/07/2015,public,"fastq,realign,wgmlst_sig,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX15627769,Canada,North America,Canada: NEW BRUNSWICK,Illumina MiSeq,Not applicable,human,Not collected,N16-02155,PAIRED,RANDOM,GENOMIC,Escherichia coli,"IncFIB(AP001918), IncFII(pHN7A8)",ILLUMINA,2022-08-08T00:00:00Z,N16-02155,57,SRP378977,410,E. coli gastroenteritis,Homo sapiens
SRR19575933,CRO-CIP-GEN-MXF-TOB-SXT,WGS,601,697049343,PRJNA756559,SAMN27524624,Pathogen.cl,445027025,NML,NML,31/07/2015,public,"fastq,wgmlst_sig,realign,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX15627768,Canada,North America,Canada: ONTARIO,Illumina MiSeq,Not applicable,human,Not collected,N16-02221,PAIRED,RANDOM,GENOMIC,Escherichia coli,"Col156, IncFIA, IncFIB(AP001918)",ILLUMINA,2022-08-08T00:00:00Z,N16-02221,2223,SRP378977,131,E. coli gastroenteritis,Homo sapiens
SRR19575934,CRO-CIP-DOX-GEN-MXF-SXT,WGS,600,477565747,PRJNA756559,SAMN27524591,Pathogen.cl,310357990,NML,NML,31/07/2014,public,"fastq,realign,wgmlst_sig,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX15627767,Canada,North America,Canada: BRITISH COLUMBIA,Illumina MiSeq,Not applicable,human,Not collected,N16-02099,PAIRED,RANDOM,GENOMIC,Escherichia coli,None,ILLUMINA,2022-08-08T00:00:00Z,N16-02099,131,SRP378977,405,E. coli gastroenteritis,Homo sapiens
SRR19575935,CFZ-CRO-CIP-GEN-MXF-TOB-SXT,WGS,600,390763442,PRJNA756559,SAMN27524598,Pathogen.cl,248624865,NML,NML,31/07/2014,public,"realign,sra,wgmlst_sig,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX15627766,Canada,North America,Canada: ONTARIO,Illumina MiSeq,Not applicable,human,Not collected,N16-02117,PAIRED,RANDOM,GENOMIC,Escherichia coli,"IncFIA, IncFII",ILLUMINA,2022-08-08T00:00:00Z,N16-02117,38,SRP378977,131,E. coli gastroenteritis,Homo sapiens
SRR19575936,AMC-CFZ-FOX-CRO-CIP-GEN-MXF-TOB-SXT,WGS,601,491346757,PRJNA756559,SAMN27524647,Pathogen.cl,344221919,NML,NML,31/07/2016,public,"sra,fastq,wgmlst_sig,realign","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX15627765,Canada,North America,Canada: ONTARIO,Illumina MiSeq,Not applicable,human,Not collected,N17-00998,PAIRED,RANDOM,GENOMIC,Escherichia coli,"Col156, IncFIA, IncFIB(AP001918), IncFII(pRSB107)",ILLUMINA,2022-08-08T00:00:00Z,N17-00998,57,SRP378977,131,E. coli gastroenteritis,Homo sapiens
SRR19575937,AMC-CRO-ETP-GEN-TZP-TOB-SXT,WGS,599,553475452,PRJNA756559,SAMN27524606,Pathogen.cl,377356910,NML,NML,31/07/2014,public,"fastq,wgmlst_sig,sra,realign","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX15627764,Canada,North America,Canada: ONTARIO,Illumina MiSeq,Not applicable,human,Not collected,N16-02134,PAIRED,RANDOM,GENOMIC,Escherichia coli,None,ILLUMINA,2022-08-08T00:00:00Z,N16-02134,131,SRP378977,38,E. coli gastroenteritis,Homo sapiens
SRR19575938,CFZ-CRO-CIP-GEN-MXF-SXT,WGS,601,363293185,PRJNA756559,SAMN27524648,Pathogen.cl,254621256,NML,NML,31/07/2016,public,"wgmlst_sig,sra,realign,fastq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX15627763,Canada,North America,Canada: ONTARIO,Illumina MiSeq,Not applicable,human,Not collected,N17-00999,PAIRED,RANDOM,GENOMIC,Escherichia coli,"IncFIA, IncFII(pRSB107)",ILLUMINA,2022-08-08T00:00:00Z,N17-00999,57,SRP378977,131,E. coli gastroenteritis,Homo sapiens
SRR19575939,CRO-DOX-GEN-TOB,WGS,601,402495365,PRJNA756559,SAMN27524637,Pathogen.cl,283917623,NML,NML,31/07/2016,public,"wgmlst_sig,realign,sra,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX15627762,Canada,North America,Canada: SASKATCHEWAN,Illumina MiSeq,Not applicable,human,Not collected,N17-00960,PAIRED,RANDOM,GENOMIC,Escherichia coli,"Col(MP18), IncFII",ILLUMINA,2022-08-08T00:00:00Z,N17-00960,131,SRP378977,38,E. coli gastroenteritis,Homo sapiens
SRR19575940,AMC-CRO-CIP-GEN-MXF-TZP-TOB-SXT,WGS,599,491503948,PRJNA756559,SAMN27524599,Pathogen.cl,338060209,NML,NML,31/07/2014,public,"sra,wgmlst_sig,fastq,realign","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX15627761,Canada,North America,Canada: ONTARIO,Illumina MiSeq,Not applicable,human,Not collected,N16-02119,PAIRED,RANDOM,GENOMIC,Escherichia coli,IncFIB(AP001918),ILLUMINA,2022-08-08T00:00:00Z,N16-02119,1140,SRP378977,131,E. coli gastroenteritis,Homo sapiens
SRR19575941,CRO-CIP-DOX-GEN-MXF-TGC-SXT,WGS,601,496794494,PRJNA756559,SAMN27524640,Pathogen.cl,352686685,NML,NML,31/07/2016,public,"fastq,realign,wgmlst_sig,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX15627760,Canada,North America,Canada: QUEBEC,Illumina MiSeq,Not applicable,human,Not collected,N17-00974,PAIRED,RANDOM,GENOMIC,Escherichia coli,"IncFIB(AP001918), IncX4",ILLUMINA,2022-08-08T00:00:00Z,N17-00974,1141,SRP378977,167,E. coli gastroenteritis,Homo sapiens
SRR19575942,CRO-CIP-DOX-GEN-MXF-TOB-SXT,WGS,601,600487897,PRJNA756559,SAMN27524612,Pathogen.cl,405955622,NML,NML,31/07/2015,public,"wgmlst_sig,fastq,realign,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX15627759,Canada,North America,Canada: NOVA SCOTIA,Illumina MiSeq,Not applicable,human,Not collected,N16-02170,PAIRED,RANDOM,GENOMIC,Escherichia coli,"IncFIA, IncFII",ILLUMINA,2022-08-08T00:00:00Z,N16-02170,131,SRP378977,131,E. coli gastroenteritis,Homo sapiens
SRR19575943,AMC-CRO-CIP-GEN-MXF-TOB-SXT,WGS,601,309186275,PRJNA756559,SAMN27524656,Pathogen.cl,218611639,NML,NML,31/07/2016,public,"fastq,realign,wgmlst_sig,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX15627758,Canada,North America,Canada: BRITISH COLUMBIA,Illumina MiSeq,Not applicable,human,Not collected,N17-01029,PAIRED,RANDOM,GENOMIC,Escherichia coli,"Col156, IncFIA",ILLUMINA,2022-08-08T00:00:00Z,N17-01029,69,SRP378977,131,E. coli gastroenteritis,Homo sapiens
SRR19575944,CRO-CIP-DOX-GEN-MXF-TOB-SXT,WGS,599,452674863,PRJNA756559,SAMN27524595,Pathogen.cl,309495625,NML,NML,31/07/2014,public,"fastq,wgmlst_sig,sra,realign","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX15627757,Canada,North America,Canada: BRITISH COLUMBIA,Illumina MiSeq,Not applicable,human,Not collected,N16-02108,PAIRED,RANDOM,GENOMIC,Escherichia coli,"IncFIA, IncFIB(AP001918)",ILLUMINA,2022-08-08T00:00:00Z,N16-02108,1193,SRP378977,131,E. coli gastroenteritis,Homo sapiens
SRR19575945,CRO-CIP-GEN-MXF-TOB-SXT,WGS,601,629215005,PRJNA756559,SAMN27524602,Pathogen.cl,417482063,NML,NML,31/07/2014,public,"fastq,sra,realign,wgmlst_sig","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX15627756,Canada,North America,Canada: NOVA SCOTIA,Illumina MiSeq,Not applicable,human,Not collected,N16-02125,PAIRED,RANDOM,GENOMIC,Escherichia coli,"Col(BS512), Col156, IncFIA, IncFIB(AP001918), IncFII(pRSB107)",ILLUMINA,2022-08-08T00:00:00Z,N16-02125,328,SRP378977,405,E. coli gastroenteritis,Homo sapiens
SRR19575946,AMK-AMC-CFZ-CRO-CIP-GEN-MXF-TZP-TOB-SXT,WGS,601,519201170,PRJNA756559,SAMN27524632,Pathogen.cl,371937324,NML,NML,31/07/2014,public,"sra,wgmlst_sig,fastq,realign","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX15627755,Canada,North America,Canada: ONTARIO,Illumina MiSeq,Not applicable,human,Not collected,N16-03046,PAIRED,RANDOM,GENOMIC,Escherichia coli,"IncFIA, IncFIB(AP001918)",ILLUMINA,2022-08-08T00:00:00Z,N16-03046,131,SRP378977,38,E. coli gastroenteritis,Homo sapiens
SRR19575947,CRO-CIP-GEN-MXF-TOB,WGS,601,396426095,PRJNA756559,SAMN27524642,Pathogen.cl,279974663,NML,NML,31/07/2016,public,"realign,fastq,wgmlst_sig,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX15627754,Canada,North America,Canada: SASKATCHEWAN,Illumina MiSeq,Not applicable,human,Not collected,N17-00984,PAIRED,RANDOM,GENOMIC,Escherichia coli,"Col(BS512), Col156, IncFIA",ILLUMINA,2022-08-08T00:00:00Z,N17-00984,10,SRP378977,1193,E. coli gastroenteritis,Homo sapiens
SRR19575948,CRO-CIP-GEN-MXF-TOB-SXT,WGS,601,460578169,PRJNA756559,SAMN27524643,Pathogen.cl,328249747,NML,NML,31/07/2016,public,"realign,fastq,wgmlst_sig,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX15627753,Canada,North America,Canada: SASKATCHEWAN,Illumina MiSeq,Not applicable,human,Not collected,N17-00985,PAIRED,RANDOM,GENOMIC,Escherichia coli,IncFIA,ILLUMINA,2022-08-08T00:00:00Z,N17-00985,349,SRP378977,131,E. coli gastroenteritis,Homo sapiens
SRR19575949,CRO-CIP-DOX-GEN-MXF-SXT,WGS,600,680543059,PRJNA756559,SAMN27524588,Pathogen.cl,464373512,NML,NML,31/07/2014,public,"sra,realign,fastq,wgmlst_sig","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX15627752,Canada,North America,Canada: MANITOBA,Illumina MiSeq,Not applicable,human,Not collected,N16-02096,PAIRED,RANDOM,GENOMIC,Escherichia coli,"Col8282, IncFII",ILLUMINA,2022-08-08T00:00:00Z,N16-02096,1431,SRP378977,131,E. coli gastroenteritis,Homo sapiens
