Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,Isolate,Isolation_Source,Sample ID,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SAMPLE_TYPE,SRA Study,STRAIN,Dataset,Sample_type,ST,ampicillin_MIC,ampicillin_RIS,ampicillin_genotypic_prediction_v.1,pbp5,vancomycin_MIC,vancomycin_RIS,vancomycin_genotypic_prediction,VanA_depth,VanA_diffs,VanH.Pt_depth,VanX_depth,VanX_diffs,VanY.A_depth,VanY.A_diffs,VanR.A_depth,VanS.A_depth,VanB_depth,VanB_diffs,VanH.B_depth,VanX.B_depth,VanY.B_depth,VanR.B_depth,VanS.B_depth,gentamicin.high.level_RIS,gentamicin_genotypic_prediction,Aac6.Aph2_depth,Aac6.Aph2_diffs,Aph3..Ia_depth,Aph3..Ia_diffs,Aph3.III_depth,Aph3.III_diffs,Aac6.Ii_depth,Aac6.Ii_diffs,Ant6.Ia_depth,Ant6.Ia_diffs,ciprofloxacin_MIC,ciprofloxacin_RIS,ciprofloxacin_genotypic_prediction,levofloxacin_MIC,levofloxacin_RIS,levofloxacin_genotypic_prediction,gyrA 84,parC 82,tetracycline_MIC,tetracycline_RIS,tetracycline_genotypic_prediction,doxycycline_MIC,doxycycline_RIS,doxycycline_genotypic_prediction_v.1,TetL_depth,TetL_diffs,TetM_depth,TetM_diffs,TetS_depth,TetS_diffs,TetU_depth,TetU_diffs,linezolid_MIC,linezolid_RIS,linezolid_genotypic_prediction,23S_G2576T_AlleleFraction,poxtA,cfrB
SRR16346989,WGS,275,479546841,PRJNA771404,SAMN22135137,"Microbe\, viral or environmental",209122525,MASSACHUSETTS GENERAL HOSPITAL,2016-07,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX12624888,USA,North America,USA: Boston,Homo sapiens,NextSeq 500,P-2729,rectal,Efm-55,PAIRED,RANDOM,GENOMIC,Enterococcus faecium,ILLUMINA,2021-10-15T00:00:00Z,Efm-55,Isolate,SRP341454,not available,Derivation,rectal,1579,32,R,R,485A,32,R,R,201.774,1snp,303.804,239.418,34snp,461.857,0 snps,232.066,341.225,NA,NA,NA,NA,NA,NA,NA,S,S,NA,NA,NA,NA,254.938,1snp,77.153,2snp,447.669,0 snps,8,R,R,8,R,R,Y,I,4,S,R,0.5,S,R,131.644,1snp34holes,102.129,63snp9holes,NA,NA,NA,NA,2,S,S,0,NA,NA
SRR16346990,WGS,276,169100578,PRJNA771404,SAMN22135136,"Microbe\, viral or environmental",73698644,MASSACHUSETTS GENERAL HOSPITAL,2016-07,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX12624887,USA,North America,USA: Boston,Homo sapiens,NextSeq 500,P-6548,gall bladder,Efm-54,PAIRED,RANDOM,GENOMIC,Enterococcus faecium,ILLUMINA,2021-10-15T00:00:00Z,Efm-54,Isolate,SRP341454,not available,Derivation,gall bladder,736,32,R,R,485A,32,R,R,67.135,1snp,103.302,89.693,33snp1indel,145.447,0 snps,89.174,110.526,NA,NA,NA,NA,NA,NA,NA,S,S,NA,NA,NA,NA,87.335,0 snps,29.356,2snp,143.67,1indel,8,R,R,8,R,R,R,R,16,R,R,16,R,R,50.187,1indel34holes,47.698,44snp1indel116holes,NA,NA,NA,NA,2,S,S,0,NA,NA
SRR16346991,WGS,273,317485610,PRJNA771404,SAMN22135135,"Microbe\, viral or environmental",141700691,MASSACHUSETTS GENERAL HOSPITAL,2016-07,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX12624886,USA,North America,USA: Boston,Homo sapiens,NextSeq 500,P-5914,urine,Efm-53,PAIRED,RANDOM,GENOMIC,Enterococcus faecium,ILLUMINA,2021-10-15T00:00:00Z,Efm-53,Isolate,SRP341454,not available,Derivation,urine,736,32,R,R,485A,32,R,R,128.285,1snp,145.533,117.407,34snp,186.241,0 snps,120.737,161.929,NA,NA,NA,NA,NA,NA,NA,S,S,109.835,129holes,NA,NA,NA,NA,72.171,2snp,NA,NA,8,R,R,8,R,R,R,R,16,R,R,16,R,R,77.032,1snp34holes,70.347,53snp1indel23holes,NA,NA,NA,NA,2,S,S,0,NA,NA
SRR16346992,WGS,272,135191892,PRJNA771404,SAMN22135134,"Microbe\, viral or environmental",59900299,MASSACHUSETTS GENERAL HOSPITAL,2016-07,public,"sra,fastq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX12624885,USA,North America,USA: Boston,Homo sapiens,NextSeq 500,P-5676,"aspirate\,joint fluid\,knee",Efm-52,PAIRED,RANDOM,GENOMIC,Enterococcus faecium,ILLUMINA,2021-10-15T00:00:00Z,Efm-52,Isolate,SRP341454,not available,Derivation,"aspirate,joint fluid,knee",18,32,R,R,485A,32,R,R,81.953,1snp,108.71,93.821,34snp,152.398,1snp,95.379,113.759,NA,NA,NA,NA,NA,NA,NA,S,S,NA,NA,NA,NA,69.969,1snp,21.333,2snp,129.485,0 snps,8,R,R,8,R,R,Y,R,16,R,R,16,R,R,NA,NA,45.679,55snp1indel,NA,NA,340.759,3snp,2,S,S,0,NA,NA
SRR16346993,WGS,277,339294118,PRJNA771404,SAMN22135133,"Microbe\, viral or environmental",147175513,MASSACHUSETTS GENERAL HOSPITAL,2016-07,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX12624884,USA,North America,USA: Boston,Homo sapiens,NextSeq 500,P-23794,"wound\,lower extremity",Efm-51,PAIRED,RANDOM,GENOMIC,Enterococcus faecium,ILLUMINA,2021-10-15T00:00:00Z,Efm-51,Isolate,SRP341454,not available,Derivation,"wound,lower extremity",17,32,R,R,485A,32,R,R,100.538,1snp,156.186,128.3,33snp1indel,211.708,1snp,131.547,159.56,NA,NA,NA,NA,NA,NA,NA,S,S,174.371,129holes,NA,NA,144.553,1snp,74.3,2snp,203.316,1indel,8,R,R,8,R,R,Y,R,16,R,R,8,I,R,NA,NA,106.13,53snp1indel4holes,NA,NA,1378.843,3snp,2,S,S,0,NA,NA
SRR16346994,WGS,260,1275224873,PRJNA771404,SAMN22135088,"Microbe\, viral or environmental",575236477,MASSACHUSETTS GENERAL HOSPITAL,2016-02,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX12624883,USA,North America,USA: Boston,Homo sapiens,NextSeq 500,P-5898,urine,Efm-6,PAIRED,RANDOM,GENOMIC,Enterococcus faecium,ILLUMINA,2021-10-15T00:00:00Z,Efm-6,Isolate,SRP341454,not available,Derivation,urine,1579,32,R,R,485A,0.5,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,S,NA,NA,NA,NA,NA,NA,236.636,2snp,NA,NA,8,R,R,8,R,R,Y,I,8,I,R,0.5,I,R,337.686,1snp34holes,612.568,16snp,NA,NA,NA,NA,2,S,S,0,NA,NA
SRR16346995,WGS,276,125920036,PRJNA771404,SAMN22135132,"Microbe\, viral or environmental",54866829,MASSACHUSETTS GENERAL HOSPITAL,2016-07,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX12624882,USA,North America,USA: Boston,Homo sapiens,NextSeq 500,P-1428,rectal,Efm-50,PAIRED,RANDOM,GENOMIC,Enterococcus faecium,ILLUMINA,2021-10-15T00:00:00Z,Efm-50,Isolate,SRP341454,not available,Derivation,rectal,736,32,R,R,485A,32,R,R,71.654,1snp,100.145,92.889,34snp,124.518,0 snps,81.643,98.827,NA,NA,NA,NA,NA,NA,NA,S,S,NA,NA,NA,NA,84.155,0 snps,26.702,2snp,132.454,1indel,8,R,R,8,R,R,R,R,1,S,R,0.5,S,R,41.475,1snp34holes,38.445,44snp119holes,NA,NA,NA,NA,2,S,S,0,NA,NA
SRR16346996,WGS,276,506045212,PRJNA771404,SAMN22135131,"Microbe\, viral or environmental",220317503,MASSACHUSETTS GENERAL HOSPITAL,2016-07,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX12624881,USA,North America,USA: Boston,Homo sapiens,NextSeq 500,P-11421,rectal,Efm-49,PAIRED,RANDOM,GENOMIC,Enterococcus faecium,ILLUMINA,2021-10-15T00:00:00Z,Efm-49,Isolate,SRP341454,not available,Derivation,rectal,584,32,R,R,485A,32,R,R,241.982,1snp,349.176,282.68,34snp,485.15,0 snps,273.03,358.14,NA,NA,NA,NA,NA,NA,NA,S,S,271.747,129holes,NA,NA,282.151,0 snps,107.976,2snp,546.23,1indel13holes,8,R,R,8,R,R,Y,I,16,R,R,16,R,R,152.484,1snp34holes,123.09,67snp,NA,NA,NA,NA,2,S,S,0,NA,NA
SRR16346997,WGS,265,1514611674,PRJNA771404,SAMN22135130,"Microbe\, viral or environmental",669805400,MASSACHUSETTS GENERAL HOSPITAL,2016-07,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX12624880,USA,North America,USA: Boston,Homo sapiens,NextSeq 500,P-3976,bile,Efm-48,PAIRED,RANDOM,GENOMIC,Enterococcus faecium,ILLUMINA,2021-10-15T00:00:00Z,Efm-48,Isolate,SRP341454,not available,Derivation,bile,18,32,R,R,485A,32,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,243.587,1snp,226.637,288.944,233.282,293.266,301.397,S,S,NA,NA,NA,NA,1165.075,0 snps,292.047,2snp,1412.684,0 snps,8,R,R,8,R,R,Y,I,1,S,S,0.5,S,S,NA,NA,NA,NA,NA,NA,NA,NA,2,S,S,0,NA,NA
SRR16346998,WGS,264,1413613124,PRJNA771404,SAMN22135129,"Microbe\, viral or environmental",628469087,MASSACHUSETTS GENERAL HOSPITAL,2016-06,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX12624879,USA,North America,USA: Boston,Homo sapiens,NextSeq 500,P-5630,leg,Efm-47,PAIRED,RANDOM,GENOMIC,Enterococcus faecium,ILLUMINA,2021-10-15T00:00:00Z,Efm-47,Isolate,SRP341454,not available,Derivation,leg,17,32,R,R,485A,32,R,R,763.208,1snp,878.394,834.811,31snp3indel,1205.148,1snp,716.815,925.19,NA,NA,NA,NA,NA,NA,NA,S,S,NA,NA,NA,NA,898.41,1snp,298.438,2snp,1175.847,1indel,8,R,R,8,R,R,Y,R,16,R,R,16,R,R,NA,NA,402.74,54snp1indel,NA,NA,3890.969,3snp,2,S,S,0,NA,NA
SRR16346999,WGS,265,1298893704,PRJNA771404,SAMN22135128,"Microbe\, viral or environmental",573474856,MASSACHUSETTS GENERAL HOSPITAL,2016-06,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX12624878,USA,North America,USA: Boston,Homo sapiens,NextSeq 500,P-12302,blood,Efm-46,PAIRED,RANDOM,GENOMIC,Enterococcus faecium,ILLUMINA,2021-10-15T00:00:00Z,Efm-46,Isolate,SRP341454,not available,Derivation,blood,412,32,R,R,485A,32,R,R,915.362,1snp,976.04,951.175,33snp1indel,1243.614,0 snps,827.141,1103.326,NA,NA,NA,NA,NA,NA,NA,S,S,NA,NA,NA,NA,1037.539,0 snps,291.909,2snp,1143.479,1indel,8,R,R,8,R,R,Y,R,16,R,R,16,R,R,330.456,1snp34holes,577.148,15snp,NA,NA,NA,NA,2,S,S,0,NA,NA
SRR16347000,WGS,264,1186295780,PRJNA771404,SAMN22135127,"Microbe\, viral or environmental",526324751,MASSACHUSETTS GENERAL HOSPITAL,2016-06,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX12624877,USA,North America,USA: Boston,Homo sapiens,NextSeq 500,P-3111,bile,Efm-45,PAIRED,RANDOM,GENOMIC,Enterococcus faecium,ILLUMINA,2021-10-15T00:00:00Z,Efm-45,Isolate,SRP341454,not available,Derivation,bile,17,32,R,R,485A,32,R,R,637.624,1snp,827.632,716.257,34snp,941.392,1snp,590.867,805.35,NA,NA,NA,NA,NA,NA,NA,S,S,295.598,129holes,NA,NA,774.563,1snp,273.164,2snp,989.437,1indel,8,R,R,8,R,R,Y,R,16,R,R,8,I,R,NA,NA,327.863,54snp1indel,NA,NA,2992.596,3snp,2,S,S,0,NA,NA
SRR16347001,WGS,264,1456209778,PRJNA771404,SAMN22135126,"Microbe\, viral or environmental",646453002,MASSACHUSETTS GENERAL HOSPITAL,2016-06,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX12624876,USA,North America,USA: Boston,Homo sapiens,NextSeq 500,P-1164,blood,Efm-44,PAIRED,RANDOM,GENOMIC,Enterococcus faecium,ILLUMINA,2021-10-15T00:00:00Z,Efm-44,Isolate,SRP341454,not available,Derivation,blood,442,2,S,S,485M,0.5,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,S,NA,NA,NA,NA,NA,NA,378.475,1snp,NA,NA,2,I,S,4,I,S,S,S,16,R,R,8,I,R,NA,NA,514.498,54snp1indel,NA,NA,NA,NA,2,S,S,0,NA,NA
SRR16347002,WGS,264,1441904082,PRJNA771404,SAMN22135125,"Microbe\, viral or environmental",639659790,MASSACHUSETTS GENERAL HOSPITAL,2016-06,public,"sra,fastq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX12624875,USA,North America,USA: Boston,Homo sapiens,NextSeq 500,P-11126,sputum,Efm-43,PAIRED,RANDOM,GENOMIC,Enterococcus faecium,ILLUMINA,2021-10-15T00:00:00Z,Efm-43,Isolate,SRP341454,not available,Derivation,sputum,736,32,R,R,485A,32,R,R,719.872,1snp,865.336,775.549,33snp1indel,1074.625,0 snps,691.003,882.421,NA,NA,NA,NA,NA,NA,NA,S,S,589.327,129holes,NA,NA,823.247,0 snps,309,2snp,1065.025,1indel,8,R,R,8,R,R,R,R,16,R,R,16,R,R,394.949,1snp34holes,319.83,67snp,NA,NA,NA,NA,2,S,S,0,NA,NA
SRR16347003,WGS,264,1170950194,PRJNA771404,SAMN22135124,"Microbe\, viral or environmental",521309339,MASSACHUSETTS GENERAL HOSPITAL,2016-06,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX12624874,USA,North America,USA: Boston,Homo sapiens,NextSeq 500,P-18380,bile,Efm-42,PAIRED,RANDOM,GENOMIC,Enterococcus faecium,ILLUMINA,2021-10-15T00:00:00Z,Efm-42,Isolate,SRP341454,not available,Derivation,bile,412,32,R,R,485A,32,R,R,1546.41,1snp,1911.542,1571.967,32snp2indel,2380.656,0 snps,1452.395,2006.915,NA,NA,NA,NA,NA,NA,NA,S,S,476.79,129holes,NA,NA,1153.49,0 snps,231.333,2snp,1531.108,1indel,8,R,R,8,R,R,Y,R,16,R,R,16,R,R,324.354,1snp34holes,569.585,16snp,NA,NA,NA,NA,2,S,S,0,NA,NA
SRR16347004,WGS,263,1179033165,PRJNA771404,SAMN22135123,"Microbe\, viral or environmental",527201707,MASSACHUSETTS GENERAL HOSPITAL,2016-06,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX12624873,USA,North America,USA: Boston,Homo sapiens,NextSeq 500,P-2269,"abscess\, perirectal",Efm-41,PAIRED,RANDOM,GENOMIC,Enterococcus faecium,ILLUMINA,2021-10-15T00:00:00Z,Efm-41,Isolate,SRP341454,not available,Derivation,"abscess, perirectal",418,32,R,R,485A,0.5,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,S,NA,NA,NA,NA,NA,NA,256.545,2snp,NA,NA,8,R,R,8,R,R,Y,I,16,R,R,16,R,R,379.025,1snp8holes,669.33,15snp,NA,NA,NA,NA,2,S,S,0,NA,NA
SRR16347005,WGS,261,1004753417,PRJNA771404,SAMN22135087,"Microbe\, viral or environmental",451639307,MASSACHUSETTS GENERAL HOSPITAL,2016-02,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX12624872,USA,North America,USA: Boston,Homo sapiens,NextSeq 500,P-16374,rectal,Efm-5,PAIRED,RANDOM,GENOMIC,Enterococcus faecium,ILLUMINA,2021-10-15T00:00:00Z,Efm-5,Isolate,SRP341454,not available,Derivation,rectal,117,32,R,R,485A,32,R,R,315.097,0 snps,393.98,357.369,34snp,586.036,0 snps,340.838,415.788,NA,NA,NA,NA,NA,NA,NA,S,S,NA,NA,NA,NA,490.394,0 snps,191.007,2snp,708.823,0 snps,8,R,R,8,R,R,Y,I,1,S,S,0.5,S,S,NA,NA,NA,NA,NA,NA,NA,NA,2,S,S,0,NA,NA
SRR16347006,WGS,281,217475421,PRJNA771404,SAMN22135122,"Microbe\, viral or environmental",92188050,MASSACHUSETTS GENERAL HOSPITAL,2016-06,public,"sra,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX12624871,USA,North America,USA: Boston,Homo sapiens,NextSeq 500,P-11811,stool,Efm-40,PAIRED,RANDOM,GENOMIC,Enterococcus faecium,ILLUMINA,2021-10-15T00:00:00Z,Efm-40,Isolate,SRP341454,not available,Derivation,stool,280,32,R,R,485A,32,R,R,102.95,1snp,119.652,98.092,34snp,108.241,1indel,84.34,109.797,NA,NA,NA,NA,NA,NA,NA,S,S,NA,NA,NA,NA,111.231,1snp,29.864,2snp,NA,NA,8,R,R,8,R,R,R,I,16,R,R,16,R,R,33.772,1snp34holes,36.55,45snp,103.664,0 snps,NA,NA,2,S,S,0,NA,NA
