Assembly,Level,WGS,BioSample,Strain,Taxonomy,NewBaps,Genome.Set,Pathogen,Serotype,Source,Year,P__MLSB_Erythromycin,P__MLSB_Tilmicosin,P__MLSB_Tylosin,P__MLSB_Lincomycin,P__Pleuro_Tiamulin,G__MLSB_ermB_M_O,G__MLSB_ermG_M_S,G__MLSB_ermT_M_S,G__MLSB_linB_M_O,G__MLSB_lnuB__M_O,G__MLSB_lnuC_M_O,G__MLSB_mefA_M_O,G__MLSB__msrD_M_O,G__Pleuro_lsaE_M_O,G__Pleuro_vgaF_C_N,P__Fluoro_Enrofloxacin,P__Fluoro_Marbofloxacin,G__Fluoro_GyrA_81_V_O,G__Fluoro_GyrA_85_V_O,G__Fluoro_ParC_79_V_O,P__Tetra_Tetracycline,P__Tetra_Doxycycline,G__Tetra_tet44_M_S,G__Tetra_tetM__M_O,G__Tetra_tetO_M_O,G__Tetra_tetW__M_O,G__Tetra_tet_40_M_O,G__Tetra_tetL_M_O,G__Tetra_tet_O.W.32.O_M_O,G__Tetra_tetM1_M_S,G__Tetra_tetM2__M_S,G__Tetra_tetM3__M_S,G__Tetra_tetO1_M_S,P__Amino_Spectinomycin,G__Amino_ant_4_Ib_M_S,G__Amino_ant_6_Ia_M_O,G__Amino_ant_6_Ib_M_S,G__Amino_ant_9_Ia_M_O,G__Amino_aph_3_IIIa_M_S,G__Amino_ant_1_M_U,G__Amino_aadE1_M_U,G__Amino_aadE2_M_U,P__TMP_Trimethoprim,G__TMP_DHFR_102_V_N,G__TMP_DHFRPromoter_S_N,G__TMP_dfrF_M_S,G__TMP_dfrK_M_S,P__Phen_Florifenicol,G__Phen_cat_M_S,P__Beta_Amoxicillin,P__Beta_Cefquinome,P__Beta_Ceftiofur,P__Beta_Penicillin,G__Beta_PBP2B.hap_V_N,G__Beta_PBP2X.hap_V_N,G__Beta_PBP2X_551_V_N,G__Beta_PBP2X_569_V_O,G__Beta_PBP2X_594.596_V_O,G__Beta_MraY.hap_V_N
GCA_013268495.1,Contig,JABLRM000000000,SAMN14933470,FX428_1,Streptococcus suis,4,Lola_Vietnam,NON-CLINICAL,2,Pig,2007,0.016,2,0.125,128,2,no,no,no,no,yes,no,no,no,yes,no,1,0.25,no,no,no,128,4,no,no,no,no,no,yes,yes,no,no,no,no,128,no,yes,no,no,no,no,no,no,0.06,no,no,no,no,1,yes,0.015,0.008,0.06,0.5,no,no,no,no,no,no
GCA_013268415.1,Contig,JABLRN000000000,SAMN14933471,FX211,Streptococcus suis,4,Lola_Vietnam,NON-CLINICAL,2,Pig,2007,0.031,2,0.25,0.25,1,yes,no,no,no,no,no,no,no,no,no,2,0.5,no,no,no,128,8,no,yes,yes,no,no,yes,no,no,no,no,no,128,no,yes,no,no,no,no,no,no,4,no,no,no,no,2,no,0.015,0.03,0.25,0.031,no,no,no,no,no,no
GCA_013268815.1,Contig,JABLQW000000000,SAMN14933454,FX90_2,Streptococcus suis,4,Lola_Vietnam,NON-CLINICAL,2,Pig,2006,0.03,2,0.25,0.25,1,no,no,no,no,no,no,no,no,no,no,0.5,0.5,no,no,no,32,4,no,yes,no,no,no,no,no,yes,no,no,no,16,no,no,no,no,no,no,no,no,0.125,no,no,no,no,0.5,no,0.015,0.03,0.125,0.031,no,no,no,no,no,no
GCA_013268775.1,Contig,JABLQZ000000000,SAMN14933457,FX540_1,Streptococcus suis,4,Lola_Vietnam,NON-CLINICAL,2,Pig,2007,32,1024,256,128,1,yes,no,no,no,no,no,no,no,no,no,1,0.5,no,no,no,128,8,no,no,yes,no,no,no,no,no,no,no,no,128,no,yes,no,no,no,no,no,no,0.125,no,no,no,no,1,no,0.015,0.03,0.25,0.031,no,no,no,no,no,no
GCA_013268795.1,Contig,JABLQX000000000,SAMN14933455,FX77_1,Streptococcus suis,4,Lola_Vietnam,NON-CLINICAL,2,Pig,2006,0.015,2,0.25,0.125,0.5,no,no,no,no,no,no,no,no,no,no,1,0.5,no,no,no,32,4,no,yes,no,no,no,no,no,yes,no,no,no,16,no,yes,no,no,no,no,no,no,0.125,no,no,no,no,1,no,0.015,0.03,0.125,0.031,no,no,no,no,no,no
GCA_013268755.1,Contig,JABLQY000000000,SAMN14933456,FX74,Streptococcus suis,4,Lola_Vietnam,NON-CLINICAL,2,Pig,2006,0.015,4,0.25,0.25,1,no,no,no,no,no,no,no,no,no,no,2,0.5,no,no,no,32,8,no,yes,no,no,no,no,no,yes,no,no,no,16,no,yes,no,no,no,no,no,no,0.125,no,no,no,no,2,no,0.015,0.03,0.5,0.031,no,no,no,no,no,no
GCA_013268695.1,Contig,JABLRC000000000,SAMN14933460,FX109,Streptococcus suis,4,Lola_Vietnam,NON-CLINICAL,2,Pig,2006,0.015,2,0.25,0.25,1,no,no,no,no,no,no,no,no,no,no,1,0.5,no,no,no,32,4,no,yes,no,no,no,no,no,yes,no,no,no,128,no,yes,no,no,no,no,no,no,0.125,no,no,no,no,1,no,0.015,0.03,0.25,0.031,no,no,no,no,no,no
GCA_013268735.1,Contig,JABLRA000000000,SAMN14933458,FX478,Streptococcus suis,4,Lola_Vietnam,NON-CLINICAL,2,Pig,2007,4,512,128,0.5,0.5,yes,no,no,no,no,no,no,no,no,no,1,1,no,no,yes,32,4,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.125,no,no,no,no,1,no,0.015,0.015,0.125,0.031,no,no,no,no,no,no
GCA_013190175.1,Contig,JABLAE000000000,SAMN14932632,LSS20,Streptococcus suis,5,Lola_UK,NON-CLINICAL,4,Pig,2010,0.015,4,1,0.12,0.25,no,no,no,no,no,no,no,no,no,no,0.25,0.015,no,no,no,64,8,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.5,yes,no,no,no,2,no,0.03,0.008,0.06,0.03,no,no,no,no,no,no
GCA_013190185.1,Contig,JABLAC000000000,SAMN14932630,LSS19,Streptococcus suis,16,Lola_UK,UNKNOWN,(4 partial),Pig,2010,32,128,256,128,64,yes,no,no,no,no,no,no,no,no,yes,0.5,1,no,no,no,64,16,no,no,no,yes,no,no,no,no,no,no,no,32,no,no,no,no,no,no,no,no,0.5,yes,no,no,no,2,no,4,0.5,8,4,yes,yes,no,yes,yes,yes
GCA_013190145.1,Contig,JABLAF000000000,SAMN14932633,LSS21,Streptococcus suis,4,Lola_UK,UNKNOWN-SYS_DISEASE,2,Pig,2011,0.015,4,0.5,1,2,no,no,no,no,no,no,no,no,no,no,0.5,0.015,no,no,no,32,8,no,no,no,no,no,no,no,no,yes,no,no,16,no,no,no,no,no,no,no,no,0.06,no,no,no,no,2,no,0.03,0.008,0.12,0.03,no,no,no,no,no,no
GCA_013190135.1,Contig,JABLAD000000000,SAMN14932631,LSS2,Streptococcus suis,10,Lola_UK,UNKNOWN-SYS_DISEASE,15,Pig,2010,32,128,256,128,4,yes,no,no,no,no,no,no,no,no,yes,0.25,0.5,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.03,no,no,no,no,1,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
GCA_013190105.1,Contig,JABLAL000000000,SAMN14932639,LSS27,Streptococcus suis,9,Lola_UK,NON-CLINICAL,10,Pig,2011,0.03,8,1,8,8,no,no,no,no,no,no,no,no,no,yes,0.5,1,no,no,no,2,0.25,no,no,no,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.015,no,no,no,no,2,no,0.03,0.015,0.12,0.03,yes,no,no,no,no,no
GCA_013190085.1,Contig,JABLAK000000000,SAMN14932638,LSS26,Streptococcus suis,26,Lola_UK,UNKNOWN-SYS_DISEASE,01-Feb,Pig,2011,0.03,4,1,0.25,1,no,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.03,no,no,no,no,2,no,0.03,0.015,0.12,0.03,no,no,no,no,no,no
GCA_013190075.1,Contig,JABLAQ000000000,SAMN14932644,LSS31,Streptococcus suis,9,Lola_UK,NON-CLINICAL,24,Pig,2011,0.03,4,1,2,4,no,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,2,0.12,no,no,no,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.03,no,no,no,no,2,no,0.03,0.008,0.12,0.03,yes,no,no,no,no,no
GCA_013190055.1,Contig,JABLAP000000000,SAMN14932643,LSS30,Streptococcus suis,9,Lola_UK,NON-CLINICAL,31,Pig,2011,32,128,256,128,4,yes,no,no,no,no,no,no,no,no,yes,0.5,1,no,no,no,64,8,no,no,yes,no,no,no,no,no,no,no,no,8,no,no,no,no,no,no,no,no,0.5,yes,yes,no,no,2,no,0.03,0.03,0.5,0.12,no,yes,yes,no,no,yes
GCA_013190015.1,Contig,JABLAS000000000,SAMN14932646,LSS33,Streptococcus suis,9,Lola_UK,UNKNOWN-SYS_DISEASE,4,Pig,2011,32,128,256,128,4,yes,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,2,0.12,no,no,no,no,no,no,no,no,no,no,no,32,no,no,no,no,no,no,no,no,0.015,no,no,no,no,2,no,0.03,0.03,0.25,0.03,yes,no,no,no,no,no
GCA_013190005.1,Contig,JABLAT000000000,SAMN14932647,LSS34,Streptococcus suis,5,Lola_UK,NON-CLINICAL,8,Pig,2011,0.03,4,1,2,2,no,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,2,0.12,no,no,no,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.015,no,no,no,no,2,no,0.03,0.06,0.25,0.03,no,no,no,no,no,no
GCA_013189995.1,Contig,JABLAR000000000,SAMN14932645,LSS32,Streptococcus suis,21,Lola_UK,NON-CLINICAL,24,Pig,2011,32,128,256,128,64,yes,no,no,no,no,no,no,no,no,yes,0.25,0.5,no,no,no,128,16,no,no,no,no,yes,no,yes,no,no,no,no,16,no,no,no,no,no,no,no,no,0.12,yes,no,no,no,1,no,0.03,0.06,1,0.25,yes,yes,yes,no,no,yes
GCA_013189975.1,Contig,JABLAU000000000,SAMN14932648,LSS35,Streptococcus suis,4,Lola_UK,UNKNOWN-SYS_DISEASE,2,Pig,2011,32,128,256,128,1,yes,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,64,8,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,16,yes,no,no,no,2,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
GCA_013189925.1,Contig,JABLAW000000000,SAMN14932650,LSS37,Streptococcus suis,9,Lola_UK,NON-CLINICAL,24,Pig,2011,0.03,4,0.5,4,4,no,no,no,no,no,no,no,no,no,no,0.5,0.5,no,no,no,128,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.25,yes,no,no,no,2,no,0.03,0.015,0.12,0.03,yes,no,no,no,no,no
GCA_013189955.1,Contig,JABLAX000000000,SAMN14932651,LSS4,Streptococcus suis,4,Lola_UK,UNKNOWN,2,Pig,2010,0.03,2,0.5,2,2,no,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,32,yes,yes,no,no,2,no,0.03,0.015,0.12,0.03,no,no,no,no,no,no
GCA_013189905.1,Contig,JABLAV000000000,SAMN14932649,LSS36,Streptococcus suis,21,Lola_UK,UNKNOWN-SYS_DISEASE,NA,Pig,2011,32,128,256,128,8,yes,no,no,no,no,no,no,no,no,yes,0.12,0.25,no,no,no,64,16,no,no,no,no,no,no,yes,no,no,no,no,16,no,no,no,no,no,no,no,no,0.06,yes,no,no,no,2,no,0.03,0.06,0.5,1,yes,no,yes,no,no,no
GCA_013189895.1,Contig,JABLAY000000000,SAMN14932652,LSS40,Streptococcus suis,8,Lola_UK,NON-CLINICAL,6,Pig,2011,0.06,4,1,0.12,0.25,no,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,64,8,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.03,no,no,no,no,1,no,0.03,0.03,0.12,0.03,no,no,no,no,no,no
GCA_013189875.1,Contig,JABLAZ000000000,SAMN14932653,LSS41,Streptococcus suis,22,Lola_UK,NON-CLINICAL,21,Pig,2011,32,128,256,128,0.12,yes,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,64,16,no,no,no,no,no,no,no,no,yes,no,no,8,no,no,no,no,no,no,no,no,0.5,no,no,no,no,2,no,0.03,0.03,0.5,0.12,yes,no,yes,no,no,no
GCA_013189855.1,Contig,JABLBA000000000,SAMN14932654,LSS42,Streptococcus suis,13,Lola_UK,NON-CLINICAL,16,Pig,2011,32,128,256,128,1,no,no,no,no,no,no,no,no,no,yes,0.5,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,32,no,no,no,no,no,no,no,no,0.25,yes,no,no,no,2,no,0.03,0.06,1,0.25,yes,no,yes,no,no,no
GCA_013189825.1,Contig,JABLBC000000000,SAMN14932656,LSS47,Streptococcus suis,8,Lola_UK,NON-CLINICAL,16,Pig,2011,0.015,4,0.5,0.12,0.25,no,no,no,no,no,no,no,no,no,no,0.5,0.015,no,no,no,2,0.12,no,no,no,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.06,no,no,no,no,2,no,0.03,0.008,0.12,0.03,no,no,no,no,no,no
GCA_013189785.1,Contig,JABLBD000000000,SAMN14932657,LSS48,Streptococcus suis,9,Lola_UK,NON-CLINICAL,31,Pig,2011,0.015,4,1,8,32,no,no,no,no,no,no,no,no,no,yes,0.5,0.015,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,32,no,no,no,no,no,no,no,no,0.5,yes,yes,no,no,2,no,0.03,0.25,1,0.12,yes,no,yes,no,no,no
GCA_013189795.1,Contig,JABLBB000000000,SAMN14932655,LSS44,Streptococcus suis,11,Lola_UK,NON-CLINICAL,15,Pig,2011,0.015,2,0.5,8,16,no,no,no,no,no,no,no,no,no,yes,0.25,0.5,no,no,no,32,8,no,no,yes,no,no,no,no,no,no,no,no,32,no,no,no,no,no,no,no,no,0.06,yes,no,no,no,1,no,0.03,0.06,0.25,0.03,no,no,no,no,no,no
GCA_013189775.1,Contig,JABLBH000000000,SAMN14932661,LSS51,Streptococcus suis,4,Lola_UK,UNKNOWN-SYS_DISEASE,2,Pig,2011,32,128,256,128,1,yes,no,no,no,no,no,no,no,no,no,0.5,0.015,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.06,no,no,no,no,2,no,0.03,0.008,0.12,0.03,no,no,no,no,no,no
GCA_013189685.1,Contig,JABLBK000000000,SAMN14932664,LSS54,Streptococcus suis,21,Lola_UK,NON-CLINICAL,NA,Pig,2011,32,128,256,128,32,yes,no,no,no,no,no,no,no,no,yes,0.25,0.5,no,no,no,64,16,no,no,no,no,no,no,yes,no,no,no,no,512,no,yes,no,yes,no,no,no,no,0.25,no,no,no,no,2,no,0.03,0.03,0.5,1,yes,no,yes,no,no,no
GCA_013189755.1,Contig,JABLBJ000000000,SAMN14932663,LSS53,Streptococcus suis,22,Lola_UK,NON-CLINICAL,21,Pig,2011,32,128,256,128,0.5,yes,no,no,no,no,no,no,no,no,no,0.5,0.015,no,no,no,64,16,no,no,no,no,no,no,no,no,yes,no,no,4,no,no,no,no,no,no,no,no,0.5,no,no,no,no,2,no,0.03,0.008,0.5,0.03,yes,no,yes,no,no,no
GCA_013189695.1,Contig,JABLBI000000000,SAMN14932662,LSS52,Streptococcus suis,21,Lola_UK,UNKNOWN-SYS_DISEASE,19,Pig,2011,32,128,256,128,2,yes,no,no,no,no,no,no,no,no,no,0.12,0.015,no,no,no,64,16,no,no,yes,yes,no,no,no,no,no,no,no,8,no,no,no,no,yes,no,no,no,0.5,yes,no,no,no,2,no,0.03,0.015,0.25,0.5,yes,no,yes,no,no,no
GCA_013189675.1,Contig,JABLBM000000000,SAMN14932666,LSS56,Streptococcus suis,28,Lola_UK,UNKNOWN-SYS_DISEASE,7 (+3 partial),Pig,2011,0.03,4,0.5,1,2,no,no,no,no,no,no,no,no,no,no,0.25,1,no,no,no,32,16,no,no,no,no,no,no,no,no,yes,no,no,16,no,no,no,no,no,no,no,no,32,no,no,yes,no,2,no,0.03,0.008,0.12,0.03,no,no,no,no,no,no
GCA_013189705.1,Contig,JABLBL000000000,SAMN14932665,LSS55,Streptococcus suis,14,Lola_UK,NON-CLINICAL,9,Pig,2011,32,128,256,128,4,yes,no,no,no,no,no,no,no,no,no,2,0.015,no,no,no,128,16,no,yes,yes,no,yes,no,no,yes,no,no,yes,32,no,no,no,no,no,no,no,no,0.015,no,no,no,no,2,no,0.03,0.002,0.12,0.03,yes,no,no,no,no,no
GCA_013189625.1,Contig,JABLBP000000000,SAMN14932669,LSS59,Streptococcus suis,9,Lola_UK,NON-CLINICAL,10,Pig,2011,32,128,256,128,32,yes,no,no,no,no,no,no,no,no,yes,0.5,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,2,yes,yes,no,no,2,no,0.03,0.12,2,0.12,yes,yes,yes,no,no,no
GCA_013189635.1,Contig,JABLAN000000000,SAMN14932641,LSS29,Streptococcus suis,25,Lola_UK,UNKNOWN-SYS_DISEASE,01-Feb,Pig,2011,0.03,4,0.5,0.25,1,no,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.03,no,no,no,no,1,no,0.03,0.008,0.06,0.03,no,no,no,no,no,no
GCA_013189615.1,Contig,JABLBN000000000,SAMN14932667,LSS57,Streptococcus suis,9,Lola_UK,NON-CLINICAL,NA,Pig,2011,4,128,256,128,16,yes,no,no,no,no,no,no,no,no,yes,0.5,1,no,no,no,128,16,no,no,no,no,no,no,yes,no,no,no,no,16,no,no,no,no,no,no,no,no,0.25,yes,yes,no,no,2,no,0.03,0.03,0.5,0.5,yes,yes,yes,no,no,yes
GCA_013189585.1,Contig,JABLAO000000000,SAMN14932642,LSS3,Streptococcus suis,25,Lola_UK,NON-CLINICAL,01-Feb,Pig,2010,0.06,4,1,0.5,1,no,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.03,no,no,no,no,1,no,0.03,0.015,0.06,0.03,no,no,no,no,no,no
GCA_013189575.1,Contig,JABLBO000000000,SAMN14932668,LSS58,Streptococcus suis,9,Lola_UK,NON-CLINICAL,31,Pig,2011,0.03,8,1,8,32,no,no,no,no,no,no,no,no,no,yes,0.5,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,32,no,no,no,no,no,no,no,no,0.5,yes,yes,no,no,2,no,0.03,0.06,1,0.06,yes,no,yes,no,no,no
GCA_013189545.1,Contig,JABLAM000000000,SAMN14932640,LSS28,Streptococcus suis,4,Lola_UK,UNKNOWN,2,Pig,2011,32,128,256,128,1,yes,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.06,no,no,no,no,2,no,0.03,0.015,0.12,0.03,no,no,no,no,no,no
GCA_013189535.1,Contig,JABLBQ000000000,SAMN14932670,LSS6,Streptococcus suis,16,Lola_UK,UNKNOWN,(4 partial),Pig,2010,0.03,2,0.5,128,64,no,no,no,yes,no,no,no,no,no,yes,0.5,1,no,no,no,128,16,no,no,no,no,no,no,yes,no,no,no,no,512,no,no,no,yes,no,no,no,no,0.5,yes,no,no,no,1,no,2,0.25,4,2,yes,yes,no,yes,yes,yes
GCA_013189495.1,Contig,JABLBR000000000,SAMN14932671,LSS60,Streptococcus suis,9,Lola_UK,NON-CLINICAL,31,Pig,2011,0.03,4,1,1,1,no,no,no,no,no,no,no,no,no,no,0.5,1,no,no,no,64,16,no,no,yes,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,0.25,yes,yes,no,no,2,no,0.03,0.015,0.12,0.03,yes,no,no,no,no,no
GCA_013189505.1,Contig,JABLBS000000000,SAMN14932672,LSS61,Streptococcus suis,25,Lola_UK,NON-CLINICAL,01-Feb,Pig,2011,0.03,2,0.5,0.06,0.25,no,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,64,8,no,no,yes,no,no,no,no,no,no,no,no,8,no,no,no,no,no,no,no,no,0.03,no,no,no,no,1,no,0.03,0.008,0.06,0.03,no,no,no,no,no,no
GCA_013189475.1,Contig,JABLBY000000000,SAMN14932678,LSS67,Streptococcus suis,5,Lola_UK,NON-CLINICAL,8,Pig,2011,0.03,4,1,1,1,no,no,no,no,no,no,no,no,no,no,0.25,0.5,no,no,no,1,0.12,no,no,no,no,no,no,no,no,no,no,no,16,no,no,no,no,no,no,no,no,4,yes,no,no,yes,2,no,0.03,0.015,0.12,0.03,no,no,no,no,no,no
GCA_013189435.1,Contig,JABLCA000000000,SAMN14932680,LSS7,Streptococcus suis,3,Lola_UK,UNKNOWN,NA,Pig,2010,0.03,2,0.5,1,1,no,no,no,no,no,no,no,no,no,no,0.25,0.5,yes,no,no,64,16,no,no,no,yes,no,no,no,no,no,no,no,8,no,no,no,no,no,no,no,no,0.12,yes,no,no,no,2,no,0.03,0.03,0.25,0.06,no,yes,no,no,yes,yes
