data_source,sample_name,isolate_name,fraction,CIP,CLI,CXM,ERY,GEN,LEV,MET,MOX,OXA,PEN,TET,run_accession
patric,SAMEA2335083,1280.8801,train,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR410048
patric,SAMEA2335085,1280.8803,test,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR410050
patric,SAMEA2335086,1280.8777,test,R,NA,NA,S,S,NA,S,NA,NA,R,S,ERR410051
patric,SAMEA2335087,1280.9431,train,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR410052
patric,SAMEA2335088,1280.8805,train,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR410053
patric,SAMEA2335090,1280.9432,train,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR410055
patric,SAMEA2335091,1280.8807,train,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR410056
patric,SAMEA2335092,1280.9433,train,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR410057
patric,SAMEA2335093,1280.9434,train,S,NA,NA,S,S,NA,S,NA,NA,S,S,ERR410058
patric,SAMEA2335094,1280.9435,train,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR410059
patric,SAMEA2335095,1280.9436,train,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR410060
patric,SAMEA2335096,1280.8812,train,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR410061
patric,SAMEA2335097,1280.8813,train,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR410062
patric,SAMEA2335098,1280.8814,test,S,NA,NA,S,S,NA,S,NA,NA,S,S,ERR410063
patric,SAMEA2335099,1280.9437,train,R,NA,NA,S,S,NA,S,NA,NA,S,S,ERR410064
patric,SAMEA2335100,1280.7908,train,S,NA,NA,S,S,NA,S,NA,NA,S,S,ERR410065
patric,SAMEA2335101,1280.8816,test,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR410066
patric,SAMEA2335102,1280.9438,train,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR410067
patric,SAMEA2335103,1280.9439,train,R,NA,NA,S,S,NA,S,NA,NA,S,S,ERR410068
patric,SAMEA2335104,1280.7912,train,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR410069
patric,SAMEA2335105,1280.7913,test,S,NA,NA,S,S,NA,S,NA,NA,S,S,ERR410070
patric,SAMEA2335106,1280.7914,train,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR410071
patric,SAMEA2335107,1280.7915,train,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR410072
patric,SAMEA2335108,1280.7916,train,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR410073
patric,SAMEA2335110,1280.7917,train,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR410075
patric,SAMEA2335111,1280.9441,train,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR410076
patric,SAMEA2335112,1280.9442,train,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR410077
patric,SAMEA2335114,1280.9443,train,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR410079
patric,SAMEA2335115,1280.7922,train,R,NA,NA,S,S,NA,S,NA,NA,R,S,ERR410080
patric,SAMEA2335116,1280.7923,train,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR410081
patric,SAMEA2335117,1280.8773,train,S,NA,NA,S,S,NA,S,NA,NA,R,R,ERR410082
patric,SAMEA2335118,1280.9444,train,S,NA,NA,S,S,NA,S,NA,NA,S,S,ERR410083
patric,SAMEA2335120,1280.7925,test,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR410085
patric,SAMEA2335121,1280.9445,test,S,NA,NA,S,S,NA,S,NA,NA,S,S,ERR410086
patric,SAMEA2335122,1280.9446,test,S,NA,NA,S,S,NA,S,NA,NA,S,S,ERR410087
patric,SAMEA2335123,1280.7928,train,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR410088
patric,SAMEA2335124,1280.7929,train,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR410089
patric,SAMEA2335126,1280.9447,train,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR410091
patric,SAMEA2335127,1280.9448,test,S,NA,NA,S,S,NA,S,NA,NA,S,S,ERR410092
patric,SAMEA2335128,1280.7933,test,S,NA,NA,S,S,NA,S,NA,NA,S,S,ERR410093
patric,SAMEA2335129,1280.9449,train,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR410094
patric,SAMEA2335130,1280.7935,train,S,NA,NA,S,S,NA,S,NA,NA,S,S,ERR410095
patric,SAMEA2335131,1280.9692,train,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR410096
patric,SAMEA2335132,1280.7937,train,R,NA,NA,S,S,NA,S,NA,NA,R,S,ERR410097
patric,SAMEA2335133,1280.7938,train,R,NA,NA,S,S,NA,R,NA,NA,R,S,ERR410098
patric,SAMEA2335134,1280.7939,train,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR410099
patric,SAMEA2335135,1280.9451,train,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR410100
patric,SAMEA2335136,1280.7941,train,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR410101
patric,SAMEA2335138,1280.9452000000001,train,S,NA,NA,S,S,NA,S,NA,NA,S,S,ERR410103
patric,SAMEA2335139,1280.7944,train,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR410104
patric,SAMEA2335140,1280.9453,train,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR410105
patric,SAMEA2335141,1280.8776,train,S,NA,NA,R,S,NA,S,NA,NA,R,S,ERR410106
patric,SAMEA2335142,1280.7946,train,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR410107
patric,SAMEA2335143,1280.9454,test,S,NA,NA,S,S,NA,S,NA,NA,S,S,ERR410108
patric,SAMEA2335144,1280.7948,train,S,NA,NA,R,S,NA,S,NA,NA,R,S,ERR410109
patric,SAMEA2335145,1280.7949,train,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR410110
patric,SAMEA2335147,1280.7951,test,S,NA,NA,S,S,NA,S,NA,NA,R,R,ERR410112
patric,SAMEA2335148,1280.9693,train,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR410113
patric,SAMEA2335149,1280.7953,train,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR410114
patric,SAMEA2335150,1280.9456,train,S,NA,NA,R,S,NA,S,NA,NA,R,S,ERR410115
patric,SAMEA2335151,1280.9457,train,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR410116
patric,SAMEA2335152,1280.9458,train,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR410117
patric,SAMEA2335153,1280.7957,train,S,NA,NA,R,S,NA,S,NA,NA,R,S,ERR410118
patric,SAMEA2335154,1280.9691,train,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR410119
patric,SAMEA2335155,1280.7959,test,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR410120
patric,SAMEA2335156,1280.8774,train,R,NA,NA,R,S,NA,R,NA,NA,R,S,ERR410121
patric,SAMEA2335158,1280.7961,train,S,NA,NA,S,S,NA,S,NA,NA,S,S,ERR410123
patric,SAMEA2335159,1280.7962,train,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR410124
patric,SAMEA2335161,1280.8051,train,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR410126
patric,SAMEA2335162,1280.8052,train,S,NA,NA,S,S,NA,S,NA,NA,S,S,ERR410127
patric,SAMEA2335163,1280.8772,train,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR410128
patric,SAMEA2335164,1280.8053,train,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR410129
patric,SAMEA2335165,1280.8054,train,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR410130
patric,SAMEA2335166,1280.8055,test,S,NA,NA,S,S,NA,S,NA,NA,R,R,ERR410131
patric,SAMEA2335167,1280.8056,train,R,NA,NA,R,S,NA,R,NA,NA,R,S,ERR410132
patric,SAMEA2335168,1280.9724,train,R,NA,NA,R,S,NA,R,NA,NA,R,S,ERR410133
patric,SAMEA2335169,1280.9725,train,R,NA,NA,S,S,NA,R,NA,NA,R,S,ERR410134
patric,SAMEA2335170,1280.8059,test,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR410135
patric,SAMEA2339835,1280.8699,train,R,R,NA,R,S,NA,R,NA,NA,R,S,ERR418318
patric,SAMEA2339836,1280.8698,train,R,R,NA,R,S,NA,R,NA,NA,R,S,ERR418319
patric,SAMEA2339837,1280.8701,train,R,R,NA,R,S,NA,R,NA,NA,R,S,ERR418320
patric,SAMEA2339839,1280.8697,train,R,R,NA,R,S,NA,R,NA,NA,R,S,ERR418322
patric,SAMEA2339840,1280.9408,train,R,R,NA,R,S,NA,R,NA,NA,R,S,ERR418323
patric,SAMEA2339841,1280.9409,train,R,R,NA,R,S,NA,R,NA,NA,R,S,ERR418324
patric,SAMEA2339843,1280.9411,train,R,R,NA,R,S,NA,R,NA,NA,R,S,ERR418326
patric,SAMEA2339844,1280.7377,train,R,R,NA,R,S,NA,R,NA,NA,R,S,ERR418327
patric,SAMEA2339845,1280.7408,train,R,R,NA,R,S,NA,R,NA,NA,R,S,ERR418328
patric,SAMEA2339846,1280.9412,train,R,R,NA,R,S,NA,R,NA,NA,R,S,ERR418329
patric,SAMEA2339847,1280.7411,train,R,R,NA,R,S,NA,R,NA,NA,R,S,ERR418330
patric,SAMEA2339848,1280.7413,train,R,R,NA,R,S,NA,R,NA,NA,R,S,ERR418331
patric,SAMEA2339849,1280.8718,train,R,R,NA,R,S,NA,R,NA,NA,R,S,ERR418332
patric,SAMEA2339850,1280.8736,train,R,R,NA,R,S,NA,R,NA,NA,R,R,ERR418333
patric,SAMEA2339851,1280.8735,train,R,R,NA,R,S,NA,R,NA,NA,R,S,ERR418334
patric,SAMEA2339852,1280.8738,train,R,R,NA,R,S,NA,R,NA,NA,R,S,ERR418335
patric,SAMEA2339853,1280.8737,train,R,R,NA,R,S,NA,R,NA,NA,R,S,ERR418336
patric,SAMEA2339854,1280.9413,train,R,R,NA,R,S,NA,R,NA,NA,R,S,ERR418337
patric,SAMEA2339855,1280.8739,train,R,R,NA,R,S,NA,R,NA,NA,R,S,ERR418338
patric,SAMEA2339856,1280.8379,train,R,R,NA,R,S,NA,R,NA,NA,R,S,ERR418339
patric,SAMEA2339857,1280.9414,train,R,R,NA,R,S,NA,R,NA,NA,R,S,ERR418340
patric,SAMEA2339858,1280.8456,train,R,R,NA,R,S,NA,R,NA,NA,R,S,ERR418341
patric,SAMEA2339859,1280.8457,train,R,R,NA,R,S,NA,R,NA,NA,R,S,ERR418342
patric,SAMEA2339860,1280.9415,train,R,R,NA,R,S,NA,R,NA,NA,R,S,ERR418343
patric,SAMEA2339861,1280.9416,train,R,R,NA,R,S,NA,R,NA,NA,R,S,ERR418344
patric,SAMEA2339862,1280.9417,train,R,S,NA,S,S,NA,R,NA,NA,R,S,ERR418345
patric,SAMEA2339863,1280.8389,train,R,R,NA,R,S,NA,R,NA,NA,R,S,ERR418346
patric,SAMEA2339864,1280.8388,train,R,R,NA,R,S,NA,R,NA,NA,R,S,ERR418347
patric,SAMEA2339865,1280.9418,train,R,R,NA,R,S,NA,R,NA,NA,R,S,ERR418348
patric,SAMEA2339866,1280.9419,train,R,R,NA,R,S,NA,R,NA,NA,R,S,ERR418349
patric,SAMEA2339867,1280.8385,train,R,S,NA,S,S,NA,R,NA,NA,R,S,ERR418350
patric,SAMEA2339868,1280.8392,train,R,R,NA,R,S,NA,R,NA,NA,R,S,ERR418351
patric,SAMEA2339870,1280.8569,train,R,R,NA,R,S,NA,R,NA,NA,R,S,ERR418353
patric,SAMEA2339871,1280.8568,train,R,R,NA,R,S,NA,R,NA,NA,R,S,ERR418354
patric,SAMEA2339872,1280.8566,train,R,R,NA,R,S,NA,R,NA,NA,R,S,ERR418355
patric,SAMEA2339873,1280.8567,train,R,R,NA,R,S,NA,R,NA,NA,R,S,ERR418356
patric,SAMEA2339874,1280.8564,train,R,R,NA,R,S,NA,R,NA,NA,R,S,ERR418357
patric,SAMEA2339875,1280.8565,train,R,R,NA,R,S,NA,R,NA,NA,R,S,ERR418358
patric,SAMEA2339876,1280.8521,train,R,R,NA,R,S,NA,R,NA,NA,R,S,ERR418359
patric,SAMEA2339878,1280.8522,train,R,R,NA,R,S,NA,R,NA,NA,R,S,ERR418361
patric,SAMEA2339879,1280.8519,train,R,R,NA,R,S,NA,R,NA,NA,R,S,ERR418362
patric,SAMEA2339880,1280.8518,train,R,R,NA,R,S,NA,R,NA,NA,R,S,ERR418363
patric,SAMEA2339881,1280.8517,train,R,R,NA,R,S,NA,R,NA,NA,R,S,ERR418364
patric,SAMEA2339882,1280.9421,train,R,R,NA,R,S,NA,R,NA,NA,R,S,ERR418365
patric,SAMEA2339883,1280.9422,train,R,R,NA,R,S,NA,R,NA,NA,R,S,ERR418366
patric,SAMEA2339884,1280.9423,train,R,R,NA,R,S,NA,R,NA,NA,R,S,ERR418367
patric,SAMEA2339885,1280.8733,train,R,R,NA,R,S,NA,R,NA,NA,R,S,ERR418368
patric,SAMEA2339886,1280.9424,train,R,R,NA,R,S,NA,R,NA,NA,R,S,ERR418369
patric,SAMEA2339887,1280.8633,train,R,R,NA,R,S,NA,R,NA,NA,R,S,ERR418370
patric,SAMEA2339888,1280.8634,train,R,R,NA,R,S,NA,R,NA,NA,R,S,ERR418371
patric,SAMEA2339889,1280.9726,train,R,R,NA,R,S,NA,R,NA,NA,R,S,ERR418372
patric,SAMEA2339890,1280.9727,train,S,S,NA,S,S,NA,S,NA,NA,R,S,ERR418373
patric,SAMEA2339891,1280.8635,train,R,S,NA,S,S,NA,R,NA,NA,R,S,ERR418374
patric,SAMEA2339892,1280.9728,train,R,R,NA,R,S,NA,R,NA,NA,R,S,ERR418375
patric,SAMEA2339893,1280.9734,train,R,R,NA,R,S,NA,R,NA,NA,R,S,ERR418376
patric,SAMEA2339894,1280.9733,train,R,NA,NA,R,S,NA,R,NA,NA,R,S,ERR418377
patric,SAMEA2339895,1280.9729,train,R,S,NA,S,S,NA,R,NA,NA,R,S,ERR418378
patric,SAMEA2339897,1280.8511,train,R,R,NA,R,S,NA,R,NA,NA,R,S,ERR418380
patric,SAMEA2339898,1280.8513,train,R,R,NA,R,R,NA,R,NA,NA,R,S,ERR418381
patric,SAMEA2339899,1280.8509,train,R,R,NA,R,S,NA,R,NA,NA,R,S,ERR418382
patric,SAMEA2339900,1280.8508,train,R,R,NA,R,R,NA,R,NA,NA,R,S,ERR418383
patric,SAMEA2339902,1280.9732,train,R,S,NA,S,S,NA,S,NA,NA,R,S,ERR418385
patric,SAMEA2339903,1280.8722,train,S,S,NA,S,S,NA,S,NA,NA,R,S,ERR418386
patric,SAMEA2339904,1280.9731,train,R,S,NA,S,S,NA,S,NA,NA,R,S,ERR418387
patric,SAMEA2339905,1280.8724,train,R,S,NA,S,S,NA,S,NA,NA,R,S,ERR418388
patric,SAMEA2339906,1280.8726,train,S,S,NA,S,S,NA,S,NA,NA,S,S,ERR418389
patric,SAMEA2339907,1280.8728,train,S,S,NA,S,S,NA,S,NA,NA,R,S,ERR418390
patric,SAMEA2339908,1280.8727,train,S,S,NA,S,S,NA,S,NA,NA,S,S,ERR418391
patric,SAMEA2339909,1280.8721,train,S,S,NA,S,S,NA,S,NA,NA,R,S,ERR418392
patric,SAMEA2339910,1280.9735,train,S,S,NA,S,S,NA,S,NA,NA,R,S,ERR418393
patric,SAMEA2339911,1280.7407,train,S,S,NA,S,S,NA,S,NA,NA,R,S,ERR418394
patric,SAMEA2339912,1280.7404,train,S,S,NA,S,S,NA,S,NA,NA,R,S,ERR418395
patric,SAMEA2339913,1280.7405,train,S,S,NA,S,S,NA,S,NA,NA,R,S,ERR418396
patric,SAMEA2339914,1280.8734,train,S,S,NA,S,S,NA,S,NA,NA,R,S,ERR418397
patric,SAMEA2339915,1280.8647,train,S,S,NA,S,S,NA,S,NA,NA,R,S,ERR418398
patric,SAMEA2339916,1280.8646,train,S,S,NA,S,S,NA,S,NA,NA,R,S,ERR418399
patric,SAMEA2339917,1280.8648,train,S,S,NA,S,S,NA,S,NA,NA,R,S,ERR418400
patric,SAMEA2339918,1280.9741,train,S,S,NA,S,S,NA,S,NA,NA,R,S,ERR418401
patric,SAMEA2339919,1280.8649,train,S,S,NA,S,S,NA,S,NA,NA,R,S,ERR418402
patric,SAMEA2339920,1280.8645,train,S,S,NA,S,S,NA,S,NA,NA,R,S,ERR418403
patric,SAMEA2339921,1280.8383,train,S,S,NA,S,S,NA,S,NA,NA,R,S,ERR418404
patric,SAMEA2339922,1280.8384,train,S,S,NA,S,S,NA,S,NA,NA,R,S,ERR418405
patric,SAMEA2339923,1280.8545,test,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR418406
patric,SAMEA2339924,1280.8544,train,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR418407
patric,SAMEA2339925,1280.8543,train,S,NA,NA,S,S,NA,S,NA,NA,S,S,ERR418408
patric,SAMEA2339926,1280.8542,train,R,NA,NA,R,S,NA,S,NA,NA,R,S,ERR418409
patric,SAMEA2339927,1280.8541,test,S,NA,NA,S,S,NA,S,NA,NA,S,S,ERR418410
patric,SAMEA2339930,1280.8601,test,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR418413
patric,SAMEA2339931,1280.9742,train,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR418414
patric,SAMEA2339932,1280.9743,train,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR418415
patric,SAMEA2339933,1280.9744,test,R,NA,NA,R,S,NA,R,NA,NA,R,S,ERR418416
patric,SAMEA2339934,1280.9745,train,S,NA,NA,S,S,NA,S,NA,NA,S,S,ERR418417
patric,SAMEA2339935,1280.9746,train,R,NA,NA,R,S,NA,R,NA,NA,R,S,ERR418418
patric,SAMEA2339936,1280.9747,test,S,NA,NA,S,S,NA,S,NA,NA,S,S,ERR418419
patric,SAMEA2339937,1280.9748,test,S,NA,NA,S,S,NA,S,NA,NA,S,S,ERR418420
patric,SAMEA2339938,1280.9749,train,R,NA,NA,S,S,NA,R,NA,NA,R,S,ERR418421
patric,SAMEA2339940,1280.9751,test,S,NA,NA,S,S,NA,S,NA,NA,S,S,ERR418423
patric,SAMEA2339941,1280.9752,test,R,NA,NA,S,S,NA,R,NA,NA,R,S,ERR418424
patric,SAMEA2339942,1280.9753,train,R,NA,NA,R,R,NA,R,NA,NA,R,S,ERR418425
patric,SAMEA2339943,1280.9535,train,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR418426
patric,SAMEA2339944,1280.9754,train,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR418427
patric,SAMEA2339945,1280.9755,train,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR418428
patric,SAMEA2339946,1280.9756,train,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR418429
patric,SAMEA2339947,1280.8463,train,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR418430
patric,SAMEA2339948,1280.8462,test,R,NA,NA,R,S,NA,R,NA,NA,R,S,ERR418431
patric,SAMEA2339949,1280.8465,train,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR418432
patric,SAMEA2339950,1280.8464,train,S,NA,NA,S,S,NA,S,NA,NA,S,S,ERR418433
patric,SAMEA2339953,1280.8461,test,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR418436
patric,SAMEA2339954,1280.8459,train,S,NA,NA,S,R,NA,S,NA,NA,S,S,ERR418437
patric,SAMEA2339955,1280.8458,train,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR418438
patric,SAMEA2339956,1280.8655,test,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR418439
patric,SAMEA2339957,1280.8656,test,S,NA,NA,S,S,NA,S,NA,NA,S,S,ERR418440
patric,SAMEA2339958,1280.8657,test,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR418441
patric,SAMEA2339959,1280.9757,train,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR418442
patric,SAMEA2339960,1280.9758,train,R,NA,NA,R,S,NA,R,NA,NA,R,S,ERR418443
patric,SAMEA2339961,1280.9759,train,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR418444
patric,SAMEA2339963,1280.8658,test,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR418446
patric,SAMEA2339964,1280.8659,train,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR418447
patric,SAMEA2339965,1280.8574,train,R,NA,NA,S,S,NA,S,NA,NA,R,S,ERR418448
patric,SAMEA2339966,1280.9761,train,S,NA,NA,S,S,NA,S,NA,NA,S,R,ERR418449
patric,SAMEA2339967,1280.8572,train,R,NA,NA,S,S,NA,R,NA,NA,R,S,ERR418450
patric,SAMEA2339968,1280.8571,train,R,NA,NA,S,S,NA,R,NA,NA,R,S,ERR418451
patric,SAMEA2339969,1280.9762,train,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR418452
patric,SAMEA2339970,1280.9763,train,S,NA,NA,S,S,NA,S,NA,NA,R,R,ERR418453
patric,SAMEA2339971,1280.9764,train,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR418454
patric,SAMEA2339972,1280.8575,train,R,NA,NA,S,S,NA,R,NA,NA,R,S,ERR418455
patric,SAMEA2339973,1280.9765,train,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR418456
patric,SAMEA2339974,1280.9766,test,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR418457
patric,SAMEA2339975,1280.8754,train,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR418458
patric,SAMEA2339976,1280.9767,test,S,NA,NA,S,S,NA,S,NA,NA,R,R,ERR418459
patric,SAMEA2339977,1280.9768,train,R,NA,NA,R,S,NA,R,NA,NA,R,S,ERR418460
patric,SAMEA2339978,1280.8753,test,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR418461
patric,SAMEA2339979,1280.9769,train,S,NA,NA,S,S,NA,S,NA,NA,S,S,ERR418462
patric,SAMEA2339981,1280.8681,train,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR418464
patric,SAMEA2339982,1280.8586,test,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR418465
patric,SAMEA2339983,1280.8691,train,R,NA,NA,S,S,NA,R,NA,NA,R,S,ERR418466
patric,SAMEA2339984,1280.8672,train,S,NA,NA,S,S,NA,S,NA,NA,R,S,ERR418467
patric,SAMEA2339986,1280.8674,test,S,NA,NA,R,S,NA,S,NA,NA,R,S,ERR418469
