Assembly,Level,WGS,BioSample,Isolate,Taxonomy,Source,District,Date of isolation,Read length (bp),Read number (bp),Rawdata (bp),Q20 (bp),Rate of Q20,Q30 (bp),Rate of Q30,Number of contigs,Largest contig length (bp),Total length (bp),QC ratio (%),N50 (bp),No. of CDS,BioSamples accessions,SNP cluster,Ampicillin,Ampicillin-sulbactam,Piperacillin,Piperacillin-tazobactam,Cefuroxime,Cefotetan,Ceftazidime,Ceftriaxone,Cefepime,Aztreonam,Imipenem,Amikacin,Gentamicin,Tobramycin
GCA_016916235.1,Contig,JADORD000000000,SAMN16708154,SLM290,Salmonella enterica,Chicken,Xicheng,"Oct. 1st, 2017",150,7587246,1138086900,1136473050,99.86%,1093949850,96.12%,18,1549041,4632322,52.14,489749,4333,SAMN16708154 ,PDS000026917.7,8,4,16,8,32,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016916215.1,Contig,JADORH000000000,SAMN16708158,SLM294,Salmonella enterica,Pork,Mentougou,"Oct. 1st, 2017",150,7838126,1175718900,1174488450,99.90%,1134886050,96.53%,43,719939,4983667,51.88,376564,4686,SAMN16708158 ,NA,≥32,≥32,64,≤4,4,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016916195.1,Contig,JADORE000000000,SAMN16708155,SLM291,Salmonella enterica,Chicken,Shunyi,"Oct. 1st, 2017",150,16519454,2477918100,2474152650,99.85%,2371006650,95.69%,22,1548958,4690397,52.13,489749,4407,SAMN16708155 ,PDS000026917.7,≤2,≤2,≤4,≤4,16,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016916165.1,Contig,JADORG000000000,SAMN16708157,SLM293,Salmonella enterica,Chicken,Shijingshan,"Oct. 1st, 2017",150,8616938,1292540700,1290829950,99.87%,1240171200,95.95%,23,1549243,4695487,52.13,489758,4410,SAMN16708157 ,PDS000077309.14,≤2,≤2,≤4,≤4,8,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016916135.1,Contig,JADORI000000000,SAMN16708159,SLM295,Salmonella enterica,Chicken,Mentougou,"Oct. 1st, 2017",150,7973820,1196073000,1194854400,99.90%,1157403600,96.77%,18,1549117,4632513,52.14,489749,4336,SAMN16708159 ,PDS000026939.12,≤2,≤2,≤4,≤4,4,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016916115.1,Contig,JADORK000000000,SAMN16708161,SLM297,Salmonella enterica,Chicken,Huairou,"Oct. 1st, 2017",150,6782622,1017393300,1015745400,99.84%,976579350,95.99%,67,491431,4792732,51.93,171727,4459,SAMN16708161 ,PDS000081903.1,≥32,≥32,≥128,16,≥64,≤4,16,≥64,32,≥64,≤1,4,≥16,≥16
GCA_016916065.1,Contig,JADORM000000000,SAMN16708163,SLM299,Salmonella enterica,Chicken,Tongzhou,"Oct. 1st, 2017",150,7899288,1184893200,1183584300,99.89%,1143559950,96.51%,27,1549244,4717766,52.1,489749,4444,SAMN16708163 ,PDS000026869.146,≥32,≥32,≥128,≤4,8,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016916035.1,Contig,JADORL000000000,SAMN16708162,SLM298,Salmonella enterica,Chicken,Huairou,"Oct. 1st, 2017",150,7476238,1121435700,1120281300,99.90%,1083438300,96.61%,24,1549246,4698543,52.13,489749,4421,SAMN16708162 ,PDS000026888.71,≤2,≤2,≤4,≤4,4,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016916015.1,Contig,JADORO000000000,SAMN16708165,SLM301,Salmonella enterica,Chicken,Tongzhou,"Oct. 1st, 2017",150,10482170,1572325500,1570255350,99.87%,1509009900,95.97%,22,1549246,4754175,52.08,489756,4486,SAMN16708165 ,PDS000026869.146,≥32,≥32,≥128,8,32,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016915995.1,Contig,JADORQ000000000,SAMN16708167,SLM303,Salmonella enterica,Chicken,Tongzhou,"Oct. 1st, 2017",150,12218246,1832736900,1830667500,99.89%,1764486600,96.28%,18,1549245,4632511,52.14,489749,4336,SAMN16708167 ,PDS000026888.71,≤2,≤2,≤4,≤4,4,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016915975.1,Contig,JADORP000000000,SAMN16708166,SLM302,Salmonella enterica,Chicken,Tongzhou,"Oct. 1st, 2017",150,10630390,1594558500,1592347650,99.86%,1529594100,95.93%,24,1884546,4655072,52.27,735078,4309,SAMN16708166 ,PDS000031367.4,≤2,≤2,≤4,≤4,4,≤4,≤1,≤1,≤1,≤1,≤1,4,≤1,≤1
GCA_016915945.1,Contig,JADORS000000000,SAMN16708169,SLM305,Salmonella enterica,Chicken,Tongzhou,"Oct. 1st, 2017",150,10999724,1649958600,1648146150,99.89%,1588994850,96.31%,48,908813,4805735,52.19,367050,4469,SAMN16708169 ,PDS000027970.243,≥32,≥32,≥128,8,≥64,≤4,16,≥64,≥64,≥64,≤1,≥64,≥16,≥16
GCA_016915915.1,Contig,JADORT000000000,SAMN16708170,SLM306,Salmonella enterica,Chicken,Fangshan,"Oct. 1st, 2017",150,11619634,1742945100,1740914100,99.88%,1678636200,96.31%,31,637622,4772743,52,368139,4472,SAMN16708170 ,PDS000050976.224,≤2,≤2,≤4,≤4,4,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016915895.1,Contig,JADORU000000000,SAMN16708171,SLM307,Salmonella enterica,Chicken,Fangshan,"Oct. 1st, 2017",150,11069182,1660377300,1657943700,99.85%,1593484950,95.97%,72,513726,4851969,51.83,173701,4532,SAMN16708171 ,NA,≥32,≥32,≥128,8,≥64,≤4,≥64,≥64,≥64,≥64,≤1,4,≥16,≥16
GCA_016915865.1,Contig,JADORV000000000,SAMN16708172,SLM308,Salmonella enterica,Chicken,Chaoyang,"Oct. 1st, 2017",150,12079850,1811977500,1809999000,99.89%,1748109750,96.48%,61,491431,4875137,51.94,179767,4550,SAMN16708172 ,PDS000043691.12,≥32,≥32,≥128,8,≥64,≤4,≥64,≥64,≥64,≥64,≤1,≥64,≥16,≥16
GCA_016915855.1,Contig,JADORW000000000,SAMN16708173,SLM309,Salmonella enterica,Chicken,Chaoyang,"Oct. 1st, 2017",150,11070804,1660620600,1658667900,99.88%,1594426050,96.01%,80,425644,4973721,51.81,171726,4705,SAMN16708173 ,NA,≥32,≥32,≥128,8,≥64,≤4,4,≥64,32,16,≤1,≥64,≥16,≥16
GCA_016915825.1,Contig,JADORX000000000,SAMN16708174,SLM310,Salmonella enterica,NA,Yanqing,"Oct. 1st, 2017",150,9720726,1458108900,1456002600,99.86%,1401858450,96.14%,22,1549246,4720124,52.09,489749,4446,SAMN16708174 ,PDS000026869.146,≥32,≥32,≥128,≤4,4,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016915815.1,Contig,JADORY000000000,SAMN16708175,SLM311,Salmonella enterica,NA,Yanqing,"Oct. 1st, 2017",150,11562098,1734314700,1732030050,99.87%,1669201050,96.25%,38,743359,4879934,52.18,330407,4612,SAMN16708175 ,PDS000031681.12,≤2,≤2,≤4,≤4,4,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016915795.1,Contig,JADORZ000000000,SAMN16708176,SLM312,Salmonella enterica,NA,Yanqing,"Oct. 1st, 2017",150,10794138,1619120700,1617060600,99.87%,1555702650,96.08%,47,1549259,4931738,51.72,467365,4665,SAMN16708176 ,NA,≥32,≥32,≥128,8,≥64,≤4,16,≥64,≥64,≥64,≤1,≥64,≥16,≥16
GCA_016915775.1,Contig,JADOSA000000000,SAMN16708177,YC296,Salmonella enterica,Chicken,Mentougou,"Jan. 1st, 2017",150,9455954,1418393100,1411223700,99.49%,1300321500,91.68%,28,1305214,4771241,52.02,489749,4502,SAMN16708177 ,PDS000026869.146,≥32,≥32,≥128,≤4,8,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016915755.1,Contig,JADOSB000000000,SAMN16708178,YC299,Salmonella enterica,Chicken,Fangshan,"Jan. 1st, 2017",150,9150702,1372605300,1363436550,99.33%,1246992450,90.85%,28,1305190,4703245,52.05,489749,4421,SAMN16708178 ,PDS000026869.146,≥32,≥32,≥128,≤4,4,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016915735.1,Contig,JADOSD000000000,SAMN16708180,YC301,Salmonella enterica,Chicken,Fangshan,"Jan. 1st, 2017",150,9383562,1407534300,1395190950,99.12%,1256691450,89.28%,84,533869,4916241,51.81,165320,4606,SAMN16708180 ,PDS000081907.1,≥32,≥32,≥128,8,≥64,≤4,4,≥64,32,16,≤1,≥64,≥16,≥16
GCA_016915715.1,Contig,JADOSC000000000,SAMN16708179,YC300,Salmonella enterica,Chicken,Fangshan,"Jan. 1st, 2017",150,10453788,1568068200,1556284950,99.25%,1415884500,90.29%,61,609768,4908185,51.85,224922,4609,SAMN16708179 ,PDS000018939.6,≥32,≥32,≥128,≤4,≥64,≤4,8,≥64,≥64,≥64,2,≤2,≥16,8
GCA_016915695.1,Contig,JADOSE000000000,SAMN16708181,YC303,Salmonella enterica,Chicken,Fangshan,"Jan. 1st, 2017",150,7757902,1163685300,1155739800,99.32%,1050995400,90.32%,27,1305214,4770607,52.02,489748,4503,SAMN16708181 ,PDS000026869.146,≥32,≥32,≥128,≤4,8,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016915655.1,Contig,JADOSF000000000,SAMN16708182,YC304,Salmonella enterica,Chicken,Fengtai,"Jan. 1st, 2017",150,8279456,1241918400,1233477000,99.32%,1123902150,90.50%,30,1305214,4750740,52.09,489746,4485,SAMN16708182 ,PDS000026869.146,≥32,≥32,≥128,≤4,8,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016915665.1,Contig,JADOSG000000000,SAMN16708183,YC305,Salmonella enterica,Chicken,Dongcheng,"Jan. 1st, 2017",150,7892818,1183922700,1175679000,99.30%,1066568100,90.09%,27,1549246,4770886,52.02,489749,4507,SAMN16708183 ,PDS000026869.146,≥32,≥32,≥128,8,32,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016915625.1,Contig,JADOSI000000000,SAMN16708185,YC307,Salmonella enterica,Chicken,Dongcheng,"Jan. 1st, 2017",150,10785340,1617801000,1610451150,99.55%,1483273800,91.68%,28,1549246,4750657,52.09,489749,4483,SAMN16708185 ,PDS000026869.146,≥32,≥32,≥128,≤4,8,≤4,≤1,≤1,≤1,≤1,2,≤2,≤1,≤1
GCA_016915615.1,Contig,JADOSH000000000,SAMN16708184,YC306,Salmonella enterica,Chicken,Fangshan,"Jan. 1st, 2017",150,9075576,1361336400,1354640100,99.51%,1243130550,91.32%,28,1305214,4771225,52.02,489749,4506,SAMN16708184 ,PDS000026869.146,≥32,≥32,≥128,8,32,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016915595.1,Contig,JADOSJ000000000,SAMN16708186,YC310,Salmonella enterica,Chicken,Dongcheng,"Jan. 1st, 2017",150,9500878,1425131700,1418616000,99.54%,1281898050,89.95%,28,1305215,4804765,52.01,489733,4548,SAMN16708186 ,PDS000026869.146,≥32,≥32,≥128,≤4,8,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016915575.1,Contig,JADOSL000000000,SAMN16708188,YC312,Salmonella enterica,Chicken,Haidian,"Jan. 1st, 2017",150,11370670,1705600500,1694463750,99.35%,1542341700,90.43%,25,1305214,4681760,52.13,489749,4405,SAMN16708188 ,PDS000026869.146,≥32,≥32,≥128,≤4,8,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016915555.1,Contig,JADOSK000000000,SAMN16708187,YC311,Salmonella enterica,Chicken,Haidian,"Jan. 1st, 2017",150,8270768,1240615200,1234361250,99.50%,1127516850,90.88%,33,1305214,4719927,52.11,489749,4444,SAMN16708187 ,PDS000026869.146,≥32,≥32,≥128,≤4,16,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016915505.1,Contig,JADOSO000000000,SAMN16708191,YC315,Salmonella enterica,Chicken,Fengtai,"Jan. 1st, 2017",150,10121960,1518294000,1514173950,99.73%,1286519400,84.73%,89,324466,4821420,51.99,148629,4524,SAMN16708191 ,PDS000043691.12,≥32,≥32,≥128,8,≥64,≤4,≥64,≥64,≥64,≥64,≤1,8,≥16,≥16
GCA_016915515.1,Contig,JADOSN000000000,SAMN16708190,YC314,Salmonella enterica,Chicken,Fengtai,"Jan. 1st, 2017",150,9447566,1417134900,1408602900,99.40%,1291027350,91.10%,28,1305214,4795542,51.98,489749,4531,SAMN16708190 ,PDS000026869.146,≥32,≥32,≥128,≤4,8,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016915495.1,Contig,JADOSM000000000,SAMN16708189,YC313,Salmonella enterica,Chicken,Haidian,"Jan. 1st, 2017",150,7828178,1174226700,1164769800,99.19%,1058372700,90.13%,86,425343,4961608,51.72,175428,4657,SAMN16708189 ,PDS000081907.1,≥32,≥32,≥128,8,≥64,≤4,4,≥64,32,16,≤1,8,≥16,≥16
GCA_016915465.1,Contig,JADOSP000000000,SAMN16708192,YC316,Salmonella enterica,Chicken,Fangshan,"Jan. 1st, 2017",150,11714618,1757192700,1750642950,99.63%,1663426050,94.66%,100,491431,4937991,51.98,171731,4623,SAMN16708192 ,PDS000043691.12,≥32,≥32,≥128,8,≥64,≤4,≥64,≥64,≥64,≥64,≤1,≤2,≥16,≥16
GCA_016915445.1,Contig,JADOSR000000000,SAMN16708194,YC318,Salmonella enterica,Chicken,Fangshan,"Jan. 1st, 2017",150,11383658,1707548700,1702472700,99.70%,1627194300,95.29%,31,1305208,4751371,52.09,489758,4488,SAMN16708194 ,PDS000026869.146,≥32,≥32,≥128,≤4,8,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016915435.1,Contig,JADOST000000000,SAMN16708196,YC344,Salmonella enterica,Chicken,Daxing,"Jan. 1st, 2017",150,11051320,1657698000,1652542050,99.69%,1571266500,94.79%,27,1305214,4829026,51.97,489746,4575,SAMN16708196 ,PDS000026869.146,≥32,≥32,≥128,≤4,8,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016915415.1,Contig,JADOSQ000000000,SAMN16708193,YC317,Salmonella enterica,Chicken,Haidian,"Jan. 1st, 2017",150,9179146,1376871900,1370066250,99.51%,1290497700,93.73%,28,1305213,4692685,52.14,489748,4410,SAMN16708193 ,PDS000026888.71,≤2,≤2,≤4,≤4,4,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016915395.1,Contig,JADOSS000000000,SAMN16708195,YC319,Salmonella enterica,Chicken,Fengtai,"Jan. 1st, 2017",150,11145056,1671758400,1667142600,99.72%,1591600650,95.21%,28,1305220,4692845,52.14,489749,4411,SAMN16708195 ,PDS000077309.14,≤2,≤2,≤4,≤4,16,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016915375.1,Contig,JADOSU000000000,SAMN16708197,YC345,Salmonella enterica,Chicken,Changping,"Jan. 1st, 2017",150,13879440,2081916000,2076556350,99.74%,1982604300,95.23%,79,386002,4823178,51.89,175428,4520,SAMN16708197 ,PDS000043691.12,≥32,≥32,≥128,16,≥64,≤4,≥64,≥64,≥64,≥64,≤1,4,≥16,≥16
GCA_016915345.1,Contig,JADOSV000000000,SAMN16708198,YC346,Salmonella enterica,Chicken,Haidian,"Jan. 1st, 2017",150,12674832,1901224800,1896098250,99.73%,1812072450,95.31%,30,1305214,4750692,52.09,489749,4484,SAMN16708198 ,PDS000026869.146,≥32,≥32,≥128,≤4,8,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016915335.1,Contig,JADOSX000000000,SAMN16708200,YC349,Salmonella enterica,Chicken,Haidian,"Jan. 1st, 2017",150,10173524,1526028600,1521195600,99.68%,1452753000,95.20%,33,1305214,4719926,52.11,489749,4444,SAMN16708200 ,PDS000026869.146,≤2,≤2,≤4,≤4,4,≤4,≤1,≤1,≤1,≤1,≤1,4,≤1,≤1
GCA_016915315.1,Contig,JADOSY000000000,SAMN16708201,YC350,Salmonella enterica,Chicken,Shijingshan,"Jan. 1st, 2017",150,10008298,1501244700,1496705700,99.70%,1433707500,95.50%,33,766566,4724963,52.24,716547,4405,SAMN16708201 ,PDS000031367.4,≤2,≤2,≤4,≤4,4,≤4,≤1,≤1,≤1,≤1,≤1,4,≤1,≤1
GCA_016915295.1,Contig,JADOSW000000000,SAMN16708199,YC347,Salmonella enterica,Chicken,Daxing,"Jan. 1st, 2017",150,10630922,1594638300,1590278100,99.73%,1518160650,95.20%,31,1305214,4717320,52.1,489749,4441,SAMN16708199 ,PDS000026869.146,≥32,≥32,≥128,≤4,16,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016915275.1,Contig,JADOTA000000000,SAMN16708203,YC352,Salmonella enterica,Chicken,Fengtai,"Jan. 1st, 2017",150,11047490,1657123500,1652919750,99.75%,1587622950,95.81%,28,1305220,4692833,52.14,489749,4412,SAMN16708203 ,PDS000077309.14,≤2,≤2,≤4,≤4,8,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016915245.1,Contig,JADOSZ000000000,SAMN16708202,YC351,Salmonella enterica,Chicken,Shijingshan,"Jan. 1st, 2017",150,5806362,870954300,868357200,99.70%,830220150,95.32%,80,491440,4751582,52.05,179768,4436,SAMN16708202 ,NA,≥32,≥32,≥128,8,≥64,≤4,4,≥64,4,16,≤1,8,≥16,≥16
GCA_016915215.1,Contig,JADOTB000000000,SAMN16708204,YC353,Salmonella enterica,Chicken,Fengtai,"Jan. 1st, 2017",150,13711368,2056705200,2052382500,99.79%,1982075550,96.37%,28,1302669,4827117,51.98,489759,4578,SAMN16708204 ,PDS000026869.146,≥32,≥32,64,≤4,8,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016915235.1,Contig,JADOTC000000000,SAMN16708205,YC354,Salmonella enterica,Chicken,Shunyi,"Jan. 1st, 2017",150,10689772,1603465800,1600145700,99.79%,1547215650,96.49%,31,1305215,4751188,52.09,489757,4488,SAMN16708205 ,PDS000026869.146,≥32,≥32,≥128,≤4,8,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016915175.1,Contig,JADOTH000000000,SAMN16708210,YC392,Salmonella enterica,Chicken,Fengtai,"Jan. 1st, 2017",150,9481406,1422210900,1415132550,99.50%,1336888200,94.00%,35,1305214,4719222,52.11,489749,4447,SAMN16708210 ,PDS000026869.146,≥32,≥32,≥128,≤4,16,≤4,≤1,≤1,≤1,≤1,≤1,4,≤1,≤1
GCA_016915195.1,Contig,JADOTD000000000,SAMN16708206,YC355,Salmonella enterica,Chicken,Changping,"Jan. 1st, 2017",150,12276450,1841467500,1837752300,99.80%,1773160950,96.29%,23,1305087,4634056,52.14,489749,4333,SAMN16708206 ,PDS000026939.12,≤2,≤2,≤4,≤4,8,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016915125.1,Contig,JADOTE000000000,SAMN16708207,YC356,Salmonella enterica,Chicken,Shijingshan,"Jan. 1st, 2017",150,14581484,2187222600,2177037150,99.53%,2060123850,94.19%,39,1305211,4771521,52.12,489749,4508,SAMN16708207 ,PDS000004748.44,≥32,≥32,≥128,≤4,≥64,≤4,≥64,≥64,≥64,≥64,≤1,≤2,≤1,≤1
GCA_016915145.1,Contig,JADOTF000000000,SAMN16708208,YC357,Salmonella enterica,Chicken,Fangshan,"Jan. 1st, 2017",150,10400232,1560034800,1552998750,99.55%,1474054950,94.49%,32,1305210,4719130,52.11,489748,4446,SAMN16708208 ,PDS000026869.146,≥32,≥32,64,≤4,4,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016915115.1,Contig,JADOTG000000000,SAMN16708209,YC358,Salmonella enterica,Mutton,Fengtai,"Jan. 1st, 2017",150,10071892,1510783800,1503475650,99.52%,1419432150,93.95%,32,1079465,4715912,52.1,406075,4441,SAMN16708209 ,PDS000026869.146,≥32,≥32,≥128,≤4,8,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016915095.1,Contig,JADOTI000000000,SAMN16708211,YC395,Salmonella enterica,Chicken,Fengtai,"Jan. 1st, 2017",150,10459066,1568859900,1563172500,99.64%,1486801950,94.77%,28,1305215,4804760,52.01,489734,4550,SAMN16708211 ,PDS000026869.146,≥32,≥32,≥128,≤4,8,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016915075.1,Contig,JADOTJ000000000,SAMN16708212,YC396,Salmonella enterica,Chicken,Fengtai,"Jan. 1st, 2017",150,12852288,1927843200,1920856350,99.64%,1829540250,94.90%,29,1305220,4692381,52.14,489749,4413,SAMN16708212 ,PDS000077309.14,≤2,≤2,≤4,≤4,8,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016915035.1,Contig,JADOTK000000000,SAMN16708213,YC397,Salmonella enterica,Chicken,Changping,"Jan. 1st, 2017",150,13356830,2003524500,1994780700,99.56%,1890233850,94.35%,64,425639,4910916,51.76,171731,4634,SAMN16708213 ,NA,≥32,≥32,≥128,≤4,≥64,≤4,≥64,≥64,≥64,≥64,≤1,≤2,≤1,≤1
GCA_016915025.1,Contig,JADOTM000000000,SAMN16708215,YC399,Salmonella enterica,Chicken,Shunyi,"Jan. 1st, 2017",150,8044656,1206698400,1200874350,99.52%,1128259800,93.50%,28,1305220,4692833,52.14,489749,4411,SAMN16708215 ,PDS000077309.14,≤2,≤2,≤4,≤4,4,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016915015.1,Contig,JADOTO000000000,SAMN16708217,YC418,Salmonella enterica,Pork,Shijingshan,"Jan. 1st, 2017",150,7811622,1171743300,1165423050,99.46%,1092278850,93.22%,82,907786,4950278,52.15,282528,4674,SAMN16708217 ,PDS000076482.83,≥32,≥32,32,≤4,8,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016914995.1,Contig,JADOTL000000000,SAMN16708214,YC398,Salmonella enterica,Chicken,Mentougou,"Jan. 1st, 2017",150,8885034,1332755100,1323327600,99.29%,1234375500,92.62%,30,1305214,4808121,52.01,489758,4556,SAMN16708214 ,PDS000026869.146,≥32,≥32,≥128,≤4,8,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016914975.1,Contig,JADOTN000000000,SAMN16708216,YC400,Salmonella enterica,Chicken,Changping,"Jan. 1st, 2017",150,7778156,1166723400,1158746250,99.32%,1081393050,92.69%,26,1305215,4647354,52.14,489749,4358,SAMN16708216 ,PDS000026869.146,≥32,≥32,≥128,≤4,8,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
GCA_016914955.1,Contig,JADOTQ000000000,SAMN16708219,YC420,Salmonella enterica,Chicken,Fangshan,"Jan. 1st, 2017",150,8283544,1242531600,1234771950,99.38%,1152991350,92.79%,28,1305213,4692498,52.14,489749,4407,SAMN16708219 ,PDS000026888.71,≤2,≤2,≤4,≤4,4,≤4,≤1,≤1,≤1,≤1,≤1,≤2,≤1,≤1
