PATRIC ID,Run Accession,Genome Name,Publication,Ampicillin,Amoxicillin-Clavulanate,Ceftriaxone,Chloramphenicol,Sulfisoxazole,Cefoxitin,Gentamycin,Kanamycin,Streptomycin,Tetracycline,Ceftiofur
590.14091,SRR1195666,Salmonella enterica SRR1195666,30333126,<=1,<=1,<=0.25,4,,2,<=0.25,,>64,>32,0.5
590.14356,SRR1198931,Salmonella enterica SRR1198931,30333126,>32,>32,16,8,,>16,<=0.25,,,<=4,>8
590.14426,SRR1198961,Salmonella enterica SRR1198961,30333126,<=1,<=1,<=0.25,4,,2,<=0.25,,,<=4,0.5
590.14442,SRR1198962,Salmonella enterica SRR1198962,30333126,>32,>32,8,8,,>16,>16,,>64,>32,>8
590.1446,SRR1198972,Salmonella enterica SRR1198972,30333126,>32,>32,8,4,,>16,0.5,,,<=4,>8
590.14485,SRR1200747,Salmonella enterica SRR1200747,30333126,2,<=1,<=0.25,4,,2,0.5,,,<=4,0.5
590.14517,SRR1200749,Salmonella enterica SRR1200749,30333126,<=1,<=1,<=0.25,8,,2,1,,,<=4,1
590.14638,SRR1200759,Salmonella enterica SRR1200759,30333126,2,<=1,<=0.25,8,,2,>16,,>64,>32,0.5
590.14668,SRR1200761,Salmonella enterica SRR1200761,30333126,4,4,<=0.25,8,,4,0.5,,,>32,1
590.14687,SRR1200762,Salmonella enterica SRR1200762,30333126,2,2,<=0.25,8,,8,0.5,,,>32,1
590.14748,SRR1200765,Salmonella enterica SRR1200765,30333126,2,<=1,<=0.25,8,,2,0.5,,,<=4,0.5
590.14766,SRR1200766,Salmonella enterica SRR1200766,30333126,2,2,<=0.25,4,,2,0.5,,64,>32,1
590.14785,SRR1200767,Salmonella enterica SRR1200767,30333126,2,2,<=0.25,8,,8,<=0.25,,,<=4,1
590.14821,SRR1202983,Salmonella enterica SRR1202983,30333126,2,<=1,<=0.25,8,,2,<=0.25,,,<=4,1
590.14878,SRR1202996,Salmonella enterica SRR1202996,30333126,>32,8,<=0.25,8,,2,0.5,,,<=4,0.5
590.14935,SRR1203013,Salmonella enterica SRR1203013,30333126,2,<=1,<=0.25,8,,2,0.5,,>64,>32,0.5
590.14964,SRR1203017,Salmonella enterica SRR1203017,30333126,2,<=1,<=0.25,4,,2,0.5,,,<=4,0.5
590.1498,SRR1203018,Salmonella enterica SRR1203018,30333126,<=1,<=1,<=0.25,4,,4,0.5,,,<=4,1
590.1504,SRR1203028,Salmonella enterica SRR1203028,30333126,>32,32,<=0.25,16,,16,8,,64,>32,2
590.15075,SRR1203044,Salmonella enterica SRR1203044,30333126,4,2,<=0.25,16,,8,0.5,,,<=4,1
590.15091,SRR1220702,Salmonella enterica SRR1220702,30333126,2,<=1,<=0.25,4,,4,0.5,,64,>32,0.5
590.15292,SRR1220745,Salmonella enterica SRR1220745,30333126,<=1,<=1,<=0.25,8,,2,>16,,>64,<=4,0.5
590.15303,SRR1220766,Salmonella enterica SRR1220766,30333126,2,<=1,<=0.25,4,,2,<=0.25,,,<=4,1
590.15316,SRR1220770,Salmonella enterica SRR1220770,30333126,2,<=1,<=0.25,8,,4,<=0.25,,,<=4,1
590.15341,SRR1220800,Salmonella enterica SRR1220800,30333126,2,<=1,<=0.25,4,,2,<=0.25,,,<=4,0.5
590.15401,SRR1257274,Salmonella enterica SRR1257274,30333126,>32,>32,8,8,,>16,1,,,<=4,>8
590.15445,SRR1257280,Salmonella enterica SRR1257280,30333126,2,<=1,<=0.25,8,,4,0.5,,,<=4,1
590.17815,SRR1257300,Salmonella enterica SRR1257300,30333126,>32,>32,16,>32,,>16,0.5,,>64,>32,>8
590.15646,SRR1272524,Salmonella enterica SRR1272524,30333126,>32,>32,32,8,,>16,<=0.25,,,<=4,>8
590.1579,SRR1272862,Salmonella enterica SRR1272862,30333126,<=1,<=1,<=0.25,8,,2,<=0.25,,,>32,0.5
590.158,SRR1272872,Salmonella enterica SRR1272872,30333126,>32,>32,32,8,,>16,0.5,,,<=4,>8
590.15816,SRR1272895,Salmonella enterica SRR1272895,30333126,2,<=1,<=0.25,8,,4,16,,>64,>32,1
590.15836,SRR1292273,Salmonella enterica SRR1292273,30333126,>32,>32,32,>32,>256,>32,0.5,,>64,>32,>8
590.15841,SRR1292319,Salmonella enterica SRR1292319,30333126,>32,>32,16,8,64,32,0.5,,>64,>32,>8
590.15893,SRR1299219,Salmonella enterica SRR1299219,30333126,<=1,<=1,<=0.25,8,,2,0.5,,,<=4,1
590.16037,SRR1299285,Salmonella enterica SRR1299285,30333126,>32,8,<=0.25,8,>256,4,<=0.25,,64,>32,1
590.16055,SRR1299286,Salmonella enterica SRR1299286,30333126,<=1,<=1,<=0.25,8,,2,<=0.25,,,<=4,0.5
590.16084,SRR1299292,Salmonella enterica SRR1299292,30333126,<=1,<=1,<=0.25,8,,4,<=0.25,,,<=4,1
590.16146,SRR1299301,Salmonella enterica SRR1299301,30333126,>32,>32,16,8,>256,>32,>16,,>64,>32,>8
590.16382,SRR1299361,Salmonella enterica SRR1299361,30333126,>32,>32,32,8,>256,>32,<=0.25,,,>32,>8
590.16461,SRR1299367,Salmonella enterica SRR1299367,30333126,<=1,<=1,<=0.25,8,64,2,<=0.25,,,<=4,0.5
590.16598,SRR1299398,Salmonella enterica SRR1299398,30333126,>32,>32,16,8,>256,>32,0.5,,,>32,>8
590.16672,SRR1299430,Salmonella enterica SRR1299430,30333126,<=1,<=1,<=0.25,8,,2,<=0.25,,,<=4,0.5
590.16696,SRR1299431,Salmonella enterica SRR1299431,30333126,2,2,<=0.25,4,,8,0.5,,>64,>32,1
590.16723,SRR1300555,Salmonella enterica SRR1300555,30333126,<=1,<=1,<=0.25,8,,2,<=0.25,,,<=4,0.5
590.16824,SRR1300605,Salmonella enterica SRR1300605,30333126,<=1,<=1,<=0.25,8,64,2,0.5,,,>32,0.5
590.16862,SRR1300612,Salmonella enterica SRR1300612,30333126,2,2,<=0.25,8,32,2,<=0.25,,>64,<=4,0.5
590.17028,SRR1300670,Salmonella enterica SRR1300670,30333126,<=1,<=1,<=0.25,8,64,4,0.5,,,>32,0.5
590.17121,SRR1300728,Salmonella enterica SRR1300728,30333126,2,<=1,<=0.25,4,,2,0.5,,,<=4,1
590.1713,SRR1300733,Salmonella enterica SRR1300733,30333126,<=1,<=1,<=0.25,8,,4,0.5,,,<=4,1
590.17382,SRR1334376,Salmonella enterica SRR1334376,30333126,<=1,<=1,<=0.25,4,64,1,8,,,<=4,0.5
590.17385,SRR1334378,Salmonella enterica SRR1334378,30333126,<=1,<=1,<=0.25,8,64,2,0.5,,,<=4,0.5
590.17407,SRR1334639,Salmonella enterica SRR1334639,30333126,2,<=1,<=0.25,8,>256,2,>16,,>64,<=4,0.5
590.17454,SRR1363286,Salmonella enterica SRR1363286,30333126,<=1,<=1,<=0.25,8,,4,<=0.25,,,<=4,1
590.17459,SRR1363287,Salmonella enterica SRR1363287,30333126,<=1,<=1,<=0.25,8,64,4,0.5,,,<=4,0.5
590.17467,SRR1363291,Salmonella enterica SRR1363291,30333126,<=1,<=1,<=0.25,8,64,2,<=0.25,,,>32,0.5
590.17474,SRR1363299,Salmonella enterica SRR1363299,30333126,>32,>32,64,>32,,>16,0.5,,>64,>32,>8
590.17478,SRR1363301,Salmonella enterica SRR1363301,30333126,>32,>32,32,>32,>256,>32,>16,,>64,>32,>8
590.17495,SRR1363314,Salmonella enterica SRR1363314,30333126,>32,>32,32,>32,>256,>32,>16,,>64,>32,>8
590.17497,SRR1363315,Salmonella enterica SRR1363315,30333126,2,2,<=0.25,8,,16,>16,,>64,>32,1
590.17498,SRR1363316,Salmonella enterica SRR1363316,30333126,2,<=1,<=0.25,8,,2,0.5,,>64,>32,1
590.17504,SRR1363330,Salmonella enterica SRR1363330,30333126,2,2,<=0.25,8,>256,2,0.5,,,<=4,1
590.17505,SRR1363331,Salmonella enterica SRR1363331,30333126,>32,16,<=0.25,>32,>256,2,0.5,,>64,32,1
590.17511,SRR1363345,Salmonella enterica SRR1363345,30333126,2,<=1,<=0.25,8,,2,0.5,,,<=4,1
590.17523,SRR1514713,Salmonella enterica SRR1514713,30333126,>32,32,<=0.25,4,,2,16,,>64,>32,1
590.17527,SRR1514721,Salmonella enterica SRR1514721,30333126,>32,>32,16,>32,,>16,0.5,,>64,>32,>8
590.17529,SRR1514723,Salmonella enterica SRR1514723,30333126,>32,4,<=0.25,8,,4,>16,,>64,<=4,0.5
590.17531,SRR1514724,Salmonella enterica SRR1514724,30333126,>32,>32,16,>32,,>16,<=0.25,,>64,>32,>8
590.17537,SRR1514746,Salmonella enterica SRR1514746,30333126,<=1,<=1,<=0.25,8,,4,16,,>64,16,1
590.12964,SRR1521525,Salmonella enterica SRR1521525,30333126,<=1,<=1,<=0.25,8,32,4,0.5,,,>32,0.5
590.13033,SRR1521560,Salmonella enterica SRR1521560,30333126,<=1,<=1,<=0.25,8,64,4,0.5,,,>32,1
590.1325,SRR1525263,Salmonella enterica SRR1525263,30333126,2,2,<=0.25,8,,2,<=0.25,,,<=4,0.5
590.13291,SRR1525269,Salmonella enterica SRR1525269,30333126,>32,>32,16,>32,,>16,<=0.25,,>64,>32,>8
590.13332,SRR1525275,Salmonella enterica SRR1525275,30333126,>32,32,<=0.25,8,,2,>16,,>64,>32,1
590.13337,SRR1525277,Salmonella enterica SRR1525277,30333126,>32,16,<=0.25,8,,2,16,,64,>32,1
590.13341,SRR1528470,Salmonella enterica SRR1528470,30333126,2,2,<=0.25,8,32,2,<=0.25,,,<=4,1
590.13382,SRR1528472,Salmonella enterica SRR1528472,30333126,>32,>32,<=0.25,4,>256,4,0.5,,>64,>32,1
590.13405,SRR1528473,Salmonella enterica SRR1528473,30333126,>32,8,<=0.25,4,32,2,0.5,,>64,>32,1
590.13425,SRR1528479,Salmonella enterica SRR1528479,30333126,<=1,<=1,<=0.25,8,64,4,<=0.25,,,<=4,1
590.13477,SRR1528486,Salmonella enterica SRR1528486,30333126,<=1,<=1,<=0.25,8,>256,2,>16,,>64,>32,0.5
590.13606,SRR1528495,Salmonella enterica SRR1528495,30333126,4,<=1,<=0.25,8,>256,4,16,,>64,>32,1
590.1364,SRR1528506,Salmonella enterica SRR1528506,30333126,2,2,<=0.25,8,64,2,0.5,,,<=4,1
590.13663,SRR1528507,Salmonella enterica SRR1528507,30333126,>32,16,<=0.25,4,>256,2,16,,>64,<=4,0.5
590.13683,SRR1528508,Salmonella enterica SRR1528508,30333126,<=1,<=1,<=0.25,4,32,2,<=0.25,,,<=4,1
590.13715,SRR1528512,Salmonella enterica SRR1528512,30333126,<=1,<=1,<=0.25,4,32,4,<=0.25,,,>32,1
590.1386,SRR1528526,Salmonella enterica SRR1528526,30333126,>32,>32,16,4,64,32,<=0.25,,,<=4,>8
590.13918,SRR1528530,Salmonella enterica SRR1528530,30333126,<=1,<=1,<=0.25,8,32,2,>16,,>64,>32,0.5
590.1398,SRR1528536,Salmonella enterica SRR1528536,30333126,>32,16,<=0.25,4,64,4,>16,,,<=4,1
590.14008,SRR1534823,Salmonella enterica SRR1534823,30333126,2,<=1,<=0.25,4,32,4,0.5,,,<=4,1
590.14018,SRR1534824,Salmonella enterica SRR1534824,30333126,<=1,<=1,<=0.25,8,64,2,<=0.25,,,<=4,0.5
590.14056,SRR1534878,Salmonella enterica SRR1534878,30333126,<=1,<=1,<=0.25,8,32,2,<=0.25,,,<=4,1
590.178,SRR1534888,Salmonella enterica SRR1534888,30333126,>32,8,<=0.25,8,<=16,1,<=0.25,,,<=4,0.5
590.14162,SRR1534903,Salmonella enterica SRR1534903,30333126,<=1,<=1,<=0.25,8,>256,2,<=0.25,,,>32,1
590.14248,SRR1544145,Salmonella enterica SRR1544145,30333126,<=1,<=1,<=0.25,8,32,2,0.5,,,<=4,0.5
590.14264,SRR1544152,Salmonella enterica SRR1544152,30333126,<=1,<=1,<=0.25,8,64,2,0.5,,>64,>32,0.5
590.14363,SRR1544176,Salmonella enterica SRR1544176,30333126,>32,>32,16,8,64,32,0.5,,>64,>32,>8
590.14453,SRR1544207,Salmonella enterica SRR1544207,30333126,>32,8,<=0.25,8,>256,2,16,,,>32,1
590.14472,SRR1544208,Salmonella enterica SRR1544208,30333126,>32,>32,32,>32,>256,>32,<=0.25,,>64,>32,>8
590.14542,SRR1544231,Salmonella enterica SRR1544231,30333126,>32,>32,8,>32,>256,32,0.5,,>64,>32,>8
590.14605,SRR1544239,Salmonella enterica SRR1544239,30333126,>32,>32,16,4,>256,>32,<=0.25,,,>32,>8
590.14839,SRR1544370,Salmonella enterica SRR1544370,30333126,>32,>32,16,4,64,32,1,,64,>32,>8
590.14913,SRR1544391,Salmonella enterica SRR1544391,30333126,>32,16,<=0.25,16,>256,8,<=0.25,,64,<=4,2
590.14953,SRR1544414,Salmonella enterica SRR1544414,30333126,<=1,<=1,<=0.25,8,32,2,0.5,,,<=4,1
590.14979,SRR1544415,Salmonella enterica SRR1544415,30333126,<=1,<=1,<=0.25,8,64,8,0.5,,,<=4,1
590.15014,SRR1544424,Salmonella enterica SRR1544424,30333126,<=1,<=1,<=0.25,8,32,2,0.5,,,<=4,1
590.15114,SRR1553754,Salmonella enterica SRR1553754,30333126,2,<=1,<=0.25,4,,2,0.5,,64,>32,0.5
590.15314,SRR1553836,Salmonella enterica SRR1553836,30333126,<=1,<=1,<=0.25,8,,2,>16,,64,<=4,1
590.15319,SRR1553842,Salmonella enterica SRR1553842,30333126,>32,16,<=0.25,8,>256,2,8,,64,>32,1
590.15334,SRR1553843,Salmonella enterica SRR1553843,30333126,<=1,<=1,<=0.25,8,64,4,0.5,,,>32,1
590.15363,SRR1553886,Salmonella enterica SRR1553886,30333126,2,<=1,<=0.25,8,,2,>16,,>64,<=4,1
590.15372,SRR1553905,Salmonella enterica SRR1553905,30333126,2,2,<=0.25,8,<=16,4,16,,64,<=4,1
590.15426,SRR1556071,Salmonella enterica SRR1556071,30333126,>32,32,<=0.25,16,>256,16,0.5,,64,>32,2
590.15527,SRR1556095,Salmonella enterica SRR1556095,30333126,>32,8,<=0.25,8,>256,4,>16,,>64,>32,1
590.15564,SRR1556103,Salmonella enterica SRR1556103,30333126,<=1,<=1,<=0.25,8,32,4,0.5,,,8,1
590.15597,SRR1556107,Salmonella enterica SRR1556107,30333126,<=1,<=1,<=0.25,8,64,4,<=0.25,,,<=4,1
590.15604,SRR1556115,Salmonella enterica SRR1556115,30333126,4,2,<=0.25,16,32,8,0.5,,,>32,2
590.15694,SRR1556947,Salmonella enterica SRR1556947,30333126,2,<=1,<=0.25,8,32,2,0.5,,,<=4,1
590.15741,SRR1556965,Salmonella enterica SRR1556965,30333126,<=1,<=1,<=0.25,8,64,2,<=0.25,,,<=4,1
590.15749,SRR1556968,Salmonella enterica SRR1556968,30333126,<=1,<=1,<=0.25,4,<=16,1,0.5,,,<=4,0.5
590.15783,SRR1556980,Salmonella enterica SRR1556980,30333126,<=1,<=1,<=0.25,4,64,1,0.5,,64,>32,0.5
590.15806,SRR1556982,Salmonella enterica SRR1556982,30333126,<=1,<=1,<=0.25,4,32,2,<=0.25,,64,>32,0.5
590.15826,SRR1556983,Salmonella enterica SRR1556983,30333126,<=1,<=1,<=0.25,8,64,2,0.5,,,<=4,0.5
590.15964,SRR1562587,Salmonella enterica SRR1562587,30333126,>32,8,<=0.25,8,<=16,2,<=0.25,,,<=4,0.5
590.15976,SRR1562593,Salmonella enterica SRR1562593,30333126,<=1,<=1,<=0.25,8,<=16,2,>16,,>64,<=4,0.5
590.15993,SRR1562599,Salmonella enterica SRR1562599,30333126,>32,8,<=0.25,8,>256,2,>16,,,8,0.5
590.1605,SRR1562608,Salmonella enterica SRR1562608,30333126,>32,>32,32,8,64,>32,1,,,>32,>8
590.16081,SRR1562638,Salmonella enterica SRR1562638,30333126,<=1,<=1,<=0.25,8,64,8,<=0.25,,,<=4,1
590.16147,SRR1562659,Salmonella enterica SRR1562659,30333126,<=1,<=1,<=0.25,8,64,4,0.5,,,<=4,1
590.1616,SRR1562660,Salmonella enterica SRR1562660,30333126,<=1,<=1,<=0.25,<=2,64,2,<=0.25,,>64,<=4,1
590.16166,SRR1573561,Salmonella enterica SRR1573561,30333126,>32,>32,16,8,>256,>32,<=0.25,,,>32,>8
590.16198,SRR1573563,Salmonella enterica SRR1573563,30333126,>32,>32,32,8,32,>32,<=0.25,,,<=4,>8
590.1628,SRR1573571,Salmonella enterica SRR1573571,30333126,<=1,<=1,<=0.25,8,<=16,2,0.5,,,<=4,0.5
590.16291,SRR1573572,Salmonella enterica SRR1573572,30333126,2,<=1,<=0.25,8,<=16,2,0.5,,,<=4,1
590.16303,SRR1573573,Salmonella enterica SRR1573573,30333126,<=1,<=1,<=0.25,8,64,2,0.5,,,<=4,0.5
590.1642,SRR1574259,Salmonella enterica SRR1574259,30333126,>32,16,<=0.25,4,>256,1,<=0.25,,>64,>32,0.5
590.16464,SRR1574278,Salmonella enterica SRR1574278,30333126,>32,8,<=0.25,8,32,1,<=0.25,,>64,>32,1
590.16502,SRR1574281,Salmonella enterica SRR1574281,30333126,4,2,<=0.25,16,>256,4,>16,,>64,>32,2
590.1659,SRR1574310,Salmonella enterica SRR1574310,30333126,>32,16,<=0.25,4,32,2,1,,,>32,0.5
590.16749,SRR1582170,Salmonella enterica SRR1582170,30333126,<=1,<=1,<=0.25,4,,2,0.5,,>64,>32,0.5
590.16772,SRR1582177,Salmonella enterica SRR1582177,30333126,>32,>32,32,>32,,>16,0.5,,>64,>32,>8
590.16801,SRR1582188,Salmonella enterica SRR1582188,30333126,2,<=1,<=0.25,8,,4,0.5,,,<=4,0.5
590.16916,SRR1583130,Salmonella enterica SRR1583130,30333126,<=1,<=1,<=0.25,8,64,2,0.5,,64,>32,1
590.16958,SRR1583139,Salmonella enterica SRR1583139,30333126,<=1,<=1,<=0.25,8,>256,2,<=0.25,,,>32,0.5
590.16967,SRR1583145,Salmonella enterica SRR1583145,30333126,<=1,<=1,<=0.25,8,>256,2,>16,,>64,<=4,0.5
590.17031,SRR1588662,Salmonella enterica SRR1588662,30333126,<=1,<=1,<=0.25,8,32,2,<=0.25,,>64,<=4,0.5
590.17134,SRR1588674,Salmonella enterica SRR1588674,30333126,2,<=1,<=0.25,8,64,4,0.5,,,<=4,0.5
590.17174,SRR1588686,Salmonella enterica SRR1588686,30333126,<=1,<=1,<=0.25,8,64,2,1,,64,<=4,0.5
590.17217,SRR1588692,Salmonella enterica SRR1588692,30333126,<=1,<=1,<=0.25,8,64,2,0.5,,64,>32,1
590.17233,SRR1598874,Salmonella enterica SRR1598874,30333126,<=1,<=1,<=0.25,8,64,2,0.5,,>64,<=4,0.5
590.1725,SRR1598877,Salmonella enterica SRR1598877,30333126,2,2,<=0.25,16,<=16,8,0.5,,,<=4,2
590.17253,SRR1598878,Salmonella enterica SRR1598878,30333126,<=1,<=1,<=0.25,8,64,2,<=0.25,,,<=4,1
590.17271,SRR1598881,Salmonella enterica SRR1598881,30333126,>32,16,<=0.25,>32,>256,8,16,,>64,>32,0.5
590.17281,SRR1598883,Salmonella enterica SRR1598883,30333126,<=1,<=1,<=0.25,4,32,1,0.5,,,<=4,0.5
590.17294,SRR1598885,Salmonella enterica SRR1598885,30333126,<=1,<=1,<=0.25,4,>256,2,16,,64,<=4,0.5
590.17299,SRR1598886,Salmonella enterica SRR1598886,30333126,<=1,<=1,<=0.25,8,64,4,<=0.25,,,<=4,1
590.17314,SRR1598889,Salmonella enterica SRR1598889,30333126,>32,8,<=0.25,16,>256,4,<=0.25,,,>32,2
590.17318,SRR1609681,Salmonella enterica SRR1609681,30333126,<=1,<=1,<=0.25,8,>256,4,>16,,64,>32,1
590.1738,SRR1609694,Salmonella enterica SRR1609694,30333126,>32,16,<=0.25,8,>256,2,8,,,<=4,1
590.17389,SRR1609696,Salmonella enterica SRR1609696,30333126,<=1,<=1,<=0.25,8,>256,4,<=0.25,,>64,>32,1
590.17395,SRR1615088,Salmonella enterica SRR1615088,30333126,<=1,<=1,<=0.25,8,64,2,<=0.25,,,<=4,0.5
590.17404,SRR1615092,Salmonella enterica SRR1615092,30333126,>32,>32,64,8,32,>32,<=0.25,,,<=4,>8
590.17416,SRR1619528,Salmonella enterica SRR1619528,30333126,<=1,<=1,<=0.25,8,64,2,<=0.25,,,<=4,0.5
590.17421,SRR1619548,Salmonella enterica SRR1619548,30333126,<=1,1,<=0.25,8,64,4,0.5,,>64,>32,1
590.17425,SRR1619553,Salmonella enterica SRR1619553,30333126,4,2,<=0.25,16,>256,16,2,,,>32,2
590.17432,SRR1619565,Salmonella enterica SRR1619565,30333126,<=1,<=1,<=0.25,8,32,2,0.5,,,<=4,0.5
590.1745,SRR1619597,Salmonella enterica SRR1619597,30333126,>32,16,<=0.25,8,<=16,2,0.5,,>64,<=4,0.5
590.17453,SRR1619602,Salmonella enterica SRR1619602,30333126,<=1,<=1,<=0.25,8,>256,4,>16,,>64,<=4,1
590.1746,SRR1631181,Salmonella enterica SRR1631181,30333126,>32,32,16,4,64,>32,<=0.25,,64,>32,>8
590.12963,SRR1631190,Salmonella enterica SRR1631190,30333126,<=1,<=1,<=0.25,<=2,64,4,0.5,,,<=4,0.5
590.13019,SRR1631196,Salmonella enterica SRR1631196,30333126,>32,8,<=0.25,4,<=16,2,0.5,,,<=4,0.5
590.13032,SRR1636988,Salmonella enterica SRR1636988,30333126,<=1,<=1,<=0.25,8,,2,<=0.25,,>64,>32,0.5
590.13064,SRR1637016,Salmonella enterica SRR1637016,30333126,<=1,<=1,<=0.25,8,,4,0.5,,,<=4,0.5
590.13223,SRR1637050,Salmonella enterica SRR1637050,30333126,>32,16,<=0.25,8,,4,0.5,,,<=4,1
590.13246,SRR1637052,Salmonella enterica SRR1637052,30333126,2,2,<=0.25,8,,8,2,,>64,<=4,1
590.1326,SRR1637053,Salmonella enterica SRR1637053,30333126,2,<=1,<=0.25,8,,4,0.5,,,<=4,1
590.13295,SRR1637055,Salmonella enterica SRR1637055,30333126,<=1,<=1,<=0.25,8,32,4,<=0.25,,,<=4,1
590.13348,SRR1637058,Salmonella enterica SRR1637058,30333126,<=1,<=1,<=0.25,4,,2,1,,>64,>32,1
590.13374,SRR1637060,Salmonella enterica SRR1637060,30333126,<=1,<=1,<=0.25,8,,2,0.5,,,<=4,0.5
590.13436,SRR1637068,Salmonella enterica SRR1637068,30333126,>32,16,<=0.25,4,,2,16,,64,>32,0.5
590.13481,SRR1637069,Salmonella enterica SRR1637069,30333126,<=1,<=1,<=0.25,4,,2,<=0.25,,,<=4,0.5
590.13503,SRR1637070,Salmonella enterica SRR1637070,30333126,>32,32,<=0.25,8,,4,16,,>64,>32,1
590.13563,SRR1637079,Salmonella enterica SRR1637079,30333126,2,<=1,<=0.25,8,,2,<=0.25,,,<=4,0.5
590.13587,SRR1637080,Salmonella enterica SRR1637080,30333126,2,<=1,<=0.25,8,,2,0.5,,64,>32,1
590.13661,SRR1637088,Salmonella enterica SRR1637088,30333126,>32,16,<=0.25,8,,2,1,,>64,>32,1
590.13679,SRR1646522,Salmonella enterica SRR1646522,30333126,<=1,<=1,<=0.25,8,64,1,0.5,,,<=4,0.5
590.13703,SRR1646531,Salmonella enterica SRR1646531,30333126,<=1,<=1,<=0.25,8,64,2,<=0.25,,,<=4,1
590.13721,SRR1646540,Salmonella enterica SRR1646540,30333126,>32,>32,32,8,64,>32,0.5,,,32,>8
590.13749,SRR1646541,Salmonella enterica SRR1646541,30333126,>32,>32,64,8,64,>32,0.5,,,<=4,>8
590.13771,SRR1646547,Salmonella enterica SRR1646547,30333126,<=1,<=1,<=0.25,8,32,2,<=0.25,,,<=4,0.5
590.1382,SRR1646555,Salmonella enterica SRR1646555,30333126,<=1,<=1,<=0.25,8,64,2,0.5,,,<=4,1
590.13855,SRR1646557,Salmonella enterica SRR1646557,30333126,<=1,<=1,<=0.25,8,64,4,<=0.25,,,<=4,1
590.13886,SRR1646573,Salmonella enterica SRR1646573,30333126,>32,>32,16,4,>256,>32,0.5,,,>32,>8
590.13942,SRR1646927,Salmonella enterica SRR1646927,30333126,<=1,<=1,<=0.25,4,64,2,<=0.25,,,<=4,0.5
590.13953,SRR1646928,Salmonella enterica SRR1646928,30333126,<=1,2,<=0.25,8,64,4,<=0.25,,,<=4,1
590.13962,SRR1646929,Salmonella enterica SRR1646929,30333126,<=1,<=1,<=0.25,4,64,1,<=0.25,,64,>32,0.5
590.13978,SRR1646930,Salmonella enterica SRR1646930,30333126,<=1,<=1,<=0.25,4,<=16,2,0.5,,,<=4,0.5
590.14028,SRR1646942,Salmonella enterica SRR1646942,30333126,2,2,<=0.25,8,32,8,0.5,,,>32,1
590.14072,SRR1646945,Salmonella enterica SRR1646945,30333126,<=1,<=1,<=0.25,8,64,2,<=0.25,,,<=4,1
590.14112,SRR1646948,Salmonella enterica SRR1646948,30333126,<=1,<=1,<=0.25,8,64,2,<=0.25,,64,>32,1
590.14153,SRR1658082,Salmonella enterica SRR1658082,30333126,>32,>32,32,8,,>16,0.5,,,>32,>8
590.14225,SRR1664261,Salmonella enterica SRR1664261,30333126,>32,>32,32,<=2,64,>32,0.5,,>64,>32,>8
590.14245,SRR1664264,Salmonella enterica SRR1664264,30333126,<=1,<=1,<=0.25,8,32,4,<=0.25,,,<=4,1
590.14407,SRR1664299,Salmonella enterica SRR1664299,30333126,>32,32,32,>32,>256,32,0.5,,>64,>32,>8
590.14482,SRR1698180,Salmonella enterica SRR1698180,30333126,2,<=1,<=0.25,8,,2,<=0.25,,,<=4,1
