PATRIC ID,Run Accession,Genome Name,Publication (pubmed ID),Amikacin,Ampicillin/Sulbactam,Aztreonam,Cefazolin,Cefepime,Cefoxitin,Ceftazidime,Ceftriaxone,Cefuroxime sodium,Ciprofloxacin,Gentamicin,Imipenem,Levofloxacin,Meropenem,Nitrofurantoin,Piperacillin/Tazobactam,Tetracycline,Tobramycin,Trimethoprim/Sulfamethoxazole
573.12875,SRR5973362,Klebsiella pneumoniae 77,29323230,<=4,8/4,<=1,2,<=0.5,<=4,<=0.5,<=0.5,<=4,<=0.5,1,<=0.25,<=1,<=0.125,64,4/4,<=1,1,<=0.5/9.5
573.12876,SRR5973235,Klebsiella pneumoniae 3296,29323230,<=4,>16/8,>16,>32,>16,8,>16,>32,,>2,1,0.5,>4,<=0.125,>64,>64/4,>8,>8,>2/38
573.12877,SRR5973355,Klebsiella pneumoniae 3400,29323230,<=4,>16/8,>16,>32,8,,>16,>32,,>2,>8,<=0.25,>4,,,,>8,>8,>2/38
573.12878,SRR5973378,Klebsiella pneumoniae 3262,29323230,<=4,>16/8,>16,>32,>16,>16,>16,>32,,>2,<=0.5,<=0.25,>4,0.094,>64,>64/4,4,<=0.5,>2/38
573.12879,SRR5973238,Klebsiella pneumoniae 3289,29323230,<=4,16/8,>16,>32,1,<=4,>16,32,,>2,>8,<=0.25,>4,<=0.125,,8/4,>8,>8,>2/38
573.12880,SRR5973337,Klebsiella pneumoniae 3365,29323230,<=4,>16/8,>16,>32,,>16,>16,>32,,>2,>8,>8,>4,>8,,>64/4,2,>8,1/19
573.12881,SRR5973304,Klebsiella pneumoniae 108,29323230,<=4,8/4,<=1,<=1,<=0.5,<=4,<=0.5,<=0.5,<=4,<=0.5,1,0.5,<=1,<=0.125,64,4/4,<=1,1,<=0.5/9.5
573.12882,SRR5973302,Klebsiella pneumoniae 113,29323230,<=4,8/4,<=1,<=1,<=0.5,<=4,<=0.5,<=0.5,<=4,<=0.5,1,0.5,<=1,<=0.125,<=16,4/4,<=1,1,<=0.5/9.5
573.12883,SRR5973402,Klebsiella pneumoniae 48,29323230,<=4,8/4,<=1,2,<=0.5,<=4,<=0.5,<=0.5,<=4,<=0.5,1,<=0.25,<=1,<=0.125,64,8/4,<=1,1,<=0.5/9.5
573.12884,SRR5973318,Klebsiella pneumoniae 3335,29323230,<=4,>16/8,>16,>32,16,>16,>16,>32,,>2,8,<=0.25,>4,0.125,>64,>64/4,4,>8,2/38
573.12885,SRR5973348,Klebsiella pneumoniae 91,29323230,<=4,8/4,<=1,2,<=0.5,<=4,<=0.5,<=0.5,<=4,<=0.5,1,0.5,<=1,<=0.125,,4/4,<=1,1,<=0.5/9.5
573.12886,SRR5973384,Klebsiella pneumoniae 53,29323230,<=4,8/4,<=1,<=1,<=0.5,<=4,<=0.5,<=0.5,<=4,<=0.5,1,<=0.25,<=1,<=0.125,64,4/4,2,1,<=0.5/9.5
573.12887,SRR5973291,Klebsiella pneumoniae 3314,29323230,32,>16/8,>16,>32,16,16,>16,>32,,>2,>8,<=0.25,>4,<=0.125,,>64/4,>8,>8,>2/38
573.12888,SRR5973394,Klebsiella pneumoniae 3279,29323230,32,>16/8,>16,>32,4,16,>16,>32,,>2,>8,<=0.25,>4,<=0.125,>64,>64/4,2,>8,1/19
573.12889,SRR5973385,Klebsiella pneumoniae 51,29323230,<=4,8/4,<=1,<=1,<=0.5,<=4,<=0.5,<=0.5,<=4,<=0.5,1,<=0.25,<=1,<=0.125,>64,4/4,<=1,1,<=0.5/9.5
573.12890,SRR5973333,Klebsiella pneumoniae 103,29323230,<=4,8/4,<=1,2,<=0.5,<=4,<=0.5,<=0.5,<=4,<=0.5,1,<=0.25,<=1,<=0.125,,4/4,2,1,<=0.5/9.5
573.12891,SRR5973273,Klebsiella pneumoniae 3310,29323230,<=4,>16/8,>16,>32,>16,>16,>16,>32,,>2,>8,<=0.25,>4,<=0.125,>64,>64/4,>8,>8,>2/38
573.12892,SRR5973335,Klebsiella pneumoniae 3371,29323230,<=4,>16/8,8,>32,16,<=4,8,>32,,>2,1,<=0.25,<=1,<=0.125,>64,8/4,<=1,8,>2/38
573.12893,SRR5973250,Klebsiella pneumoniae 3238,29323230,<=4,>16/8,>16,>32,>16,8,>16,>32,,>2,>8,<=0.25,>4,<=0.125,,>64/4,4,8,>2/38
573.12894,SRR5973380,Klebsiella pneumoniae 3264,29323230,<=4,>16/8,>16,>32,>16,<=4,>16,>32,,>2,>8,<=0.25,>4,<=0.125,>64,>64/4,2,8,<=0.5/9.5
573.12895,SRR5973275,Klebsiella pneumoniae 3209,29323230,<=4,8/4,16,>32,<=0.5,<=4,16,2,,,8,0.5,<=1,<=0.125,>64,4/4,<=1,8,<=0.5/9.5
573.12896,SRR5973236,Klebsiella pneumoniae 3300,29323230,<=4,16/8,16,>32,1,>16,>16,4,,>2,8,<=0.25,>4,<=0.125,>64,16/4,>8,8,<=0.5/9.5
573.12897,SRR5973249,Klebsiella pneumoniae 3241,29323230,<=4,>16/8,>16,>32,>16,8,>16,>32,,>2,1,<=0.25,>4,<=0.125,64,>64/4,>8,8,>2/38
573.12898,SRR5973282,Klebsiella pneumoniae 3216,29323230,<=4,>16/8,>16,>32,,<=4,>16,>32,,>2,>8,<=0.25,>4,<=0.125,>64,>64/4,>8,>8,>2/38
573.12899,SRR5973338,Klebsiella pneumoniae 3368,29323230,<=4,>16/8,>16,>32,>16,<=4,>16,>32,,2,>8,0.5,<=1,<=0.125,>64,16/4,>8,>8,>2/38
573.12900,SRR5973310,Klebsiella pneumoniae 1,29323230,<=4,8/4,<=1,<=1,<=0.5,<=4,<=0.5,<=0.5,<=4,<=0.5,1,<=0.25,<=1,<=0.125,>64,4/4,<=1,1,<=0.5/9.5
573.12901,SRR5973409,Klebsiella pneumoniae 39,29323230,<=4,8/4,<=1,<=1,<=0.5,<=4,<=0.5,<=0.5,<=4,<=0.5,<=0.5,<=0.25,<=1,<=0.125,32,4/4,>8,1,<=0.5/9.5
573.12902,SRR5973299,Klebsiella pneumoniae 119,29323230,<=4,8/4,<=1,2,<=0.5,8,<=0.5,<=0.5,8,<=0.5,1,<=0.25,<=1,<=0.125,>64,4/4,4,1,<=0.5/9.5
573.12903,SRR5973388,Klebsiella pneumoniae 61,29323230,<=4,16/8,<=1,2,<=0.5,<=4,<=0.5,<=0.5,<=4,<=0.5,1,<=0.25,<=1,<=0.125,>64,4/4,>8,1,>2/38
573.12904,SRR5973308,Klebsiella pneumoniae 6,29323230,<=4,8/4,<=1,<=1,<=0.5,<=4,<=0.5,<=0.5,<=4,<=0.5,<=0.5,<=0.25,<=1,<=0.125,32,4/4,<=1,1,<=0.5/9.5
573.12905,SRR5973379,Klebsiella pneumoniae 3263,29323230,<=4,>16/8,>16,>32,>16,>16,>16,>32,,>2,>8,>8,>4,>8,>64,>64/4,4,2,>2/38
573.12906,SRR5973329,Klebsiella pneumoniae 98,29323230,<=4,2/1,<=1,<=1,<=0.5,<=4,<=0.5,<=0.5,<=4,<=0.5,1,<=0.25,<=1,<=0.125,,4/4,<=1,1,<=0.5/9.5
573.12907,SRR5973346,Klebsiella pneumoniae 89,29323230,<=4,8/4,<=1,2,<=0.5,<=4,<=0.5,<=0.5,<=4,<=0.5,1,0.5,<=1,<=0.125,,4/4,<=1,1,<=0.5/9.5
573.12908,SRR5973367,Klebsiella pneumoniae 74,29323230,<=4,8/4,<=1,2,<=0.5,8,<=0.5,<=0.5,8,<=0.5,1,0.5,<=1,<=0.125,32,8/4,2,1,<=0.5/9.5
573.12909,SRR5973294,Klebsiella pneumoniae 3317,29323230,<=4,>16/8,>16,>32,>16,>16,>16,>32,,>2,4,<=0.25,>4,<=0.125,>64,>64/4,>8,,>2/38
573.12910,SRR5973292,Klebsiella pneumoniae 3315,29323230,<=4,>16/8,<=1,>32,1,16,16,<=0.5,,1,1,<=0.25,<=1,<=0.125,,>64/4,>8,1,1/19
573.12911,SRR5973377,Klebsiella pneumoniae 3259,29323230,<=4,8/4,8,>32,<=0.5,<=4,16,2,,2,8,0.5,<=1,<=0.125,>64,<=2/4,<=1,8,<=0.5/9.5
573.12912,SRR5973370,Klebsiella pneumoniae 79,29323230,<=4,8/4,<=1,<=1,<=0.5,<=4,<=0.5,<=0.5,<=4,<=0.5,1,<=0.25,<=1,<=0.125,>64,4/4,<=1,1,<=0.5/9.5
573.12913,SRR5973287,Klebsiella pneumoniae 3318,29323230,<=4,>16/8,>16,>32,>16,>16,>16,>32,,>2,1,>8,>4,>8,>64,>64/4,>8,1,2/38
573.12914,SRR5973397,Klebsiella pneumoniae 3275,29323230,<=4,>16/8,>16,>32,>16,<=4,>16,>32,,>2,>8,0.5,<=1,<=0.125,>64,32/4,>8,>8,>2/38
573.12915,SRR5973357,Klebsiella pneumoniae 3401,29323230,<=4,>16/8,<=1,>32,16,,1,>32,,1,1,<=0.25,<=1,<=0.125,64,,>8,1,>2/38
573.12916,SRR5973324,Klebsiella pneumoniae 3338,29323230,<=4,16/8,>16,>32,<=0.5,8,>16,2,,>2,8,<=0.25,4,<=0.125,,16/4,4,8,>2/38
573.12917,SRR5973303,Klebsiella pneumoniae 112,29323230,<=4,8/4,<=1,2,<=0.5,<=4,<=0.5,<=0.5,<=4,<=0.5,1,0.5,<=1,<=0.125,>64,4/4,<=1,1,<=0.5/9.5
573.12918,SRR5973323,Klebsiella pneumoniae 3340,29323230,<=4,>16/8,16,>32,>16,8,16,>32,,>2,1,0.5,>4,<=0.125,,16/4,4,8,>2/38
573.12919,SRR5973321,Klebsiella pneumoniae 3346,29323230,<=4,>16/8,>16,>32,>16,>16,>16,>32,,>2,>8,0.5,>4,1,>64,>64/4,>8,2,>2/38
573.12920,SRR5973271,Klebsiella pneumoniae 3308,29323230,32,>16/8,>16,>32,>16,16,>16,>32,,>2,4,<=0.25,>4,<=0.125,,>64/4,2,>8,>2/38
573.12921,SRR5973366,Klebsiella pneumoniae 73,29323230,<=4,8/4,<=1,<=1,<=0.5,<=4,<=0.5,<=0.5,<=4,<=0.5,1,<=0.25,<=1,<=0.125,64,<=2/4,<=1,1,<=0.5/9.5
573.12922,SRR5973389,Klebsiella pneumoniae 60,29323230,<=4,4/2,<=1,<=1,<=0.5,<=4,<=0.5,<=0.5,<=4,<=0.5,1,<=0.25,<=1,<=0.125,64,4/4,<=1,1,<=0.5/9.5
573.12923,SRR5973352,Klebsiella pneumoniae 83,29323230,<=4,8/4,<=1,<=1,<=0.5,<=4,<=0.5,<=0.5,<=4,<=0.5,1,0.5,<=1,<=0.125,,4/4,2,1,<=0.5/9.5
573.12924,SRR5973246,Klebsiella pneumoniae 3230,29323230,<=4,16/8,>16,>32,>16,>16,>16,>32,,2,8,1,<=1,0.032,>64,>64/4,<=1,8,<=0.5/9.5
573.12925,SRR5973347,Klebsiella pneumoniae 93,29323230,<=4,4/2,<=1,<=1,<=0.5,<=4,<=0.5,<=0.5,<=4,<=0.5,1,0.5,<=1,<=0.125,32,<=2/4,<=1,1,<=0.5/9.5
573.12926,SRR5973257,Klebsiella pneumoniae 23,29323230,<=4,8/4,<=1,<=1,<=0.5,<=4,<=0.5,<=0.5,<=4,<=0.5,1,0.5,<=1,<=0.125,64,4/4,2,1,<=0.5/9.5
573.12927,SRR5973300,Klebsiella pneumoniae 116,29323230,<=4,8/4,<=1,2,<=0.5,<=4,<=0.5,<=0.5,<=4,<=0.5,1,<=0.25,<=1,<=0.125,64,4/4,>8,1,<=0.5/9.5
573.12928,SRR5973327,Klebsiella pneumoniae 96,29323230,<=4,8/4,<=1,<=1,<=0.5,<=4,<=0.5,<=0.5,<=4,<=0.5,1,<=0.25,<=1,<=0.125,64,4/4,2,1,<=0.5/9.5
573.12930,SRR5973382,Klebsiella pneumoniae 58,29323230,32,8/4,<=1,4,<=0.5,8,<=0.5,<=0.5,8,>2,2,<=0.25,>4,<=0.125,>64,8/4,<=1,>8,>2/38
573.12931,SRR5973381,Klebsiella pneumoniae 3265,29323230,<=4,>16/8,>16,>32,1,8,>16,8,,>2,>8,<=0.25,>4,<=0.125,>64,8/4,2,>8,<=0.5/9.5
573.12932,SRR5973361,Klebsiella pneumoniae 3393,29323230,<=4,>16/8,8,>32,,8,>16,>32,,>2,>8,<=0.25,>4,<=0.125,>64,>64/4,4,8,>2/38
573.12933,SRR5973365,Klebsiella pneumoniae 76,29323230,<=4,8/4,<=1,16,<=0.5,>16,<=0.5,<=0.5,<=4,<=0.5,1,<=0.25,<=1,<=0.125,,4/4,<=1,1,<=0.5/9.5
573.12934,SRR5973314,Klebsiella pneumoniae 9,29323230,<=4,4/2,<=1,2,<=0.5,<=4,<=0.5,<=0.5,<=4,<=0.5,1,0.5,<=1,<=0.125,32,<=2/4,<=1,1,<=0.5/9.5
573.12935,SRR5973334,Klebsiella pneumoniae 104,29323230,<=4,8/4,<=1,<=1,<=0.5,<=4,<=0.5,<=0.5,<=4,<=0.5,1,<=0.25,<=1,<=0.125,32,4/4,<=1,1,<=0.5/9.5
573.12936,SRR5973289,Klebsiella pneumoniae 3323,29323230,16,>16/8,>16,>32,>16,>16,>16,>32,,>2,2,8,>4,>8,>64,>64/4,4,>8,>2/38
573.12937,SRR5973372,Klebsiella pneumoniae 3251,29323230,<=4,>16/8,<=1,>32,1,<=4,4,<=0.5,,<=0.5,1,<=0.25,<=1,<=0.125,64,>64/4,>8,1,<=0.5/9.5
573.12938,SRR5973320,Klebsiella pneumoniae 3329,29323230,<=4,>16/8,>16,>32,16,<=4,16,>32,,>2,>8,<=0.25,<=1,<=0.125,64,32/4,>8,>8,>2/38
573.12939,SRR5973307,Klebsiella pneumoniae 8,29323230,<=4,8/4,<=1,<=1,<=0.5,<=4,<=0.5,<=0.5,<=4,<=0.5,1,<=0.25,<=1,<=0.125,,4/4,<=1,1,<=0.5/9.5
573.12940,SRR5973351,Klebsiella pneumoniae 87,29323230,<=4,8/4,<=1,2,<=0.5,8,<=0.5,<=0.5,8,<=0.5,1,<=0.25,<=1,<=0.125,,8/4,2,1,<=0.5/9.5
573.12941,SRR5973261,Klebsiella pneumoniae 29,29323230,<=4,4/2,<=1,<=1,<=0.5,<=4,<=0.5,<=0.5,<=4,<=0.5,1,2,<=1,<=0.125,64,<=2/4,2,1,<=0.5/9.5
573.12942,SRR5973315,Klebsiella pneumoniae 3353,29323230,<=4,16/8,16,>32,<=0.5,16,>16,4,,>2,8,<=0.25,4,<=0.125,>64,8/4,8,8,<=0.5/9.5
573.12943,SRR5973350,Klebsiella pneumoniae 81,29323230,<=4,8/4,<=1,2,<=0.5,<=4,<=0.5,<=0.5,<=4,<=0.5,1,<=0.25,<=1,<=0.125,64,4/4,<=1,1,<=0.5/9.5
573.12944,SRR5973398,Klebsiella pneumoniae 3273,29323230,<=4,>16/8,>16,>32,16,<=4,>16,>32,,>2,>8,<=0.25,<=1,<=0.125,>64,64/4,<=1,8,>2/38
573.12945,SRR5973341,Klebsiella pneumoniae 3354,29323230,<=4,16/8,>16,>32,1,>16,>16,4,,>2,8,<=0.25,>4,<=0.125,,16/4,>8,8,<=0.5/9.5
573.12946,SRR5973406,Klebsiella pneumoniae 45,29323230,<=4,8/4,<=1,<=1,<=0.5,<=4,<=0.5,<=0.5,<=4,<=0.5,1,<=0.25,<=1,<=0.125,64,4/4,<=1,1,<=0.5/9.5
573.12947,SRR5973339,Klebsiella pneumoniae 3362,29323230,<=4,>16/8,,>32,>16,<=4,>16,>32,,>2,>8,<=0.25,>4,<=0.125,>64,>64/4,>8,>8,>2/38
573.12948,SRR5973244,Klebsiella pneumoniae 3291,29323230,32,>16/8,>16,>32,>16,>16,8,>32,,>2,2,8,>4,>8,,>64/4,>8,>8,>2/38
573.12949,SRR5973393,Klebsiella pneumoniae 3281,29323230,<=4,>16/8,>16,>32,>16,<=4,>16,>32,,>2,>8,<=0.25,<=1,<=0.125,>64,16/4,>8,>8,>2/38
573.12950,SRR5973364,Klebsiella pneumoniae 75,29323230,<=4,8/4,<=1,<=1,<=0.5,<=4,<=0.5,<=0.5,<=4,<=0.5,1,0.5,<=1,<=0.125,,4/4,<=1,1,<=0.5/9.5
573.12951,SRR5973328,Klebsiella pneumoniae 97,29323230,<=4,8/4,<=1,<=1,<=0.5,<=4,<=0.5,<=0.5,<=4,<=0.5,1,<=0.25,<=1,<=0.125,32,4/4,<=1,1,<=0.5/9.5
573.12952,SRR5973290,Klebsiella pneumoniae 3324,29323230,8,>16/8,>16,>32,>16,<=4,>16,>32,,>2,>8,<=0.25,<=1,<=0.125,,>64/4,>8,>8,>2/38
573.12953,SRR5973376,Klebsiella pneumoniae 3256,29323230,<=4,>16/8,>16,>32,>16,8,>16,>32,,>2,1,0.5,>4,<=0.125,>64,64/4,>8,1,>2/38
573.12954,SRR5973276,Klebsiella pneumoniae 3210,29323230,<=4,>16/8,>16,>32,>16,>16,>16,>32,,<=0.5,<=0.5,<=0.25,<=1,<=0.125,,>64/4,>8,<=0.5,>2/38
573.12955,SRR5973277,Klebsiella pneumoniae 126,29323230,<=4,8/4,<=1,8,<=0.5,16,<=0.5,<=0.5,8,<=0.5,1,0.5,<=1,<=0.125,>64,4/4,2,1,<=0.5/9.5
573.12956,SRR5973399,Klebsiella pneumoniae 3272,29323230,<=4,>16/8,>16,>32,16,16,>16,>32,,>2,>8,<=0.25,>4,<=0.125,>64,16/4,>8,>8,>2/38
573.12957,SRR5973373,Klebsiella pneumoniae 3252,29323230,<=4,>16/8,>16,>32,>16,8,>16,>32,,>2,1,0.5,>4,<=0.125,64,16/4,4,1,1/19
573.12958,SRR5973400,Klebsiella pneumoniae 3270,29323230,<=4,>16/8,>16,>32,8,8,>16,>32,,>2,1,<=0.25,>4,<=0.125,>64,>64/4,4,1,>2/38
573.12959,SRR5973392,Klebsiella pneumoniae 3283,29323230,>32,8/4,>16,32,4,>16,>16,16,,1,>8,2,<=1,4,>64,<=2/4,>8,>8,<=0.5/9.5
573.12960,SRR5973297,Klebsiella pneumoniae 123,29323230,<=4,2/1,<=1,<=1,<=0.5,<=4,<=0.5,<=0.5,<=4,<=0.5,1,0.5,<=1,<=0.125,>64,<=2/4,<=1,2,<=0.5/9.5
573.12961,SRR5973313,Klebsiella pneumoniae 10,29323230,<=4,16/8,<=1,2,<=0.5,<=4,<=0.5,<=0.5,<=4,<=0.5,1,<=0.25,<=1,<=0.125,32,4/4,>8,1,>2/38
573.12962,SRR5973262,Klebsiella pneumoniae 28,29323230,<=4,8/4,<=1,>32,<=0.5,>16,<=0.5,<=0.5,<=4,<=0.5,1,<=0.25,<=1,<=0.125,<=16,4/4,<=1,1,<=0.5/9.5
573.12963,SRR5973263,Klebsiella pneumoniae 31,29323230,<=4,8/4,<=1,2,<=0.5,<=4,16,<=0.5,<=4,<=0.5,1,<=0.25,<=1,0.023,32,4/4,2,1,<=0.5/9.5
573.12964,SRR5973274,Klebsiella pneumoniae 3309,29323230,<=4,16/8,>16,>32,2,>16,>16,4,,>2,8,<=0.25,>4,<=0.125,,16/4,>8,8,<=0.5/9.5
573.12965,SRR5973296,Klebsiella pneumoniae 124,29323230,<=4,>16/8,<=1,16,<=0.5,16,<=0.5,<=0.5,8,<=0.5,1,<=0.25,<=1,<=0.125,<=16,4/4,>8,1,<=0.5/9.5
573.12966,SRR5973342,Klebsiella pneumoniae 3357,29323230,<=4,>16/8,>16,>32,>16,>16,>16,>32,,>2,1,>8,>4,>8,,>64/4,2,1,>2/38
573.12967,SRR5973305,Klebsiella pneumoniae 18,29323230,<=4,8/4,<=1,2,<=0.5,<=4,<=0.5,<=0.5,<=4,<=0.5,1,0.5,<=1,<=0.125,>64,4/4,2,1,<=0.5/9.5
573.12968,SRR5973301,Klebsiella pneumoniae 114,29323230,<=4,8/4,<=1,4,<=0.5,>16,1,<=0.5,>16,<=0.5,1,<=0.25,<=1,<=0.125,<=16,16/4,8,1,<=0.5/9.5
573.12969,SRR5973242,Klebsiella pneumoniae 3295,29323230,<=4,>16/8,>16,>32,16,<=4,>16,>32,,>2,>8,<=0.25,4,<=0.125,,32/4,<=1,>8,>2/38
573.12970,SRR5973247,Klebsiella pneumoniae 3236,29323230,<=4,>16/8,>16,>32,,16,>16,>32,,>2,<=0.5,<=0.25,>4,<=0.125,>64,32/4,>8,<=0.5,<=0.5/9.5
573.12971,SRR5973267,Klebsiella pneumoniae 3303,29323230,<=4,>16/8,>16,>32,>16,<=4,>16,>32,,>2,>8,<=0.25,<=1,<=0.125,64,64/4,>8,>8,>2/38
573.12972,SRR5973254,Klebsiella pneumoniae 3244,29323230,<=4,>16/8,>16,>32,>16,<=4,16,>32,,>2,>8,0.5,<=1,<=0.125,>64,16/4,>8,>8,>2/38
573.12973,SRR5973269,Klebsiella pneumoniae 3306,29323230,<=4,>16/8,>16,>32,>16,<=4,>16,>32,,>2,>8,<=0.25,>4,<=0.125,>64,4/4,<=1,8,>2/38
573.12974,SRR5973344,Klebsiella pneumoniae 3380,29323230,<=4,>16/8,>16,>32,>16,<=4,>16,>32,,2,1,0.5,<=1,<=0.125,64,16/4,>8,8,>2/38
573.12975,SRR5973240,Klebsiella pneumoniae 3285,29323230,<=4,>16/8,>16,>32,>16,8,>16,>32,,>2,>8,2,>4,<=0.125,>64,8/4,8,8,>2/38
573.12976,SRR5973395,Klebsiella pneumoniae 3277,29323230,<=4,>16/8,>16,>32,>16,8,>16,>32,,>2,1,<=0.25,>4,<=0.125,,>64/4,>8,>8,>2/38
573.12977,SRR5973343,Klebsiella pneumoniae 3377,29323230,<=4,>16/8,>16,>32,>16,>16,>16,>32,,>2,>8,<=0.25,>4,<=0.125,>64,64/4,>8,8,>2/38
573.12978,SRR5973349,Klebsiella pneumoniae 82,29323230,<=4,16/8,<=1,4,<=0.5,16,<=0.5,<=0.5,16,>2,<=0.5,<=0.25,>4,<=0.125,,8/4,4,1,>2/38
573.12979,SRR5973401,Klebsiella pneumoniae 3268,29323230,<=4,>16/8,8,>32,8,<=4,16,>32,,<=0.5,1,<=0.25,<=1,<=0.125,,8/4,>8,8,>2/38
573.12980,SRR5973331,Klebsiella pneumoniae 101,29323230,<=4,8/4,<=1,2,<=0.5,8,<=0.5,<=0.5,8,<=0.5,<=0.5,<=0.25,<=1,<=0.125,>64,8/4,2,1,<=0.5/9.5
573.12981,SRR5973319,Klebsiella pneumoniae 3332,29323230,8,>16/8,>16,>32,>16,>16,>16,>32,,>2,>8,<=0.25,>4,0.38,,>64/4,>8,>8,>2/38
573.12982,SRR5973270,Klebsiella pneumoniae 3305,29323230,<=4,>16/8,16,>32,>16,<=4,16,>32,,>2,1,0.5,>4,<=0.125,64,8/4,2,>8,>2/38
573.12983,SRR5973405,Klebsiella pneumoniae 44,29323230,<=4,8/4,<=1,<=1,<=0.5,<=4,<=0.5,<=0.5,<=4,<=0.5,1,<=0.25,<=1,<=0.125,64,4/4,2,1,<=0.5/9.5
573.12984,SRR5973386,Klebsiella pneumoniae 63,29323230,<=4,16/8,<=1,4,<=0.5,>16,<=0.5,<=0.5,>16,1,1,<=0.25,<=1,<=0.125,,16/4,>8,1,1/19
573.12985,SRR5973360,Klebsiella pneumoniae 3396,29323230,<=4,8/4,<=1,<=1,<=0.5,<=4,<=0.5,<=0.5,,<=0.5,1,<=0.25,<=1,<=0.125,,4/4,<=1,1,<=0.5/9.5
573.12986,SRR5973258,Klebsiella pneumoniae 21,29323230,<=4,8/4,<=1,2,<=0.5,<=4,<=0.5,<=0.5,<=4,<=0.5,1,0.5,<=1,<=0.125,64,4/4,>8,1,<=0.5/9.5
573.12987,SRR5973358,Klebsiella pneumoniae 3386,29323230,8,>16/8,>16,>32,>16,8,>16,>32,,>2,>8,<=0.25,<=1,<=0.125,,>64/4,>8,>8,>2/38
573.12988,SRR5973266,Klebsiella pneumoniae 3312,29323230,<=4,16/8,>16,>32,2,<=4,>16,>32,,<=0.5,1,0.5,<=1,<=0.125,,8/4,2,1,>2/38
