data_source,isolate_name,sample_name,fraction,AMC,AMI,AZT,CAZ,CFZ,CIP,CRO,CTX,CXM,ERT,FEP,FOX,GEN,IMI,LEV,MER,MIN,NIT,PTZ,TET,TOB,TSU,run_accession
ndaro,SAMN02138569,PDT000022776.1,train,NA,R,NA,NA,R,R,NA,R,NA,R,NA,NA,R,R,NA,R,NA,R,NA,NA,NA,NA,SRR851000
ndaro,SAMN02138569,PDT000022776.1,train,NA,R,NA,NA,R,R,NA,R,NA,R,NA,NA,R,R,NA,R,NA,R,NA,NA,NA,NA,SRR851001
ndaro,SAMN02138569,PDT000022776.1,train,NA,R,NA,NA,R,R,NA,R,NA,R,NA,NA,R,R,NA,R,NA,R,NA,NA,NA,NA,SRR851002
ndaro,SAMN02138569,PDT000022776.1,train,NA,R,NA,NA,R,R,NA,R,NA,R,NA,NA,R,R,NA,R,NA,R,NA,NA,NA,NA,SRR851003
ndaro,SAMN02138570,PDT000019045.1,test,NA,S,NA,NA,R,S,NA,S,NA,S,NA,NA,S,S,NA,S,NA,R,NA,NA,NA,NA,SRR851005
ndaro,SAMN02138570,PDT000019045.1,test,NA,S,NA,NA,R,S,NA,S,NA,S,NA,NA,S,S,NA,S,NA,R,NA,NA,NA,NA,SRR851006
ndaro,SAMN02138570,PDT000019045.1,test,NA,S,NA,NA,R,S,NA,S,NA,S,NA,NA,S,S,NA,S,NA,R,NA,NA,NA,NA,SRR851007
ndaro,SAMN02138570,PDT000019045.1,test,NA,S,NA,NA,R,S,NA,S,NA,S,NA,NA,S,S,NA,S,NA,R,NA,NA,NA,NA,SRR851008
ndaro,SAMN02138571,PDT000022775.2,train,NA,R,NA,NA,R,R,NA,R,NA,R,NA,NA,R,R,NA,R,NA,R,NA,NA,NA,NA,SRR3955791
ndaro,SAMN02138571,PDT000022775.2,train,NA,R,NA,NA,R,R,NA,R,NA,R,NA,NA,R,R,NA,R,NA,R,NA,NA,NA,NA,SRR3955792
ndaro,SAMN02138571,PDT000022775.2,train,NA,R,NA,NA,R,R,NA,R,NA,R,NA,NA,R,R,NA,R,NA,R,NA,NA,NA,NA,SRR851009
ndaro,SAMN02138571,PDT000022775.2,train,NA,R,NA,NA,R,R,NA,R,NA,R,NA,NA,R,R,NA,R,NA,R,NA,NA,NA,NA,SRR851010
ndaro,SAMN02138571,PDT000022775.2,train,NA,R,NA,NA,R,R,NA,R,NA,R,NA,NA,R,R,NA,R,NA,R,NA,NA,NA,NA,SRR851011
ndaro,SAMN02138571,PDT000022775.2,train,NA,R,NA,NA,R,R,NA,R,NA,R,NA,NA,R,R,NA,R,NA,R,NA,NA,NA,NA,SRR851012
ndaro,SAMN02138572,PDT000019213.2,train,NA,S,NA,NA,R,S,NA,S,NA,S,NA,NA,S,S,NA,S,NA,R,NA,NA,NA,NA,SRR851013
ndaro,SAMN02138572,PDT000019213.2,train,NA,S,NA,NA,R,S,NA,S,NA,S,NA,NA,S,S,NA,S,NA,R,NA,NA,NA,NA,SRR851014
ndaro,SAMN02138572,PDT000019213.2,train,NA,S,NA,NA,R,S,NA,S,NA,S,NA,NA,S,S,NA,S,NA,R,NA,NA,NA,NA,SRR851015
ndaro,SAMN02138572,PDT000019213.2,train,NA,S,NA,NA,R,S,NA,S,NA,S,NA,NA,S,S,NA,S,NA,R,NA,NA,NA,NA,SRR851016
ndaro,SAMN02138576,PDT000019211.2,train,NA,S,NA,NA,R,S,NA,S,NA,S,NA,NA,S,S,NA,S,NA,R,NA,NA,NA,NA,SRR851021
ndaro,SAMN02138576,PDT000019211.2,train,NA,S,NA,NA,R,S,NA,S,NA,S,NA,NA,S,S,NA,S,NA,R,NA,NA,NA,NA,SRR851022
ndaro,SAMN02138576,PDT000019211.2,train,NA,S,NA,NA,R,S,NA,S,NA,S,NA,NA,S,S,NA,S,NA,R,NA,NA,NA,NA,SRR851023
ndaro,SAMN02138576,PDT000019211.2,train,NA,S,NA,NA,R,S,NA,S,NA,S,NA,NA,S,S,NA,S,NA,R,NA,NA,NA,NA,SRR851024
ndaro,SAMN02138579,PDT000022773.1,train,NA,S,NA,NA,R,S,NA,R,NA,R,NA,NA,R,R,NA,R,NA,R,NA,NA,NA,NA,SRR12492530
ndaro,SAMN02138579,PDT000022773.1,train,NA,S,NA,NA,R,S,NA,R,NA,R,NA,NA,R,R,NA,R,NA,R,NA,NA,NA,NA,SRR851025
ndaro,SAMN02138579,PDT000022773.1,train,NA,S,NA,NA,R,S,NA,R,NA,R,NA,NA,R,R,NA,R,NA,R,NA,NA,NA,NA,SRR851026
ndaro,SAMN02138579,PDT000022773.1,train,NA,S,NA,NA,R,S,NA,R,NA,R,NA,NA,R,R,NA,R,NA,R,NA,NA,NA,NA,SRR851027
ndaro,SAMN02138579,PDT000022773.1,train,NA,S,NA,NA,R,S,NA,R,NA,R,NA,NA,R,R,NA,R,NA,R,NA,NA,NA,NA,SRR851028
ndaro,SAMN02138583,PDT000022771.1,train,NA,S,NA,NA,R,R,NA,R,NA,R,NA,NA,R,S,NA,R,NA,R,NA,NA,NA,NA,SRR851034
ndaro,SAMN02138583,PDT000022771.1,train,NA,S,NA,NA,R,R,NA,R,NA,R,NA,NA,R,S,NA,R,NA,R,NA,NA,NA,NA,SRR851035
ndaro,SAMN02138583,PDT000022771.1,train,NA,S,NA,NA,R,R,NA,R,NA,R,NA,NA,R,S,NA,R,NA,R,NA,NA,NA,NA,SRR851036
ndaro,SAMN02138583,PDT000022771.1,train,NA,S,NA,NA,R,R,NA,R,NA,R,NA,NA,R,S,NA,R,NA,R,NA,NA,NA,NA,SRR851037
ndaro,SAMN02138583,PDT000022771.1,train,NA,S,NA,NA,R,R,NA,R,NA,R,NA,NA,R,S,NA,R,NA,R,NA,NA,NA,NA,SRR9901955
ndaro,SAMN02138585,PDT000022770.1,train,NA,R,NA,NA,R,R,NA,R,NA,R,NA,NA,R,R,NA,R,NA,R,NA,NA,NA,NA,SRR851049
ndaro,SAMN02138585,PDT000022770.1,train,NA,R,NA,NA,R,R,NA,R,NA,R,NA,NA,R,R,NA,R,NA,R,NA,NA,NA,NA,SRR851050
ndaro,SAMN02138585,PDT000022770.1,train,NA,R,NA,NA,R,R,NA,R,NA,R,NA,NA,R,R,NA,R,NA,R,NA,NA,NA,NA,SRR851051
ndaro,SAMN02138585,PDT000022770.1,train,NA,R,NA,NA,R,R,NA,R,NA,R,NA,NA,R,R,NA,R,NA,R,NA,NA,NA,NA,SRR851052
ndaro,SAMN02138586,PDT000019208.2,train,NA,S,NA,NA,R,S,NA,S,NA,S,NA,NA,S,S,NA,S,NA,S,NA,NA,NA,NA,SRR851053
ndaro,SAMN02138586,PDT000019208.2,train,NA,S,NA,NA,R,S,NA,S,NA,S,NA,NA,S,S,NA,S,NA,S,NA,NA,NA,NA,SRR851054
ndaro,SAMN02138586,PDT000019208.2,train,NA,S,NA,NA,R,S,NA,S,NA,S,NA,NA,S,S,NA,S,NA,S,NA,NA,NA,NA,SRR851055
ndaro,SAMN02138586,PDT000019208.2,train,NA,S,NA,NA,R,S,NA,S,NA,S,NA,NA,S,S,NA,S,NA,S,NA,NA,NA,NA,SRR851056
ndaro,SAMN02138587,PDT000022769.1,test,NA,S,NA,NA,R,R,NA,R,NA,R,NA,NA,R,R,NA,R,NA,R,NA,NA,NA,NA,SRR851057
ndaro,SAMN02138587,PDT000022769.1,test,NA,S,NA,NA,R,R,NA,R,NA,R,NA,NA,R,R,NA,R,NA,R,NA,NA,NA,NA,SRR851058
ndaro,SAMN02138587,PDT000022769.1,test,NA,S,NA,NA,R,R,NA,R,NA,R,NA,NA,R,R,NA,R,NA,R,NA,NA,NA,NA,SRR851059
ndaro,SAMN02138587,PDT000022769.1,test,NA,S,NA,NA,R,R,NA,R,NA,R,NA,NA,R,R,NA,R,NA,R,NA,NA,NA,NA,SRR851060
ndaro,SAMN02138588,PDT000019041.1,test,NA,S,NA,NA,R,R,NA,S,NA,S,NA,NA,S,S,NA,S,NA,R,NA,NA,NA,NA,SRR851061
ndaro,SAMN02138588,PDT000019041.1,test,NA,S,NA,NA,R,R,NA,S,NA,S,NA,NA,S,S,NA,S,NA,R,NA,NA,NA,NA,SRR851062
ndaro,SAMN02138588,PDT000019041.1,test,NA,S,NA,NA,R,R,NA,S,NA,S,NA,NA,S,S,NA,S,NA,R,NA,NA,NA,NA,SRR851063
ndaro,SAMN02138588,PDT000019041.1,test,NA,S,NA,NA,R,R,NA,S,NA,S,NA,NA,S,S,NA,S,NA,R,NA,NA,NA,NA,SRR851064
ndaro,SAMN02138589,PDT000022768.1,train,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,R,NA,R,NA,NA,NA,NA,NA,NA,SRR850967
ndaro,SAMN02138589,PDT000022768.1,train,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,R,NA,R,NA,NA,NA,NA,NA,NA,SRR850968
ndaro,SAMN02138590,PDT000022767.1,test,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,R,NA,R,NA,NA,NA,NA,NA,NA,SRR850959
ndaro,SAMN02138590,PDT000022767.1,test,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,R,NA,R,NA,NA,NA,NA,NA,NA,SRR850960
ndaro,SAMN02138599,PDT000022765.1,train,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,SRR850973
ndaro,SAMN02138599,PDT000022765.1,train,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,SRR850974
ndaro,SAMN02138599,PDT000022765.1,train,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,SRR850975
ndaro,SAMN02138599,PDT000022765.1,train,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,SRR850976
ndaro,SAMN02138603,PDT000022764.1,train,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,R,NA,S,NA,NA,NA,NA,NA,NA,SRR1103629
ndaro,SAMN02138603,PDT000022764.1,train,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,R,NA,S,NA,NA,NA,NA,NA,NA,SRR850977
ndaro,SAMN02138603,PDT000022764.1,train,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,R,NA,S,NA,NA,NA,NA,NA,NA,SRR850978
ndaro,SAMN02138603,PDT000022764.1,train,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,R,NA,S,NA,NA,NA,NA,NA,NA,SRR850979
ndaro,SAMN02138603,PDT000022764.1,train,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,R,NA,S,NA,NA,NA,NA,NA,NA,SRR960875
ndaro,SAMN02138603,PDT000022764.1,train,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,R,NA,S,NA,NA,NA,NA,NA,NA,SRR960876
ndaro,SAMN02138620,PDT000022762.1,train,NA,S,NA,R,NA,R,NA,NA,NA,NA,NA,NA,R,NA,NA,R,NA,NA,R,R,R,R,SRR850898
ndaro,SAMN02138620,PDT000022762.1,train,NA,S,NA,R,NA,R,NA,NA,NA,NA,NA,NA,R,NA,NA,R,NA,NA,R,R,R,R,SRR850899
ndaro,SAMN02138621,PDT000022761.1,train,NA,NA,NA,R,R,R,NA,NA,NA,NA,NA,NA,S,NA,NA,R,NA,NA,R,NA,R,S,SRR850920
ndaro,SAMN02138621,PDT000022761.1,train,NA,NA,NA,R,R,R,NA,NA,NA,NA,NA,NA,S,NA,NA,R,NA,NA,R,NA,R,S,SRR850921
ndaro,SAMN02138624,PDT000022760.1,train,NA,NA,NA,R,NA,R,R,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,SRR850951
ndaro,SAMN02138624,PDT000022760.1,train,NA,NA,NA,R,NA,R,R,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,SRR850952
ndaro,SAMN02138625,PDT000023565.1,train,NA,R,NA,R,R,R,NA,NA,R,NA,NA,NA,R,NA,NA,R,NA,NA,R,NA,R,R,SRR850953
ndaro,SAMN02138625,PDT000023565.1,train,NA,R,NA,R,R,R,NA,NA,R,NA,NA,NA,R,NA,NA,R,NA,NA,R,NA,R,R,SRR850954
ndaro,SAMN02138627,PDT000022778.1,train,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,NA,NA,R,NA,R,NA,S,R,NA,SRR850955
ndaro,SAMN02138627,PDT000022778.1,train,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,NA,NA,R,NA,R,NA,S,R,NA,SRR850956
ndaro,SAMN02138628,PDT000022759.1,train,NA,NA,NA,R,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,NA,R,NA,SRR850957
ndaro,SAMN02138628,PDT000022759.1,train,NA,NA,NA,R,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,NA,R,NA,SRR850958
ndaro,SAMN02138633,PDT000022757.1,train,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,R,NA,R,SRR850871
ndaro,SAMN02138633,PDT000022757.1,train,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,R,NA,R,SRR850872
ndaro,SAMN02138634,PDT000022756.1,train,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,R,NA,NA,NA,SRR850873
ndaro,SAMN02138634,PDT000022756.1,train,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,R,NA,NA,NA,SRR850874
ndaro,SAMN02138634,PDT000022756.1,train,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,R,NA,NA,NA,SRR867700
ndaro,SAMN02138634,PDT000022756.1,train,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,R,NA,NA,NA,SRR960874
ndaro,SAMN02138635,PDT000018103.2,train,NA,NA,NA,R,R,R,R,NA,NA,NA,R,NA,NA,R,NA,R,NA,NA,NA,S,R,R,SRR1185109
ndaro,SAMN02138635,PDT000018103.2,train,NA,NA,NA,R,R,R,R,NA,NA,NA,R,NA,NA,R,NA,R,NA,NA,NA,S,R,R,SRR1185272
ndaro,SAMN02138635,PDT000018103.2,train,NA,NA,NA,R,R,R,R,NA,NA,NA,R,NA,NA,R,NA,R,NA,NA,NA,S,R,R,SRR1185274
ndaro,SAMN02138635,PDT000018103.2,train,NA,NA,NA,R,R,R,R,NA,NA,NA,R,NA,NA,R,NA,R,NA,NA,NA,S,R,R,SRR1185276
ndaro,SAMN02138635,PDT000018103.2,train,NA,NA,NA,R,R,R,R,NA,NA,NA,R,NA,NA,R,NA,R,NA,NA,NA,S,R,R,SRR1185316
ndaro,SAMN02138635,PDT000018103.2,train,NA,NA,NA,R,R,R,R,NA,NA,NA,R,NA,NA,R,NA,R,NA,NA,NA,S,R,R,SRR850875
ndaro,SAMN02138635,PDT000018103.2,train,NA,NA,NA,R,R,R,R,NA,NA,NA,R,NA,NA,R,NA,R,NA,NA,NA,S,R,R,SRR850876
ndaro,SAMN02138637,PDT000022754.1,train,NA,R,NA,R,R,R,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,NA,R,NA,NA,R,R,SRR850882
ndaro,SAMN02138637,PDT000022754.1,train,NA,R,NA,R,R,R,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,NA,R,NA,NA,R,R,SRR850883
ndaro,SAMN02138639,PDT000018102.2,train,NA,S,NA,R,R,R,NA,NA,R,NA,NA,NA,R,NA,NA,R,NA,NA,R,NA,R,R,SRR1185225
ndaro,SAMN02138639,PDT000018102.2,train,NA,S,NA,R,R,R,NA,NA,R,NA,NA,NA,R,NA,NA,R,NA,NA,R,NA,R,R,SRR1185230
ndaro,SAMN02138639,PDT000018102.2,train,NA,S,NA,R,R,R,NA,NA,R,NA,NA,NA,R,NA,NA,R,NA,NA,R,NA,R,R,SRR1185257
ndaro,SAMN02138639,PDT000018102.2,train,NA,S,NA,R,R,R,NA,NA,R,NA,NA,NA,R,NA,NA,R,NA,NA,R,NA,R,R,SRR1185270
ndaro,SAMN02138639,PDT000018102.2,train,NA,S,NA,R,R,R,NA,NA,R,NA,NA,NA,R,NA,NA,R,NA,NA,R,NA,R,R,SRR1185296
ndaro,SAMN02138639,PDT000018102.2,train,NA,S,NA,R,R,R,NA,NA,R,NA,NA,NA,R,NA,NA,R,NA,NA,R,NA,R,R,SRR850884
ndaro,SAMN02138639,PDT000018102.2,train,NA,S,NA,R,R,R,NA,NA,R,NA,NA,NA,R,NA,NA,R,NA,NA,R,NA,R,R,SRR850885
ndaro,SAMN02138642,PDT000022753.1,train,NA,R,NA,R,NA,R,R,NA,NA,NA,NA,NA,NA,R,NA,R,NA,NA,NA,NA,R,NA,SRR850886
ndaro,SAMN02138642,PDT000022753.1,train,NA,R,NA,R,NA,R,R,NA,NA,NA,NA,NA,NA,R,NA,R,NA,NA,NA,NA,R,NA,SRR850887
ndaro,SAMN02138643,PDT000030621.1,train,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SRR1180805
ndaro,SAMN02138643,PDT000030621.1,train,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SRR1181006
ndaro,SAMN02138643,PDT000030621.1,train,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SRR1187713
ndaro,SAMN02138643,PDT000030621.1,train,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SRR1187743
ndaro,SAMN02138643,PDT000030621.1,train,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SRR850888
ndaro,SAMN02138643,PDT000030621.1,train,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SRR850889
ndaro,SAMN02138643,PDT000030621.1,train,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SRR850890
ndaro,SAMN02138644,PDT000018101.2,train,NA,NA,NA,R,NA,R,R,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,SRR1185237
ndaro,SAMN02138644,PDT000018101.2,train,NA,NA,NA,R,NA,R,R,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,SRR1185261
ndaro,SAMN02138644,PDT000018101.2,train,NA,NA,NA,R,NA,R,R,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,SRR1185290
ndaro,SAMN02138644,PDT000018101.2,train,NA,NA,NA,R,NA,R,R,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,SRR1185292
ndaro,SAMN02138644,PDT000018101.2,train,NA,NA,NA,R,NA,R,R,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,SRR1185305
ndaro,SAMN02138644,PDT000018101.2,train,NA,NA,NA,R,NA,R,R,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,SRR850891
ndaro,SAMN02138644,PDT000018101.2,train,NA,NA,NA,R,NA,R,R,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,SRR850892
ndaro,SAMN02138644,PDT000018101.2,train,NA,NA,NA,R,NA,R,R,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,SRR850893
ndaro,SAMN02138644,PDT000018101.2,train,NA,NA,NA,R,NA,R,R,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,SRR850894
ndaro,SAMN02138644,PDT000018101.2,train,NA,NA,NA,R,NA,R,R,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,SRR850895
ndaro,SAMN02138644,PDT000018101.2,train,NA,NA,NA,R,NA,R,R,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,SRR960952
ndaro,SAMN02138645,PDT000022752.1,test,NA,R,NA,R,R,R,R,NA,NA,NA,R,NA,NA,NA,NA,S,NA,R,R,NA,R,R,SRR850896
ndaro,SAMN02138645,PDT000022752.1,test,NA,R,NA,R,R,R,R,NA,NA,NA,R,NA,NA,NA,NA,S,NA,R,R,NA,R,R,SRR850897
ndaro,SAMN02138651,PDT000019191.2,test,NA,NA,NA,S,R,R,S,NA,NA,NA,S,NA,S,NA,NA,S,NA,R,NA,NA,S,S,SRR850900
ndaro,SAMN02138651,PDT000019191.2,test,NA,NA,NA,S,R,R,S,NA,NA,NA,S,NA,S,NA,NA,S,NA,R,NA,NA,S,S,SRR850901
ndaro,SAMN02138651,PDT000019191.2,test,NA,NA,NA,S,R,R,S,NA,NA,NA,S,NA,S,NA,NA,S,NA,R,NA,NA,S,S,SRR850902
ndaro,SAMN02138651,PDT000019191.2,test,NA,NA,NA,S,R,R,S,NA,NA,NA,S,NA,S,NA,NA,S,NA,R,NA,NA,S,S,SRR850903
ndaro,SAMN02138652,PDT000019190.2,test,NA,NA,NA,S,R,S,S,NA,NA,NA,S,NA,S,NA,NA,S,NA,S,NA,NA,S,S,SRR850904
ndaro,SAMN02138652,PDT000019190.2,test,NA,NA,NA,S,R,S,S,NA,NA,NA,S,NA,S,NA,NA,S,NA,S,NA,NA,S,S,SRR850905
ndaro,SAMN02138652,PDT000019190.2,test,NA,NA,NA,S,R,S,S,NA,NA,NA,S,NA,S,NA,NA,S,NA,S,NA,NA,S,S,SRR850906
ndaro,SAMN02138652,PDT000019190.2,test,NA,NA,NA,S,R,S,S,NA,NA,NA,S,NA,S,NA,NA,S,NA,S,NA,NA,S,S,SRR850907
ndaro,SAMN02138653,PDT000019189.2,train,NA,NA,NA,S,R,S,S,NA,NA,NA,S,NA,S,NA,NA,S,NA,R,NA,NA,S,R,SRR850908
ndaro,SAMN02138653,PDT000019189.2,train,NA,NA,NA,S,R,S,S,NA,NA,NA,S,NA,S,NA,NA,S,NA,R,NA,NA,S,R,SRR850909
ndaro,SAMN02138653,PDT000019189.2,train,NA,NA,NA,S,R,S,S,NA,NA,NA,S,NA,S,NA,NA,S,NA,R,NA,NA,S,R,SRR850910
ndaro,SAMN02138653,PDT000019189.2,train,NA,NA,NA,S,R,S,S,NA,NA,NA,S,NA,S,NA,NA,S,NA,R,NA,NA,S,R,SRR850911
ndaro,SAMN02138654,PDT000019188.2,train,NA,NA,NA,S,R,S,S,NA,NA,NA,S,NA,S,NA,NA,S,NA,R,NA,NA,S,S,SRR850912
ndaro,SAMN02138654,PDT000019188.2,train,NA,NA,NA,S,R,S,S,NA,NA,NA,S,NA,S,NA,NA,S,NA,R,NA,NA,S,S,SRR850913
ndaro,SAMN02138654,PDT000019188.2,train,NA,NA,NA,S,R,S,S,NA,NA,NA,S,NA,S,NA,NA,S,NA,R,NA,NA,S,S,SRR850914
ndaro,SAMN02138654,PDT000019188.2,train,NA,NA,NA,S,R,S,S,NA,NA,NA,S,NA,S,NA,NA,S,NA,R,NA,NA,S,S,SRR850915
ndaro,SAMN02138655,PDT000019187.2,train,NA,NA,NA,S,R,S,S,NA,NA,NA,S,NA,S,NA,NA,S,NA,R,NA,NA,S,S,SRR850916
ndaro,SAMN02138655,PDT000019187.2,train,NA,NA,NA,S,R,S,S,NA,NA,NA,S,NA,S,NA,NA,S,NA,R,NA,NA,S,S,SRR850917
ndaro,SAMN02138655,PDT000019187.2,train,NA,NA,NA,S,R,S,S,NA,NA,NA,S,NA,S,NA,NA,S,NA,R,NA,NA,S,S,SRR850918
ndaro,SAMN02138655,PDT000019187.2,train,NA,NA,NA,S,R,S,S,NA,NA,NA,S,NA,S,NA,NA,S,NA,R,NA,NA,S,S,SRR850919
ndaro,SAMN02138661,PDT000020609.1,train,NA,NA,NA,R,NA,S,R,NA,NA,NA,R,NA,S,NA,NA,S,NA,S,NA,NA,S,S,SRR850847
