PATRIC ID,Run Accession,Genome Name,Publication (pubmed ID),ciprofloxacin,clindamycin,erythromycin,fusidic_acid,methicillin,penicillin
1280.11151,,Staphylococcus aureus strain 3688STDY6125107,26806258,,S,S,S,,S
1280.11152,,Staphylococcus aureus strain 3688STDY6125053,26806258,,R,R,S,,S
1280.11153,,Staphylococcus aureus strain 3688STDY6125103,26806258,,S,S,S,,S
1280.11154,,Staphylococcus aureus strain 3688STDY6125102,26806258,,S,S,S,,R
1280.11155,,Staphylococcus aureus strain 3688STDY6125058,26806258,,S,S,S,,R
1280.11156,,Staphylococcus aureus strain 3688STDY6124951,26806258,,S,S,S,,R
1280.11157,,Staphylococcus aureus strain 3688STDY6124950,26806258,,S,S,S,,R
1280.11158,,Staphylococcus aureus strain 3688STDY6124948,26806258,,S,S,S,,R
1280.11159,,Staphylococcus aureus strain 3688STDY6124940,26806258,,S,S,S,,R
1280.1116,,Staphylococcus aureus strain 3688STDY6124928,26806258,,S,S,S,,S
1280.11161,,Staphylococcus aureus strain 3688STDY6124876,26806258,,S,S,S,,R
1280.11162,,Staphylococcus aureus strain 3688STDY6124918,26806258,,S,S,S,,S
1280.11164,,Staphylococcus aureus strain 3688STDY6124909,26806258,,S,S,S,,R
1280.11165,,Staphylococcus aureus strain 3688STDY6124896,26806258,,S,S,S,,R
1280.11166,,Staphylococcus aureus strain 3688STDY6124894,26806258,,S,S,S,,R
1280.11167,,Staphylococcus aureus strain 3688STDY6124893,26806258,,S,S,S,,R
1280.11168,,Staphylococcus aureus strain 3688STDY6124892,26806258,,S,S,S,,R
1280.11169,,Staphylococcus aureus strain 3688STDY6124891,26806258,,S,S,S,,R
1280.1117,,Staphylococcus aureus strain 3688STDY6124882,26806258,,S,S,S,,R
1280.11171,,Staphylococcus aureus strain 3688STDY6124883,26806258,,S,S,S,,R
1280.11172,,Staphylococcus aureus strain 3688STDY6124881,26806258,,S,S,S,,R
1280.11173,,Staphylococcus aureus strain 3688STDY6124871,26806258,,S,S,S,,R
1280.11174,,Staphylococcus aureus strain 3688STDY6124867,26806258,,S,S,S,,R
1280.11175,,Staphylococcus aureus strain 3688STDY6124853,26806258,,S,S,S,,R
1280.11176,,Staphylococcus aureus strain 3688STDY6124856,26806258,,S,S,S,,R
1280.11177,,Staphylococcus aureus strain 3688STDY6124851,26806258,,S,S,S,,R
1280.11178,,Staphylococcus aureus strain 3688STDY6124846,26806258,,S,S,S,,R
1280.11179,,Staphylococcus aureus strain 3688STDY6124842,26806258,,S,S,S,,R
1280.1118,,Staphylococcus aureus strain 3688STDY6124828,26806258,,S,S,S,,R
1280.11181,,Staphylococcus aureus strain 3688STDY6124839,26806258,,S,S,S,,R
1280.11182,,Staphylococcus aureus strain 3688STDY6124822,26806258,,R,R,S,,R
1280.11183,,Staphylococcus aureus strain 3688STDY6124816,26806258,,S,S,S,,R
1280.11184,,Staphylococcus aureus strain 3688STDY6124813,26806258,,S,S,S,,R
1280.11185,,Staphylococcus aureus strain 3688STDY6125044,26806258,,R,R,S,,R
1280.11186,,Staphylococcus aureus strain 3688STDY6125040,26806258,,S,S,S,,R
1280.11187,,Staphylococcus aureus strain 3688STDY6125030,26806258,,S,S,S,,R
1280.11188,,Staphylococcus aureus strain 3688STDY6125028,26806258,,S,S,S,,R
1280.11189,,Staphylococcus aureus strain 3688STDY6125021,26806258,,S,S,S,,R
1280.1119,,Staphylococcus aureus strain 3688STDY6125017,26806258,,S,S,S,,R
1280.11191,,Staphylococcus aureus strain 3688STDY6125002,26806258,,S,S,S,,R
1280.11192,,Staphylococcus aureus strain 3688STDY6124994,26806258,,S,S,S,,R
1280.11193,,Staphylococcus aureus strain 3688STDY6124991,26806258,,S,S,S,,R
1280.11194,,Staphylococcus aureus strain 3688STDY6124985,26806258,,S,S,S,,R
1280.11196,,Staphylococcus aureus strain 3688STDY6124987,26806258,,S,S,S,,R
1280.11197,,Staphylococcus aureus strain 3688STDY6124972,26806258,,S,S,S,,S
1280.11198,,Staphylococcus aureus strain 3688STDY6124969,26806258,,S,S,S,,R
1280.11199,,Staphylococcus aureus strain 3688STDY6124960,26806258,,S,S,S,,S
1280.112,,Staphylococcus aureus strain 3688STDY6125142,26806258,,S,S,S,,R
1280.11201,,Staphylococcus aureus strain 3688STDY6125056,26806258,,S,S,S,,R
1280.11202,,Staphylococcus aureus strain 3688STDY6125055,26806258,,S,S,S,,R
1280.11203,,Staphylococcus aureus strain 3688STDY6125054,26806258,,R,R,S,,R
1280.11204,,Staphylococcus aureus strain 3688STDY6125104,26806258,,R,R,S,,R
1280.11205,,Staphylococcus aureus strain 3688STDY6125101,26806258,,S,S,S,,R
1280.11206,,Staphylococcus aureus strain 3688STDY6125052,26806258,,S,S,S,,R
1280.11207,,Staphylococcus aureus strain 3688STDY6125051,26806258,,S,S,S,,R
1280.11208,,Staphylococcus aureus strain 3688STDY6125050,26806258,,S,S,S,,R
1280.11209,,Staphylococcus aureus strain 3688STDY6125060,26806258,,S,S,S,,R
1280.1121,,Staphylococcus aureus strain 3688STDY6125049,26806258,,S,S,S,,R
1280.11211,,Staphylococcus aureus strain 3688STDY6125059,26806258,,S,S,S,,R
1280.11212,,Staphylococcus aureus strain 3688STDY6124880,26806258,,S,S,S,,R
1280.11213,,Staphylococcus aureus strain 3688STDY6124958,26806258,,S,S,S,,R
1280.11214,,Staphylococcus aureus strain 3688STDY6124956,26806258,,S,S,S,,R
1280.11215,,Staphylococcus aureus strain 3688STDY6124955,26806258,,R,R,R,,R
1280.11216,,Staphylococcus aureus strain 3688STDY6124952,26806258,,S,S,S,,R
1280.11217,,Staphylococcus aureus strain 3688STDY6124947,26806258,,S,S,S,,R
1280.11218,,Staphylococcus aureus strain 3688STDY6124946,26806258,,S,S,S,,R
1280.11219,,Staphylococcus aureus strain 3688STDY6124945,26806258,,R,R,S,,R
1280.1122,,Staphylococcus aureus strain 3688STDY6124944,26806258,,S,S,S,,R
1280.11221,,Staphylococcus aureus strain 3688STDY6124943,26806258,,S,S,S,,R
1280.11222,,Staphylococcus aureus strain 3688STDY6124942,26806258,,S,S,S,,R
1280.11223,,Staphylococcus aureus strain 3688STDY6124938,26806258,,R,R,S,,R
1280.11224,,Staphylococcus aureus strain 3688STDY6124932,26806258,,S,S,S,,S
1280.11225,,Staphylococcus aureus strain 3688STDY6124877,26806258,,S,S,S,,R
1280.11226,,Staphylococcus aureus strain 3688STDY6124925,26806258,,S,S,S,,R
1280.11229,,Staphylococcus aureus strain 3688STDY6124921,26806258,,S,S,S,,S
1280.1123,,Staphylococcus aureus strain 3688STDY6124920,26806258,,S,S,S,,R
1280.11231,,Staphylococcus aureus strain 3688STDY6124916,26806258,,S,S,S,,R
1280.11232,,Staphylococcus aureus strain 3688STDY6124912,26806258,,S,S,S,,R
1280.11233,,Staphylococcus aureus strain 3688STDY6124875,26806258,,S,S,S,,R
1280.11234,,Staphylococcus aureus strain 3688STDY6124911,26806258,,S,S,S,,R
1280.11235,,Staphylococcus aureus strain 3688STDY6124910,26806258,,S,S,S,,R
1280.11236,,Staphylococcus aureus strain 3688STDY6124906,26806258,,S,S,S,,S
1280.11237,,Staphylococcus aureus strain 3688STDY6124905,26806258,,S,S,S,,R
1280.11238,,Staphylococcus aureus strain 3688STDY6124904,26806258,,S,S,S,,S
1280.11239,,Staphylococcus aureus strain 3688STDY6124903,26806258,,S,S,S,,R
1280.11241,,Staphylococcus aureus strain 3688STDY6124901,26806258,,S,S,S,,R
1280.11242,,Staphylococcus aureus strain 3688STDY6124874,26806258,,S,S,S,,R
1280.11243,,Staphylococcus aureus strain 3688STDY6124899,26806258,,S,S,S,,R
1280.11244,,Staphylococcus aureus strain 3688STDY6124897,26806258,,S,S,S,,R
1280.11245,,Staphylococcus aureus strain 3688STDY6124895,26806258,,S,S,S,,R
1280.11246,,Staphylococcus aureus strain 3688STDY6124873,26806258,,R,R,S,,R
1280.11248,,Staphylococcus aureus strain 3688STDY6124889,26806258,,S,S,S,,R
1280.11249,,Staphylococcus aureus strain 3688STDY6124888,26806258,,S,S,S,,R
1280.1125,,Staphylococcus aureus strain 3688STDY6124886,26806258,,S,S,S,,R
1280.11251,,Staphylococcus aureus strain 3688STDY6124885,26806258,,S,S,S,,R
1280.11252,,Staphylococcus aureus strain 3688STDY6124884,26806258,,S,S,S,,R
1280.11254,,Staphylococcus aureus strain 3688STDY6124870,26806258,,S,S,S,,R
1280.11255,,Staphylococcus aureus strain 3688STDY6124869,26806258,,S,S,S,,R
1280.11256,,Staphylococcus aureus strain 3688STDY6124868,26806258,,S,S,S,,S
1280.11257,,Staphylococcus aureus strain 3688STDY6124866,26806258,,S,S,S,,S
1280.11258,,Staphylococcus aureus strain 3688STDY6124865,26806258,,S,S,S,,R
1280.11259,,Staphylococcus aureus strain 3688STDY6124863,26806258,,S,S,S,,R
1280.11261,,Staphylococcus aureus strain 3688STDY6124861,26806258,,S,S,S,,R
1280.11262,,Staphylococcus aureus strain 3688STDY6124862,26806258,,R,R,S,,R
1280.11263,,Staphylococcus aureus strain 3688STDY6124860,26806258,,S,S,S,,R
1280.11264,,Staphylococcus aureus strain 3688STDY6124859,26806258,,S,S,S,,R
1280.11265,,Staphylococcus aureus strain 3688STDY6124858,26806258,,S,S,S,,R
1280.11266,,Staphylococcus aureus strain 3688STDY6124855,26806258,,S,S,S,,R
1280.11267,,Staphylococcus aureus strain 3688STDY6124854,26806258,,R,R,S,,R
1280.11268,,Staphylococcus aureus strain 3688STDY6124852,26806258,,S,S,S,,R
1280.11269,,Staphylococcus aureus strain 3688STDY6124850,26806258,,S,S,S,,R
1280.1127,,Staphylococcus aureus strain 3688STDY6124845,26806258,,S,S,S,,R
1280.11271,,Staphylococcus aureus strain 3688STDY6124849,26806258,,S,S,S,,R
1280.11272,,Staphylococcus aureus strain 3688STDY6124844,26806258,,S,S,S,,R
1280.11273,,Staphylococcus aureus strain 3688STDY6124847,26806258,,S,S,S,,S
1280.11274,,Staphylococcus aureus strain 3688STDY6124843,26806258,,S,S,S,,R
1280.11275,,Staphylococcus aureus strain 3688STDY6124841,26806258,,S,S,S,,R
1280.11276,,Staphylococcus aureus strain 3688STDY6124840,26806258,,S,S,S,,R
1280.11277,,Staphylococcus aureus strain 3688STDY6124838,26806258,,S,S,S,,R
1280.11278,,Staphylococcus aureus strain 3688STDY6124837,26806258,,S,S,S,,R
1280.11279,,Staphylococcus aureus strain 3688STDY6124835,26806258,,S,S,S,,R
1280.1128,,Staphylococcus aureus strain 3688STDY6124836,26806258,,S,S,S,,R
1280.11281,,Staphylococcus aureus strain 3688STDY6124833,26806258,,S,S,S,,R
1280.11282,,Staphylococcus aureus strain 3688STDY6124832,26806258,,S,S,S,,R
1280.11283,,Staphylococcus aureus strain 3688STDY6124834,26806258,,S,S,S,,R
1280.11284,,Staphylococcus aureus strain 3688STDY6124831,26806258,,R,R,S,,R
1280.11285,,Staphylococcus aureus strain 3688STDY6124829,26806258,,S,S,S,,R
1280.11286,,Staphylococcus aureus strain 3688STDY6124826,26806258,,S,S,S,,R
1280.11287,,Staphylococcus aureus strain 3688STDY6124825,26806258,,S,S,S,,R
1280.11288,,Staphylococcus aureus strain 3688STDY6124824,26806258,,S,S,S,,R
1280.11289,,Staphylococcus aureus strain 3688STDY6124820,26806258,,S,S,S,,R
1280.1129,,Staphylococcus aureus strain 3688STDY6124819,26806258,,S,S,S,,R
1280.11291,,Staphylococcus aureus strain 3688STDY6124818,26806258,,S,S,S,,R
1280.11292,,Staphylococcus aureus strain 3688STDY6124817,26806258,,R,R,S,,R
1280.11293,,Staphylococcus aureus strain 3688STDY6124815,26806258,,S,S,S,,S
1280.11294,,Staphylococcus aureus strain 3688STDY6124814,26806258,,S,S,S,,R
1280.11295,,Staphylococcus aureus strain 3688STDY6124812,26806258,,S,S,S,,R
1280.11296,,Staphylococcus aureus strain 3688STDY6124968,26806258,,S,R,S,,R
1280.11297,,Staphylococcus aureus strain 3688STDY6125048,26806258,,S,S,S,,R
1280.11298,,Staphylococcus aureus strain 3688STDY6125047,26806258,,S,S,S,,R
1280.11299,,Staphylococcus aureus strain 3688STDY6125046,26806258,,R,R,S,,R
1280.113,,Staphylococcus aureus strain 3688STDY6125045,26806258,,S,S,S,,R
1280.11301,,Staphylococcus aureus strain 3688STDY6125043,26806258,,S,S,S,,S
1280.11302,,Staphylococcus aureus strain 3688STDY6125042,26806258,,S,S,S,,R
1280.11303,,Staphylococcus aureus strain 3688STDY6125041,26806258,,S,S,S,,R
1280.11304,,Staphylococcus aureus strain 3688STDY6124967,26806258,,S,S,S,,R
1280.11305,,Staphylococcus aureus strain 3688STDY6125039,26806258,,S,S,S,,S
1280.11306,,Staphylococcus aureus strain 3688STDY6125038,26806258,,S,S,S,,R
1280.11307,,Staphylococcus aureus strain 3688STDY6125037,26806258,,S,S,S,,R
1280.11308,,Staphylococcus aureus strain 3688STDY6125035,26806258,,S,S,S,,R
1280.11309,,Staphylococcus aureus strain 3688STDY6125034,26806258,,S,S,S,,R
1280.1131,,Staphylococcus aureus strain 3688STDY6125033,26806258,,S,S,S,,R
1280.11311,,Staphylococcus aureus strain 3688STDY6125032,26806258,,S,S,S,,R
1280.11312,,Staphylococcus aureus strain 3688STDY6125031,26806258,,S,S,S,,R
1280.11313,,Staphylococcus aureus strain 3688STDY6125027,26806258,,S,S,S,,R
1280.11314,,Staphylococcus aureus strain 3688STDY6125029,26806258,,S,S,S,,R
1280.11315,,Staphylococcus aureus strain 3688STDY6125025,26806258,,S,S,S,,R
1280.11316,,Staphylococcus aureus strain 3688STDY6125026,26806258,,S,S,S,,R
1280.11317,,Staphylococcus aureus strain 3688STDY6125024,26806258,,S,S,S,,R
1280.11318,,Staphylococcus aureus strain 3688STDY6125023,26806258,,S,S,S,,R
1280.11319,,Staphylococcus aureus strain 3688STDY6124965,26806258,,S,S,S,,R
1280.1132,,Staphylococcus aureus strain 3688STDY6125019,26806258,,S,S,S,,R
1280.11321,,Staphylococcus aureus strain 3688STDY6125020,26806258,,S,S,S,,S
1280.11322,,Staphylococcus aureus strain 3688STDY6125018,26806258,,S,S,S,,R
1280.11323,,Staphylococcus aureus strain 3688STDY6125016,26806258,,,,S,,R
1280.11324,,Staphylococcus aureus strain 3688STDY6125015,26806258,,S,S,S,,R
1280.11325,,Staphylococcus aureus strain 3688STDY6125014,26806258,,S,S,S,,S
1280.11326,,Staphylococcus aureus strain 3688STDY6125013,26806258,,S,S,S,,R
1280.11327,,Staphylococcus aureus strain 3688STDY6125012,26806258,,S,S,S,,R
1280.11328,,Staphylococcus aureus strain 3688STDY6124964,26806258,,S,S,S,,R
1280.11329,,Staphylococcus aureus strain 3688STDY6125011,26806258,,S,S,S,,R
1280.1133,,Staphylococcus aureus strain 3688STDY6125010,26806258,,R,R,S,,R
1280.11331,,Staphylococcus aureus strain 3688STDY6125009,26806258,,S,S,S,,R
1280.11332,,Staphylococcus aureus strain 3688STDY6125008,26806258,,S,S,S,,R
1280.11333,,Staphylococcus aureus strain 3688STDY6125007,26806258,,S,S,S,,R
1280.11334,,Staphylococcus aureus strain 3688STDY6125006,26806258,,S,S,S,,R
1280.11335,,Staphylococcus aureus strain 3688STDY6125005,26806258,,R,R,S,,R
1280.11336,,Staphylococcus aureus strain 3688STDY6125001,26806258,,S,S,S,,R
1280.11337,,Staphylococcus aureus strain 3688STDY6125000,26806258,,S,S,S,,R
1280.11338,,Staphylococcus aureus strain 3688STDY6124999,26806258,,S,S,S,,R
1280.11339,,Staphylococcus aureus strain 3688STDY6124963,26806258,,S,S,S,,R
1280.11341,,Staphylococcus aureus strain 3688STDY6124997,26806258,,S,S,S,,R
1280.11342,,Staphylococcus aureus strain 3688STDY6124996,26806258,,S,S,S,,R
1280.11343,,Staphylococcus aureus strain 3688STDY6124995,26806258,,S,S,S,,R
1280.11344,,Staphylococcus aureus strain 3688STDY6124992,26806258,,S,S,S,,R
1280.11345,,Staphylococcus aureus strain 3688STDY6124989,26806258,,S,S,S,,R
1280.11346,,Staphylococcus aureus strain 3688STDY6124962,26806258,,S,S,S,,R
1280.11347,,Staphylococcus aureus strain 3688STDY6124988,26806258,,S,S,S,,R
1280.11348,,Staphylococcus aureus strain 3688STDY6124986,26806258,,S,S,S,,R
1280.11349,,Staphylococcus aureus strain 3688STDY6124984,26806258,,S,S,S,,R
1280.1135,,Staphylococcus aureus strain 3688STDY6124983,26806258,,S,S,S,,R
1280.11351,,Staphylococcus aureus strain 3688STDY6124982,26806258,,S,S,S,,R
1280.11352,,Staphylococcus aureus strain 3688STDY6124981,26806258,,S,S,S,,R
1280.11353,,Staphylococcus aureus strain 3688STDY6124980,26806258,,S,S,S,,R
1280.11354,,Staphylococcus aureus strain 3688STDY6124979,26806258,,S,S,S,,R
1280.11355,,Staphylococcus aureus strain 3688STDY6124961,26806258,,S,S,S,,R
1280.11356,,Staphylococcus aureus strain 3688STDY6124977,26806258,,S,S,S,,R
1280.11357,,Staphylococcus aureus strain 3688STDY6124976,26806258,,S,S,S,,R
1280.11358,,Staphylococcus aureus strain 3688STDY6124974,26806258,,S,S,S,,R
1280.11359,,Staphylococcus aureus strain 3688STDY6124970,26806258,,S,S,S,,R
1280.11699,,Staphylococcus aureus strain 3688STDY6124973,26806258,,S,S,S,,R
1280.117,,Staphylococcus aureus strain 3688STDY6124975,26806258,,S,S,S,,R
1280.11701,,Staphylococcus aureus strain 3688STDY6124990,26806258,,S,S,S,,R
1280.11702,,Staphylococcus aureus strain 3688STDY6125022,26806258,,S,S,S,,R
1280.11703,,Staphylococcus aureus strain 3688STDY6125036,26806258,,S,S,S,,R
1280.11704,,Staphylococcus aureus strain 3688STDY6124823,26806258,,S,S,S,,R
1280.11705,,Staphylococcus aureus strain 3688STDY6124827,26806258,,S,S,S,,R
1280.11706,,Staphylococcus aureus strain 3688STDY6124857,26806258,,S,S,S,,R
1280.11707,,Staphylococcus aureus strain 3688STDY6124864,26806258,,S,S,S,,R
1280.11708,,Staphylococcus aureus strain 3688STDY6124872,26806258,,S,S,S,,R
1280.11709,,Staphylococcus aureus strain 3688STDY6124890,26806258,,S,S,S,,R
1280.1171,,Staphylococcus aureus strain 3688STDY6124898,26806258,,S,S,S,,R
1280.11711,,Staphylococcus aureus strain 3688STDY6124902,26806258,,S,S,S,,R
1280.11712,,Staphylococcus aureus strain 3688STDY6124908,26806258,,S,S,S,,S
1280.11713,,Staphylococcus aureus strain 3688STDY6124913,26806258,,S,S,S,,R
1280.11714,,Staphylococcus aureus strain 3688STDY6124914,26806258,,S,S,S,,R
1280.11715,,Staphylococcus aureus strain 3688STDY6124915,26806258,,S,S,S,,R
1280.11716,,Staphylococcus aureus strain 3688STDY6124919,26806258,,S,S,S,,R
1280.11717,,Staphylococcus aureus strain 3688STDY6124924,26806258,,S,S,S,,S
1280.11718,,Staphylococcus aureus strain 3688STDY6124953,26806258,,S,S,S,,R
1280.11719,,Staphylococcus aureus strain 3688STDY6124954,26806258,,S,S,S,,R
1280.1172,,Staphylococcus aureus strain 3688STDY6125141,26806258,,R,R,S,,R
1280.11721,,Staphylococcus aureus strain 3688STDY6124993,26806258,,S,S,S,,R
1280.11722,,Staphylococcus aureus strain 3688STDY6124830,26806258,,S,S,S,,R
1280.11723,,Staphylococcus aureus strain 3688STDY6124887,26806258,,S,S,S,,R
1280.11724,,Staphylococcus aureus strain 3688STDY6124941,26806258,,S,S,S,,R
1280.11725,,Staphylococcus aureus strain 3688STDY6124959,26806258,,S,S,S,,R
1280.11726,,Staphylococcus aureus strain 3688STDY6125061,26806258,,S,S,S,,R
1280.1593,,Staphylococcus aureus strain 13C,,R,S,S,,,
1280.15931,,Staphylococcus aureus strain LAC,,R,S,R,,,
1280.15938,,Staphylococcus aureus strain 0780-1302-2015,,S,,S,,,
1280.15939,,Staphylococcus aureus strain 0345-2701-2015,,S,,S,S,,
1280.16051,,Staphylococcus aureus strain 1014-2602-2015,,S,,S,,,
1280.16052,,Staphylococcus aureus strain 0908-2002-2015,,S,S,S,,,
1280.16061,,Staphylococcus aureus strain AR466,,,S,S,,,
1280.16384,,Staphylococcus aureus strain AR462,,,S,S,,,
1280.16385,,Staphylococcus aureus strain AR464,,,S,S,,,
1280.16386,,Staphylococcus aureus strain AR461,,,R,R,,,
1280.16387,,Staphylococcus aureus strain AR465,,,S,R,,,
1280.16436,,Staphylococcus aureus strain 0257-2201-2015,,S,R,S,,,
1280.16548,,Staphylococcus aureus strain AR_0472,,,S,R,,,
1280.16549,,Staphylococcus aureus strain AR_0223,,,S,S,,,
1280.1655,,Staphylococcus aureus strain AR_0219,,,R,R,,,
1280.16551,,Staphylococcus aureus strain AR_0216,,,S,R,,,
1280.16552,,Staphylococcus aureus strain AR_0470,,,S,R,,,
1280.16553,,Staphylococcus aureus strain AR_0471,,,S,S,,,
1280.16554,,Staphylococcus aureus strain AR_0473,,,S,S,,,
1280.16555,,Staphylococcus aureus strain AR_0467,,,S,R,,,
1280.16556,,Staphylococcus aureus strain AR_0225,,,S,R,,,
1280.16557,,Staphylococcus aureus strain AR_0469,,,R,R,,,
1280.16558,,Staphylococcus aureus strain AR_0215,,,R,R,,,
1280.16566,,Staphylococcus aureus strain AR_0226,,,S,R,,,
1280.16567,,Staphylococcus aureus strain AR_0468,,,S,R,,,
1280.16568,,Staphylococcus aureus strain AR_0228,,,R,R,,,
1280.16569,,Staphylococcus aureus strain AR_0222,,,S,S,,,
1280.1657,,Staphylococcus aureus strain AR_0220,,,R,R,,,
