study_accession,sample_accession,Acc_no,experiment_accession,run_accession,tax_id,scientific_name,fastq_ftp,submitted_ftp,sra_ftp,Borstel.ID,DNA_libID,Org.ID,Country.of.origin,NGS.lineage,method,INH_pDST_all,RMP_pDST_all,EMB_pDST_all,PZA_pDST_all,AMK_pDST_all,CAP_pDST_all,KAN_pDST_all,MFX_pDST_all,LFX_pDST_all,INH_MIC,RMP_MIC,EMB_MIC,PZA_MIC,AMK_MIC,CAP_MIC,KAN_MIC,MFX_MIC,LFX_MIC,resist.profile
PRJEB48275,SAMEA10029758,ERS7707966,ERX7478250,ERR7910853,1773,Mycobacterium tuberculosis,ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/003/ERR7910853/ERR7910853_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/003/ERR7910853/ERR7910853_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR791/ERR7910853/13767-14_lib3398_nextseq_n0004_151bp_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR791/ERR7910853/13767-14_lib3398_nextseq_n0004_151bp_R2.fastq.gz,NA,14-13767,13767-14_lib3398,4624,Peru,4.3.4.1,MGIT,R,S,S,S,S,S,S,S,S,1,1,NA,NA,0.5,1.25,1.25,0.125,<=0.188,mono
PRJEB48275,SAMEA10029761,ERS7707969,ERX7478251,ERR7910854,1773,Mycobacterium tuberculosis,ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/004/ERR7910854/ERR7910854_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/004/ERR7910854/ERR7910854_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR791/ERR7910854/13768-14_lib3399_nextseq_n0004_151bp_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR791/ERR7910854/13768-14_lib3399_nextseq_n0004_151bp_R2.fastq.gz,NA,14-13768,13768-14_lib3399,4939,Peru,4.1.2.1,MGIT,S,S,S,S,S,S,S,S,S,0.025,<=0.125,NA,NA,0.5,2.5,1.25,0.125,0.375,DS
PRJEB48275,SAMEA10029763,ERS7707971,ERX7478252,ERR7910855,1773,Mycobacterium tuberculosis,ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/005/ERR7910855/ERR7910855_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/005/ERR7910855/ERR7910855_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR791/ERR7910855/13769-14_lib3400_nextseq_n0004_151bp_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR791/ERR7910855/13769-14_lib3400_nextseq_n0004_151bp_R2.fastq.gz,NA,14-13769,13769-14_lib3400,4963,Peru,4.1.2.1,MGIT,R,S,S,S,S,S,S,S,S,0.4,<=0.125,NA,NA,1,2.5,1.25,0.125,0.375,mono
PRJEB48275,SAMEA10029765,ERS7707973,ERX7478253,ERR7910856,1773,Mycobacterium tuberculosis,ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/006/ERR7910856/ERR7910856_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/006/ERR7910856/ERR7910856_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR791/ERR7910856/13771-14_lib3402_nextseq_n0004_151bp_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR791/ERR7910856/13771-14_lib3402_nextseq_n0004_151bp_R2.fastq.gz,NA,14-13771,13771-14_lib3402,5120,Peru,4.1.2.1,MGIT,R,S,S,S,S,S,S,S,S,0.4,<=0.125,NA,NA,0.5,1.25,1.25,0.125,0.375,mono
PRJEB48275,SAMEA10029766,ERS7707974,ERX7478254,ERR7910857,1773,Mycobacterium tuberculosis,ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/007/ERR7910857/ERR7910857_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/007/ERR7910857/ERR7910857_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR791/ERR7910857/13772-14_lib3403_nextseq_n0004_151bp_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR791/ERR7910857/13772-14_lib3403_nextseq_n0004_151bp_R2.fastq.gz,NA,14-13772,13772-14_lib3403,5125,Peru,4.1.2.1,MGIT,R,R,S,S,S,S,S,S,S,3,>20,NA,NA,0.5,2.5,1.25,0.125,0.375,MDR
PRJEB48275,SAMEA10029767,ERS7707975,ERX7478255,ERR7910858,1773,Mycobacterium tuberculosis,ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/008/ERR7910858/ERR7910858_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/008/ERR7910858/ERR7910858_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR791/ERR7910858/13773-14_lib3404_nextseq_n0005_151bp_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR791/ERR7910858/13773-14_lib3404_nextseq_n0005_151bp_R2.fastq.gz,NA,14-13773,13773-14_lib3404,5146,Peru,2.2.1,MGIT,R,R,S,R,R,S,R,S,S,3,>20,NA,NA,>40,2.5,>25,<=0.0625,<=0.188,preXDR
PRJEB48275,SAMEA10029769,ERS7707977,ERX7478256,ERR7910859,1773,Mycobacterium tuberculosis,ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/009/ERR7910859/ERR7910859_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/009/ERR7910859/ERR7910859_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR791/ERR7910859/13774-14_lib3405_nextseq_n0004_151bp_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR791/ERR7910859/13774-14_lib3405_nextseq_n0004_151bp_R2.fastq.gz,NA,14-13774,13774-14_lib3405,5196,Peru,4.3.3,MGIT,R,R,S,R,S,S,S,S,S,3,>20,NA,NA,1,1.25,1.25,0.125,<=0.188,MDR
PRJEB48275,SAMEA10029769,ERS7707977,ERX7478257,ERR7910860,1773,Mycobacterium tuberculosis,ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/000/ERR7910860/ERR7910860_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/000/ERR7910860/ERR7910860_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR791/ERR7910860/13774-14_lib3405_nextseq_n0012_151bp_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR791/ERR7910860/13774-14_lib3405_nextseq_n0012_151bp_R2.fastq.gz,NA,14-13774,13774-14_lib3405,5196,Peru,4.3.3,MGIT,R,R,S,R,S,S,S,S,S,3,>20,NA,NA,1,1.25,1.25,0.125,<=0.188,MDR
PRJEB48275,SAMEA10029770,ERS7707978,ERX7478258,ERR7910861,1773,Mycobacterium tuberculosis,ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/001/ERR7910861/ERR7910861_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/001/ERR7910861/ERR7910861_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR791/ERR7910861/13775-14_lib3406_nextseq_n0004_151bp_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR791/ERR7910861/13775-14_lib3406_nextseq_n0004_151bp_R2.fastq.gz,NA,14-13775,13775-14_lib3406,5213,Peru,4.1.1,MGIT,R,R,S,R,S,S,S,S,S,3,>20,NA,NA,0.5,1.25,1.25,0.125,0.375,MDR
PRJEB48275,SAMEA10029771,ERS7707979,ERX7478259,ERR7910862,1773,Mycobacterium tuberculosis,ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/002/ERR7910862/ERR7910862_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/002/ERR7910862/ERR7910862_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR791/ERR7910862/13776-14_lib3407_nextseq_n0004_151bp_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR791/ERR7910862/13776-14_lib3407_nextseq_n0004_151bp_R2.fastq.gz,NA,14-13776,13776-14_lib3407,5218,Peru,4.3.3,MGIT,R,R,S,R,R,R,S,S,S,1,>20,NA,NA,4,5,2.5,0.125,0.75,preXDR
PRJEB48275,SAMEA10029772,ERS7707980,ERX7478260,ERR7910863,1773,Mycobacterium tuberculosis,ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/003/ERR7910863/ERR7910863_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/003/ERR7910863/ERR7910863_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR791/ERR7910863/13777-14_lib3408_nextseq_n0004_151bp_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR791/ERR7910863/13777-14_lib3408_nextseq_n0004_151bp_R2.fastq.gz,NA,14-13777,13777-14_lib3408,5220,Peru,4.3.3,MGIT,R,R,S,R,S,S,S,S,S,0.4,>20,NA,NA,0.5,1.25,2.5,0.25,0.75,MDR
PRJEB48275,SAMEA10029775,ERS7707983,ERX7478261,ERR7910864,1773,Mycobacterium tuberculosis,ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/004/ERR7910864/ERR7910864_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/004/ERR7910864/ERR7910864_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR791/ERR7910864/13778-14_lib3409_nextseq_n0004_151bp_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR791/ERR7910864/13778-14_lib3409_nextseq_n0004_151bp_R2.fastq.gz,NA,14-13778,13778-14_lib3409,5226,Peru,4.8,MGIT,R,R,S,S,S,S,S,S,S,3,>20,NA,NA,0.5,1.25,1.25,0.125,0.375,MDR
PRJEB48275,SAMEA10029776,ERS7707984,ERX7478262,ERR7910865,1773,Mycobacterium tuberculosis,ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/005/ERR7910865/ERR7910865_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/005/ERR7910865/ERR7910865_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR791/ERR7910865/13779-14_lib3410_nextseq_n0004_151bp_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR791/ERR7910865/13779-14_lib3410_nextseq_n0004_151bp_R2.fastq.gz,NA,14-13779,13779-14_lib3410,5228,Peru,4.3.4.1,MGIT,R,R,S,R,S,S,S,S,S,3,>20,NA,NA,0.5,1.25,1.25,0.125,<=0.188,MDR
PRJEB48275,SAMEA10029778,ERS7707986,ERX7478263,ERR7910866,1773,Mycobacterium tuberculosis,ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/006/ERR7910866/ERR7910866_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/006/ERR7910866/ERR7910866_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR791/ERR7910866/13781-14_lib3412_nextseq_n0004_151bp_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR791/ERR7910866/13781-14_lib3412_nextseq_n0004_151bp_R2.fastq.gz,NA,14-13781,13781-14_lib3412,5240,Peru,4.1.1,MGIT,R,R,S,R,S,S,S,S,S,3,>20,NA,NA,0.5,1.25,1.25,0.125,0.375,MDR
PRJEB48275,SAMEA10029781,ERS7707989,ERX7478264,ERR7910867,1773,Mycobacterium tuberculosis,ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/007/ERR7910867/ERR7910867_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/007/ERR7910867/ERR7910867_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR791/ERR7910867/13782-14_lib3413_nextseq_n0004_151bp_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR791/ERR7910867/13782-14_lib3413_nextseq_n0004_151bp_R2.fastq.gz,NA,14-13782,13782-14_lib3413,5246,Peru,4.1.1.3,MGIT,R,R,R,R,S,S,S,S,S,3,>20,NA,NA,1,2.5,1.25,0.125,0.375,MDR
PRJEB48275,SAMEA10029782,ERS7707990,ERX7478265,ERR7910868,1773,Mycobacterium tuberculosis,ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/008/ERR7910868/ERR7910868_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/008/ERR7910868/ERR7910868_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR791/ERR7910868/13783-14_lib3414_nextseq_n0004_151bp_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR791/ERR7910868/13783-14_lib3414_nextseq_n0004_151bp_R2.fastq.gz,NA,14-13783,13783-14_lib3414,5247,Peru,4.3.3,MGIT,R,R,S,S,S,S,S,S,S,1,>20,NA,NA,1,1.25,2.5,0.125,0.375,MDR
PRJEB48275,SAMEA10029784,ERS7707992,ERX7478266,ERR7910869,1773,Mycobacterium tuberculosis,ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/009/ERR7910869/ERR7910869_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/009/ERR7910869/ERR7910869_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR791/ERR7910869/13784-14_lib3415_nextseq_n0004_151bp_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR791/ERR7910869/13784-14_lib3415_nextseq_n0004_151bp_R2.fastq.gz,NA,14-13784,13784-14_lib3415,5249,Peru,4.3.4.2,MGIT,R,R,S,R,S,S,S,R,S,10,>20,NA,NA,1,1.25,2.5,0.5,0.75,preXDR
PRJEB48275,SAMEA10029785,ERS7707993,ERX7478267,ERR7910870,1773,Mycobacterium tuberculosis,ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/000/ERR7910870/ERR7910870_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/000/ERR7910870/ERR7910870_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR791/ERR7910870/13785-14_lib3416_nextseq_n0004_151bp_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR791/ERR7910870/13785-14_lib3416_nextseq_n0004_151bp_R2.fastq.gz,NA,14-13785,13785-14_lib3416,5250,Peru,2.2.1,MGIT,R,R,R,S,S,S,S,R,R,3,>20,NA,NA,0.5,1.25,1.25,2.5,7.5,preXDR
PRJEB48275,SAMEA10029786,ERS7707994,ERX7478268,ERR7910871,1773,Mycobacterium tuberculosis,ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/001/ERR7910871/ERR7910871_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/001/ERR7910871/ERR7910871_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR791/ERR7910871/13786-14_lib3417_nextseq_n0004_151bp_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR791/ERR7910871/13786-14_lib3417_nextseq_n0004_151bp_R2.fastq.gz,NA,14-13786,13786-14_lib3417,5254,Peru,4.3.4.2,MGIT,R,R,S,R,S,S,S,S,S,10,>20,NA,NA,0.5,2.5,2.5,0.125,0.375,MDR
PRJEB48275,SAMEA10029787,ERS7707995,ERX7478269,ERR7910872,1773,Mycobacterium tuberculosis,ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/002/ERR7910872/ERR7910872_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/002/ERR7910872/ERR7910872_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR791/ERR7910872/13787-14_lib3418_nextseq_n0005_151bp_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR791/ERR7910872/13787-14_lib3418_nextseq_n0005_151bp_R2.fastq.gz,NA,14-13787,13787-14_lib3418,5258,Peru,4.1.2.1,MGIT,R,R,R,R,S,S,S,S,S,3,>20,NA,NA,1,2.5,1.25,0.125,0.375,MDR
PRJEB48275,SAMEA10029788,ERS7707996,ERX7478270,ERR7910873,1773,Mycobacterium tuberculosis,ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/003/ERR7910873/ERR7910873_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/003/ERR7910873/ERR7910873_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR791/ERR7910873/13788-14_lib3419_nextseq_n0004_151bp_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR791/ERR7910873/13788-14_lib3419_nextseq_n0004_151bp_R2.fastq.gz,NA,14-13788,13788-14_lib3419,5260,Peru,4.3.3,MGIT,R,R,S,R,S,S,S,S,S,3,>20,NA,NA,1,1.25,2.5,0.125,0.375,MDR
PRJEB48275,SAMEA10029789,ERS7707997,ERX7478271,ERR7910874,1773,Mycobacterium tuberculosis,ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/004/ERR7910874/ERR7910874_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/004/ERR7910874/ERR7910874_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR791/ERR7910874/13789-14_lib3420_nextseq_n0004_151bp_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR791/ERR7910874/13789-14_lib3420_nextseq_n0004_151bp_R2.fastq.gz,NA,14-13789,13789-14_lib3420,5272,Peru,4.3.3,MGIT,R,R,S,S,S,S,S,S,S,3,4,NA,NA,1,2.5,1.25,0.25,0.375,MDR
PRJEB48275,SAMEA10029792,ERS7708000,ERX7478272,ERR7910875,1773,Mycobacterium tuberculosis,ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/005/ERR7910875/ERR7910875_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/005/ERR7910875/ERR7910875_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR791/ERR7910875/13790-14_lib3421_nextseq_n0005_151bp_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR791/ERR7910875/13790-14_lib3421_nextseq_n0005_151bp_R2.fastq.gz,NA,14-13790,13790-14_lib3421,5282,Peru,4.1.1,MGIT,R,R,S,R,S,S,S,S,S,3,>20,NA,NA,0.5,1.25,1.25,0.125,<=0.188,MDR
PRJEB48275,SAMEA10029792,ERS7708000,ERX7478273,ERR7910876,1773,Mycobacterium tuberculosis,ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/006/ERR7910876/ERR7910876_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR791/006/ERR7910876/ERR7910876_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR791/ERR7910876/13790-14_lib3421_nextseq_n0012_151bp_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR791/ERR7910876/13790-14_lib3421_nextseq_n0012_151bp_R2.fastq.gz,NA,14-13790,13790-14_lib3421,5282,Peru,4.1.1,MGIT,R,R,S,R,S,S,S,S,S,3,>20,NA,NA,0.5,1.25,1.25,0.125,<=0.188,MDR
