Isolate,Accession,Coverage,Total sequence length,Number of contigs,Contig N50,AMC,AMP,AZM,FOX,TIO,CRO,CHL,CIP,GEN,KAN,NAL,STR,FIS,TET,SMX
N34077PS,JUCZ00000000,65,4847826,98,135874,=      32,>      32,=       4,>      32,>       8,=      32,>      32,=    0.03,=       1,<=       8,=       4,>      64,>     256,>      32,=     0.5
N34086PS,JXUL00000000,66.5,5025006,79,185960,=      32,>      32,=       8,>      32,>       8,=      16,>      32,<=   0.015,=       1,<=       8,=       2,=      64,>     256,>      32,=    0.25
N34152PS,JWZI00000000,57.9,5113941,190,111740,=       4,=       4,=       8,=       4,=     0.5,<=    0.25,>      32,<=   0.015,=       1,<=       8,=       2,>      64,>     256,>      32,=    0.25
N34228PS,JWZH00000000,59.1,5134456,226,134000,=       4,=       4,=       8,=       8,=       1,<=    0.25,>      32,=    0.25,=       1,<=       8,>      32,>      64,>     256,>      32,=    0.25
N34322PS,JUCY00000000,51.6,5052084,116,166241,=       8,>      32,=       4,=       8,=       1,<=    0.25,>      32,=    0.03,=       1,<=       8,=       4,=      64,>     256,>      32,=    0.25
N34351PS,JUCX00000000,42.1,4947127,182,119762,=       8,>      32,=       4,=       8,=     0.5,<=    0.25,>      32,<=   0.015,=       1,<=       8,=       4,>      64,>     256,>      32,<=    0.12
N34352PS,JUCW00000000,43,5164386,227,74642,>      32,>      32,=       4,>      32,>       8,=      16,>      32,=    0.25,=       1,<=       8,>      32,>      64,>     256,>      32,=    0.25
N34543PS,JUCV00000000,73.1,5169805,214,153437,=       4,=       2,=       4,=       4,=     0.5,<=    0.25,>      32,<=   0.015,=       1,>      64,=       2,>      64,>     256,>      32,=    0.25
N34557PS,JUCU00000000,58,5129799,151,117436,>      32,>      32,=       4,>      32,>       8,=      16,=       8,=    0.06,=       1,>      64,=      32,>      64,>     256,>      32,>       4
N34562PS,JUCT00000000,47.7,4829264,156,132506,=       2,=       2,=       8,=       4,=    0.25,<=    0.25,>      32,<=   0.015,=     0.5,>      64,=       2,>      64,>     256,>      32,=     0.5
N34564PS,JWZG00000000,79.4,4830892,134,119251,=       2,=       4,=       4,=       4,=     0.5,<=    0.25,>      32,<=   0.015,=       1,>      64,=       2,>      64,>     256,>      32,=     0.5
N34577PS,JWZF00000000,81.6,5640627,321,81332,>      32,>      32,=       2,>      32,>       8,=      16,>      32,<=   0.015,=     0.5,<=       8,=       1,>      64,>     256,>      32,<=    0.12
N35912PS,JWZE00000000,87.6,5045187,120,197114,=      32,>      32,=       4,=      16,=       1,=     0.5,=       8,<=   0.015,=     0.5,<=       8,=       2,=      64,>     256,>      32,<=    0.12
N36093PS,JUCS00000000,38.6,4840479,194,98689,=       2,<=       1,=       8,=       4,=     0.5,<=    0.25,>      32,<=   0.015,=       1,<=       8,=       2,>      64,>     256,>      32,>       4
N36099PS,JWZD00000000,71.2,5230726,267,60206,=       8,>      32,>      16,=       4,=     0.5,<=    0.25,=       4,<=   0.015,=      16,<=       8,=       2,=      64,>     256,=      32,<=    0.12
N36113PS,JWZC00000000,42.3,5069172,155,112052,=       8,>      32,=       4,=       4,=     0.5,<=    0.25,>      32,<=   0.015,=       1,<=       8,=       2,>      64,>     256,>      32,<=    0.12
N36158PS,JUCR00000000,51.2,4948525,142,103389,=       8,>      32,=       4,=       4,=     0.5,<=    0.25,>      32,>       4,=       2,=      32,>      32,<=      32,>     256,>      32,>       4
N36204PS,JUCQ00000000,53.6,4918242,105,136021,=       4,>      32,=       4,=       4,=     0.5,<=    0.25,>      32,<=   0.015,=       1,<=       8,=       2,=      64,>     256,>      32,<=    0.12
N36210PS,JWZB00000000,52,4889632,153,119341,=       8,>      32,=       8,=       4,=     0.5,<=    0.25,>      32,<=   0.015,=       1,<=       8,=       2,>      64,>     256,>      32,=    0.25
N36225PS,JUCP00000000,39.8,5080401,154,84492,=       2,=       2,=       8,=       4,=     0.5,<=    0.25,>      32,<=   0.015,=       1,<=       8,=       2,<=      32,>     256,=      32,>       4
N36312PS,JUCO00000000,44.9,4748987,141,84670,>      32,>      32,=       4,>      32,=       8,=      16,=       4,=    0.25,=       1,<=       8,=       8,<=      32,>     256,>      32,>       4
N36393PS,JUCN00000000,40.1,5294941,290,85473,>      32,>      32,=       4,>      32,>       8,=      16,=       8,<=   0.015,=       1,<=       8,=       2,<=      32,<=      16,<=       4,<=    0.12
N36396PS,JUCM00000000,89.6,5025383,91,192624,=      32,>      32,=       4,>      32,>       8,=      16,>      32,<=   0.015,=       1,<=       8,=       2,<=      32,>     256,>      32,=    0.25
N36400PS,JUCL00000000,43.8,5013273,103,135701,=      32,>      32,=       4,>      32,>       8,=      32,=       8,<=   0.015,=       1,<=       8,=       2,<=      32,=      32,<=       4,<=    0.12
N36401PS,JUCK00000000,38,5050275,157,95769,>      32,>      32,=       4,>      32,>       8,=      32,=       8,<=   0.015,=       2,<=       8,=       2,<=      32,<=      16,<=       4,<=    0.12
N36404PS,JUCJ00000000,74.1,5006454,89,163587,>      32,>      32,=       8,>      32,>       8,=      16,=       8,<=   0.015,=     0.5,<=       8,=       2,<=      32,<=      16,<=       4,<=    0.12
N36601PS,JWZA00000000,104,4900616,134,131606,>      32,>      32,=       4,>      32,>       8,=      32,>      32,=     0.5,>      16,>      64,=      16,>      64,>     256,>      32,=     0.5
N36609PS,JUCI00000000,63.9,4706897,93,138107,=      16,>      32,=       4,=       4,=     0.5,<=    0.25,=       8,<=   0.015,=       1,>      64,=       4,<=      32,>     256,>      32,>       4
N36613PS,JUCH00000000,79.6,4878360,149,142290,=       8,>      32,=       4,=       4,=     0.5,<=    0.25,=       4,<=   0.015,=       1,>      64,=       2,=      64,>     256,>      32,<=    0.12
N36620PS,JUCG00000000,96,4880366,105,208845,=       8,>      32,=       8,=       4,=     0.5,<=    0.25,=       8,<=   0.015,=       1,>      64,=       2,>      64,>     256,>      32,<=    0.12
N36834PS,JUCF00000000,84.4,5202691,200,94661,=      32,>      32,=       4,=      16,=       8,=      16,=       8,<=   0.015,=     0.5,<=       8,=       2,<=      32,<=      16,<=       4,<=    0.12
N36837PS,JUCE00000000,55,4464333,145,84055,=       8,>      32,=       8,=       4,=    0.25,<=    0.25,>      32,<=   0.015,=     0.5,<=       8,=       2,=      64,>     256,>      32,=    0.25
N36903PS,JUCD00000000,45.3,5020159,111,112306,=       8,>      32,=       4,=       4,=     0.5,<=    0.25,>      32,<=   0.015,=       1,<=       8,=       2,=      64,>     256,>      32,<=    0.12
N36918PS,JUCC00000000,63.4,5006887,118,119367,=       8,>      32,=       4,=       4,=     0.5,<=    0.25,>      32,<=   0.015,=       1,<=       8,=       1,<=      32,>     256,>      32,<=    0.12
N36963PS,JUCB00000000,72,4836410,85,185187,=       8,>      32,=       4,=       8,=     0.5,<=    0.25,>      32,<=   0.015,=       1,<=       8,=       4,=      64,>     256,>      32,=    0.25
N37059PS,JUCA00000000,73.7,4920814,80,156112,=      32,>      32,=       4,>      32,>       8,=      16,=       8,<=   0.015,=       1,<=       8,=       2,>      64,>     256,>      32,=    0.25
N37067PS,JUBZ00000000,45.9,4776649,104,109113,=       8,>      32,=       8,=       4,=     0.5,<=    0.25,>      32,<=   0.015,=       1,<=       8,=       2,<=      32,>     256,>      32,=    0.25
N37069PS,JWYZ00000000,48.5,4778879,187,94688,=       8,>      32,=       8,=       4,=     0.5,<=    0.25,>      32,<=   0.015,=       1,<=       8,=       2,<=      32,>     256,>      32,=    0.25
N38381PS,JWYY00000000,44.7,5019035,345,70045,<=       1,<=       1,=       8,=       4,=    0.25,<=    0.25,>      32,<=   0.015,=     0.5,<=       8,=       2,>      64,>     256,>      32,=    0.25
N38428PS,JWYX00000000,46.2,4954991,146,91839,=      16,>      32,=       8,=       4,=       1,<=    0.25,>      32,<=   0.015,=       1,<=       8,=       4,=      64,>     256,>      32,<=    0.12
N38663PS,JUBY00000000,71.9,5203794,185,113637,<=       1,<=       1,=       8,=       8,=     0.5,<=    0.25,>      32,=    0.25,=     0.5,<=       8,>      32,<=      32,>     256,>      32,<=    0.12
N38733PS,JUBX00000000,39.8,4975296,255,71346,=       8,>      32,=       8,=       8,=     0.5,<=    0.25,>      32,>       4,=       1,<=       8,>      32,<=      32,>     256,<=       4,=    0.25
N38795PS,JUBW00000000,63.5,5446884,202,115333,>      32,>      32,=       4,>      32,>       8,=      16,>      32,<=   0.015,=       1,<=       8,=       2,<=      32,>     256,>      32,<=    0.12
N38796PS,JWYW00000000,97.7,5062562,335,60216,=      32,>      32,=       2,>      32,=       8,=      16,>      32,<=   0.015,=     0.5,<=       8,=       2,>      64,>     256,=      32,=    0.25
N38823PS,JUBV00000000,47.2,5135645,246,71671,=       4,=       2,=       2,=       2,=    0.25,<=    0.25,>      32,=     0.5,=       1,<=       8,>      32,>      64,>     256,=      32,=    0.25
N38826PS,JUBU00000000,50.5,5115416,211,88172,<=       1,<=       1,=       8,=       8,=     0.5,<=    0.25,>      32,=    0.25,=       1,<=       8,>      32,<=      32,>     256,>      32,<=    0.12
N38833PS,JUBT00000000,51.7,5008568,197,111918,=       4,=       2,=       4,=       4,=     0.5,<=    0.25,>      32,=       1,=       1,<=       8,>      32,>      64,>     256,>      32,=    0.25
N38834PS,JUBS00000000,101.9,5281989,135,116145,=       4,=       2,=       8,=       4,=     0.5,<=    0.25,>      32,<=   0.015,=       1,<=       8,=       4,>      64,>     256,>      32,=    0.25
N41498PS,JUBR00000000,70.3,5247689,255,72208,=       4,=       4,=       4,=       8,=     0.5,<=    0.25,>      32,=       1,=     0.5,<=       8,>      32,>      64,>     256,>      32,<=    0.12
N41556PS,JUBQ00000000,90.2,5144079,217,131461,=       8,>      32,=       4,=       8,=     0.5,<=    0.25,=       8,<=   0.015,>      16,<=       8,=       2,=      64,>     256,>      32,>       4
N41586PS,JUBP00000000,95.5,5067494,156,170917,=       8,>      32,=       4,=       4,=     0.5,<=    0.25,=       8,<=   0.015,=       1,>      64,=       4,>      64,>     256,>      32,>       4
