ID,DCM (2),Species(3),Source,Source grouped by anatomical site,Computerome QC_pipeline output Sample,Bases (MB),Qual Bases (MB),Qual bases %,Reads,Qual reads,Qual reads %,Most common adapter (count),2. Most common adapter (count),Other adapters (count),N50,No ctgs,longest,total bps,ENA accession number (ERS),ENA accession number (ERR),Species,MIC panel,amikacin,ampicillin,ampicillin/sulbactam,aztreonam,cefazolin,cefepime,cephalothin,meropenem,ertapenem,cefuroxime,gentamicin,ciprofloxacin,piperacillin/tazobactam,cefoxitin,trimethoprim,sulfamethoxazole,cefpodoxime,ceftazidime,tobramycin,tigecycline,ticarcillin/clavulanic acid,ceftriaxone,tetracycline,colistin
1D-011,F10,Escherichia coli,Urine,Urine,DTU2018-639-PRJ1139-Escherichia-coli-1D-011_R1_001,529,428,81.06%,3594474,3205496,89.18%,108,43,184,186575,112,342364,5300773,ERS4415798,ERR4013390,Escherichia coli,GN3F + FRCOL,≤8,8,8/4,≤4,≤4,≤4,16,≤1,≤2,≤4,≤2,>4,≤16/4,8,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,>16,0.5
1D-012,F10,Escherichia coli,Urine,Urine,DTU2018-640-PRJ1139-Escherichia-coli-1D-012_R1_001,745,631,84.64%,5213260,4730714,90.74%,390,191,485,186982,64,554834,4941606,ERS4415799,ERR4013391,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,16,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,8,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,2,0.5
1D-014,F10,Escherichia coli,Blood,Blood,DTU2018-641-PRJ1139-Escherichia-coli-1D-014_R1_001,242,185,76.37%,1631582,1406566,86.21%,57,14,56,133546,94,303242,4771524,ERS4415801,ERR4013393,Escherichia coli,GN3F + FRCOL,≤8,>32,8/4,≤4,≤4,≤4,8,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,>16,0.25
1D-015,F10,Escherichia coli,Urine,Urine,DTU2018-642-PRJ1139-Escherichia-coli-1D-015_R1_001,994,880,88.59%,8019656,7262856,90.56%,2204,1012,1328,288501,46,545016,4976587,ERS4415802,ERR4013394,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,>16,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,8,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,2,0.5
1D-017,F10,Escherichia coli,Urine,Urine,DTU2018-644-PRJ1139-Escherichia-coli-1D-017_R1_001,1605,1241,77.34%,10837716,9412710,86.85%,408,47,306,115215,84,288412,4639537,ERS4415804,ERR4013396,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,8,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,1,0.25
1D-018,F1,Escherichia coli,Urine,Urine,DTU2018-840-PRJ1139-Escherichia-coli-1D-018-rerun_R1_001,772,618,80.05%,5686112,4953446,87.11%,1834,251,714,227663,120,622064,5108706,ERS4415805,ERR4013397,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,8,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,1,0.5
1D-019,F1,Escherichia coli,Urine,Urine,DTU2018-646-PRJ1139-Escherichia-coli-1D-019_R1_001,383,307,80.34%,2592340,2301510,88.78%,114,47,101,180901,172,380185,5308247,ERS4415806,ERR4013398,Escherichia coli,GN3F + FRCOL,≤8,>32,>32/16,≤4,>32,≤4,>16,≤1,≤2,≤4,≤2,"≤0,5",128/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,>64/2,≤1,>16,0.25
1D-020,F1,Escherichia coli,Blood,Blood,DTU2018-647-PRJ1139-Escherichia-coli-1D-020_R1_001,335,266,79.30%,2286734,2013890,88.07%,110,30,89,203076,140,380185,5245654,ERS4415807,ERR4013399,Escherichia coli,GN3F + FRCOL,≤8,>32,>32/16,≤4,32,≤4,>16,≤1,≤2,≤4,≤2,"≤0,5",128/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,>64/2,≤1,>16,0.5
1D-021,F1,Escherichia coli,Faeces,Stool or rectum,DTU2018-648-PRJ1139-Escherichia-coli-1D-021_R1_001,359,290,80.72%,2426226,2167046,89.32%,85,17,76,75720,207,254641,5044141,ERS4415808,ERR4013400,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,16,≤1,≤2,8,≤2,"≤0,5",≤16/4,8,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,2,0.5
1D-022,F1,Escherichia coli,Urine,Urine,DTU2018-649-PRJ1139-Escherichia-coli-1D-022_R1_001,541,449,82.96%,3739940,3364968,89.97%,231,112,189,306023,81,918842,5222360,ERS4415809,ERR4013401,Escherichia coli,GN3F + FRCOL,≤8,>32,32/16,≤4,≤4,≤4,16,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,>4/76,NA,≤2,≤1,≤4,≤1,≤16/2,≤1,2,0.5
1D-023,F1,Escherichia coli,Urine,Urine,DTU2018-650-PRJ1139-Escherichia-coli-1D-023_R1_001,284,224,79.08%,1917922,1688366,88.03%,97,25,89,151755,107,593743,5073105,ERS4415810,ERR4013402,Escherichia coli,GN3F + FRCOL,≤8,>32,>32/16,≤4,16,≤4,>16,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,8,>4/76,NA,≤2,≤1,≤4,≤1,32/2,≤1,2,0.5
1D-024,F1,Escherichia coli,Urine,Urine,DTU2018-651-PRJ1139-Escherichia-coli-1D-024_R1_001,424,347,81.81%,2867228,2574982,89.81%,110,26,109,92753,116,279440,5064791,ERS4415811,ERR4013403,Escherichia coli,GN3F + FRCOL,≤8,>32,>32/16,≤4,8,≤4,>16,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,>64/2,≤1,>16,0.25
1D-025,F1,Escherichia coli,Urine,Urine,DTU2018-652-PRJ1139-Escherichia-coli-1D-025_R1_001,296,239,80.74%,2023222,1796204,88.78%,88,22,70,301405,106,512880,5085989,ERS4415812,ERR4013404,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,8,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,1,0.5
1D-026,F1,Escherichia coli,Urine,Urine,DTU2018-653-PRJ1139-Escherichia-coli-1D-026_R1_001,334,266,79.64%,2245224,1986460,88.47%,56,19,68,80807,160,230444,4784215,ERS4415813,ERR4013405,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,8,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,2,0.5
1D-027,F1,Escherichia coli,Urine,Urine,DTU2018-654-PRJ1139-Escherichia-coli-1D-027_R1_001,323,262,81.31%,2176132,1947410,89.49%,62,27,99,175633,82,519077,4817975,ERS4415814,ERR4013406,Escherichia coli,GN3F + FRCOL,≤8,>32,>32/16,≤4,32,≤4,>16,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,8,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,>64/2,≤1,>16,0.25
1D-028,F1,Escherichia coli,Pus,Undetermined,DTU2018-655-PRJ1139-Escherichia-coli-1D-028_R1_001,890,758,85.14%,6179290,5636188,91.21%,418,264,260,352449,67,618410,5176906,ERS4415815,ERR4013407,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,8,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,1,0.5
1D-029,F1,Escherichia coli,Urine,Urine,DTU2018-656-PRJ1139-Escherichia-coli-1D-029_R1_001,382,312,81.65%,2581536,2316216,89.72%,91,47,51,460568,111,764230,5238167,ERS4415816,ERR4013408,Escherichia coli,GN3F + FRCOL,≤8,>32,16/8,≤4,≤4,≤4,16,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,>4/76,NA,≤2,≤1,≤4,≤1,32/2,≤1,2,0.25
1D-030,F1,Escherichia coli,Urine,Urine,DTU2018-657-PRJ1139-Escherichia-coli-1D-030_R1_001,293,232,79.37%,1968226,1741452,88.48%,56,16,71,64408,178,234587,4950010,ERS4415817,ERR4013409,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,16,≤1,≤2,8,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,1,0.5
1D-031,F1,Escherichia coli,Urine,Urine,DTU2018-658-PRJ1139-Escherichia-coli-1D-031_R1_001,312,247,78.98%,2103812,1853428,88.10%,100,19,89,223243,112,457389,5218463,ERS4415818,ERR4013410,Escherichia coli,GN3F + FRCOL,≤8,>32,16/8,≤4,≤4,≤4,16,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,8,>4/76,NA,≤2,≤1,≤4,≤1,≤16/2,≤1,>16,0.5
1D-032,F1,Escherichia coli,Urine,Urine,DTU2018-659-PRJ1139-Escherichia-coli-1D-032_R1_001,388,312,80.47%,2622074,2333460,88.99%,122,110,110,198669,136,446214,5207690,ERS4415819,ERR4013411,Escherichia coli,GN3F + FRCOL,≤8,>32,8/4,≤4,≤4,≤4,8,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,>4/76,NA,≤2,≤1,≤4,≤1,≤16/2,≤1,>16,0.25
1D-033,F1,Escherichia coli,Urine,Urine,DTU2018-660-PRJ1139-Escherichia-coli-1D-033_R1_001,368,291,79.32%,2479656,2186748,88.19%,80,19,73,203753,100,696574,5217174,ERS4415820,ERR4013412,Escherichia coli,GN3F + FRCOL,16,>32,32/16,≤4,≤4,≤4,>16,≤1,≤2,16,4,>4,≤16/4,16,>4/76,NA,≤2,≤1,>8,≤1,64/2,≤1,>16,0.5
1D-034,F1,Escherichia coli,Urine,Urine,DTU2018-661-PRJ1139-Escherichia-coli-1D-034_R1_001,505,418,82.88%,3502682,3143694,89.75%,253,110,170,279978,64,595859,5206343,ERS4415821,ERR4013413,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,8,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,1,0.25
1D-035,F1,Escherichia coli,Urine,Urine,DTU2018-662-PRJ1139-Escherichia-coli-1D-035_R1_001,417,337,80.82%,2837816,2527354,89.06%,108,76,147,204585,102,492595,5286912,ERS4415822,ERR4013414,Escherichia coli,GN3F + FRCOL,≤8,>32,8/4,≤4,>32,≤4,>16,≤1,≤2,>32,≤2,"≤0,5",≤16/4,>32,"≤0,5/9,5",NA,16,16,≤4,≤1,64/2,≤1,1,0.5
1D-036,F1,Escherichia coli,Urine,Urine,DTU2018-663-PRJ1139-Escherichia-coli-1D-036_R1_001,345,276,80.03%,2328572,2069090,88.86%,71,24,80,170700,110,692927,5364236,ERS4415823,ERR4013415,Escherichia coli,GN3F + FRCOL,≤8,>32,16/8,32,>32,32,>16,≤1,≤2,>32,>16,>4,≤16/4,8,>4/76,NA,>16,16,>8,≤1,32/2,>64,>16,0.5
1D-037,F1,Escherichia coli,Urine,Urine,DTU2018-664-PRJ1139-Escherichia-coli-1D-037_R1_001,405,325,80.34%,2746488,2441310,88.89%,102,38,97,254172,101,399093,5302962,ERS4415824,ERR4013416,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,8,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,1/19,NA,≤2,≤1,≤4,≤1,≤16/2,≤1,1,0.5
1D-038,F1,Escherichia coli,Urine,Urine,DTU2018-665-PRJ1139-Escherichia-coli-1D-038_R1_001,280,210,75.21%,1887102,1617096,85.69%,83,20,60,157850,134,404977,5242803,ERS4415825,ERR4013417,Escherichia coli,GN3F + FRCOL,≤8,>32,>32/16,≤4,16,≤4,>16,≤1,≤2,8,≤2,>4,≤16/4,8,>4/76,NA,≤2,≤1,≤4,≤1,>64/2,≤1,>16,0.25
1D-039,F1,Escherichia coli,Urine,Urine,DTU2018-666-PRJ1139-Escherichia-coli-1D-039_R1_001,316,247,78.03%,2138058,1871240,87.52%,89,26,104,89104,106,429516,4527181,ERS4415826,ERR4013418,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,16,≤1,≤2,8,≤2,"≤0,5",≤16/4,8,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,2,0.25
1D-040,F1,Escherichia coli,Urine,Urine,DTU2018-667-PRJ1139-Escherichia-coli-1D-040_R1_001,279,211,75.42%,1892142,1621206,85.68%,121,16,56,150996,131,517058,5319697,ERS4415827,ERR4013419,Escherichia coli,GN3F + FRCOL,≤8,>32,16/8,≤4,≤4,≤4,16,≤1,≤2,≤4,16,"≤0,5",≤16/4,≤4,>4/76,NA,≤2,≤1,>8,≤1,≤16/2,≤1,>16,0.5
1D-041,F1,Escherichia coli,Urine,Urine,DTU2018-668-PRJ1139-Escherichia-coli-1D-041_R1_001,283,214,75.82%,1910076,1645920,86.17%,63,44,52,151566,180,684310,5327915,ERS4415828,ERR4013420,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,16,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,8,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,1,0.25
1D-042,F1,Escherichia coli,Urine,Urine,DTU2018-669-PRJ1139-Escherichia-coli-1D-042_R1_001,283,215,75.91%,1907426,1645080,86.25%,80,15,71,145044,136,368639,5176861,ERS4415829,ERR4013421,Escherichia coli,GN3F + FRCOL,≤8,>32,16/8,≤4,≤4,≤4,>16,≤1,≤2,16,≤2,>4,≤16/4,16,>4/76,NA,≤2,≤1,>8,≤1,32/2,≤1,>16,0.5
1D-043,F2,Escherichia coli,Urine,Urine,DTU2018-670-PRJ1139-Escherichia-coli-1D-043_R1_001,286,217,76.01%,1928836,1667694,86.46%,64,14,72,113958,122,289746,5139977,ERS4415830,ERR4013422,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,4,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,"≤0,5",0.25
1D-044,F2,Escherichia coli,Urine,Urine,DTU2018-671-PRJ1139-Escherichia-coli-1D-044_R1_001,279,211,75.85%,1885178,1624248,86.16%,87,32,94,92398,118,297341,4653995,ERS4415831,ERR4013423,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,8,≤4,≤4,8,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,1,0.5
1D-045,F2,Escherichia coli,Urine,Urine,DTU2018-672-PRJ1139-Escherichia-coli-1D-045_R1_001,276,207,75.12%,1857958,1591302,85.65%,69,12,57,229468,80,513873,5129489,ERS4415832,ERR4013424,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,16,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,2,0.5
1D-046,F2,Escherichia coli,Urine,Urine,DTU2018-673-PRJ1139-Escherichia-coli-1D-046_R1_001,305,232,76.30%,2057558,1778442,86.43%,78,12,57,561970,61,763282,5150466,ERS4415833,ERR4013425,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,8,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,1,0.5
1D-047,F2,Escherichia coli,Urine,Urine,DTU2018-674-PRJ1139-Escherichia-coli-1D-047_R1_001,254,190,74.72%,1721050,1467488,85.27%,102,19,67,175959,110,633541,5308621,ERS4415834,ERR4013426,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,8,≤1,≤2,8,≤2,>4,≤16/4,8,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,>16,0.5
1D-048,F2,Escherichia coli,Urine,Urine,DTU2018-675-PRJ1139-Escherichia-coli-1D-048_R1_001,396,309,78.08%,2687946,2355580,87.63%,85,25,96,107086,191,291215,5241851,ERS4415835,ERR4013427,Escherichia coli,GN3F + FRCOL,≤8,>32,32/16,≤4,≤4,≤4,>16,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,>4/76,NA,≤2,≤1,≤4,≤1,>64/2,≤1,>16,0.25
1D-049,F2,Escherichia coli,Urine,Urine,DTU2018-676-PRJ1139-Escherichia-coli-1D-049_R1_001,315,242,76.76%,2137926,1853102,86.68%,94,18,64,191871,108,453396,5146618,ERS4415836,ERR4013428,Escherichia coli,GN3F + FRCOL,≤8,>32,16/8,>32,>32,>32,>16,≤1,≤2,>32,≤2,>4,≤16/4,32,"≤0,5/9,5",NA,>16,32,≤4,≤1,32/2,>64,>16,0.25
1D-050,F2,Escherichia coli,Urine,Urine,DTU2018-677-PRJ1139-Escherichia-coli-1D-050_R1_001,452,370,81.75%,3060780,2749776,89.84%,99,42,131,193191,62,718985,4893980,ERS4415837,ERR4013429,Escherichia coli,GN3F + FRCOL,≤8,>32,>32/16,≤4,>32,≤4,>16,≤1,≤2,8,≤2,"≤0,5",>128/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,>64/2,≤1,1,0.25
1D-051,F2,Escherichia coli,Urine,Urine,DTU2018-678-PRJ1139-Escherichia-coli-1D-051_R1_001,385,312,81.18%,2609834,2329246,89.25%,95,41,147,245663,83,497368,5037710,ERS4415838,ERR4013430,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,16,≤1,≤2,8,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,2,0.25
1D-052,F2,Escherichia coli,Urine,Urine,DTU2018-679-PRJ1139-Escherichia-coli-1D-052_R1_001,378,296,78.41%,2546652,2232608,87.67%,73,32,105,126192,98,347604,4745011,ERS4415839,ERR4013431,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,8,≤1,≤2,≤4,≤2,>4,≤16/4,8,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,>16,0.25
1D-053,F2,Escherichia coli,Urine,Urine,DTU2018-680-PRJ1139-Escherichia-coli-1D-053_R1_001,299,233,78.00%,2023074,1775204,87.75%,59,49,77,310694,64,667079,5186041,ERS4415840,ERR4013432,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,8,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,>4/76,NA,≤2,≤1,≤4,≤1,≤16/2,≤1,2,0.5
1D-054,F2,Escherichia coli,Urine,Urine,DTU2018-681-PRJ1139-Escherichia-coli-1D-054_R1_001,362,283,78.25%,2440032,2140986,87.74%,90,59,153,239457,78,739549,5315949,ERS4415841,ERR4013433,Escherichia coli,GN3F + FRCOL,≤8,>32,16/8,16,>32,≤4,>16,≤1,≤2,>32,≤2,"≤0,5",≤16/4,≤4,>4/76,NA,>16,4,>8,≤1,≤16/2,>64,>16,0.5
1D-055,F2,Escherichia coli,Urine,Urine,DTU2018-682-PRJ1139-Escherichia-coli-1D-055_R1_001,243,184,75.55%,1636584,1405318,85.87%,25,19,88,83653,130,340021,4789614,ERS4415842,ERR4013434,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,4,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,1,0.5
1D-056,F2,Escherichia coli,Urine,Urine,DTU2018-683-PRJ1139-Escherichia-coli-1D-056_R1_001,420,343,81.50%,2836374,2547132,89.80%,62,33,121,284103,81,585988,4991615,ERS4415843,ERR4013435,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,16,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,1,0.5
1D-057,F2,Escherichia coli,Urine,Urine,DTU2018-684-PRJ1139-Escherichia-coli-1D-057_R1_001,271,207,76.37%,1821792,1570646,86.21%,43,10,58,187852,65,553269,4696012,ERS4415844,ERR4013436,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,8,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,2,0.25
1D-058,F2,Escherichia coli,Urine,Urine,DTU2018-1234-PRJ1139-Unknown-unkn-1D-058_R1_001,240,203,84.52%,1766008,1604518,90.86%,450,46,105,112734,140,347937,4847205,ERS4415845,ERR4013437,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,4,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,2,0.5
1D-059,F2,Escherichia coli,Urine,Urine,DTU2018-685-PRJ1139-Escherichia-coli-1D-059_R1_001,401,318,79.36%,2706244,2390094,88.32%,95,52,127,119364,135,425330,5228851,ERS4415846,ERR4013438,Escherichia coli,GN3F + FRCOL,≤8,≤4,≤4/2,≤4,≤4,≤4,8,≤1,≤2,≤4,≤2,"≤0,5",≤16/4,≤4,"≤0,5/9,5",NA,≤2,≤1,≤4,≤1,≤16/2,≤1,>16,0.25
