run_accession,study_accession,Accession No,tax_id,scientific_name,submitted_ftp,No.,Isolate ID,Depth of coverage,Lineage,Sub-lineage,RD,"NCBI BioProject 
accession no.",Isolate set,DR type,ofloxacin,gatifloxacin,levofloxacin,moxifloxacin
SRR5709761,PRJNA390471,SAMN07236275,1773,Mycobacterium tuberculosis,NA,28,WMB251,49.52,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pre-XDR,R,S,R,R
SRR5709762,PRJNA390471,SAMN07236535,1773,Mycobacterium tuberculosis,NA,190,WBB281,59.49,East-Asian,Lineage 2.1,(RD105),PRJNA390471,training set,XDR,R,S,R,R
SRR5709763,PRJNA390471,SAMN07236534,1773,Mycobacterium tuberculosis,NA,189,WBB280,54.72,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pre-XDR,R,S,S,S
SRR5709764,PRJNA390471,SAMN07236516,1773,Mycobacterium tuberculosis,NA,173,WBB260,53.13,East-Asian,Lineage 2.1,(RD105),PRJNA390471,training set,XDR,R,R,R,R
SRR5709765,PRJNA390471,SAMN07236532,1773,Mycobacterium tuberculosis,NA,187,WBB278,56.15,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,XDR,R,S,S,S
SRR5709768,PRJNA390471,SAMN07236376,1773,Mycobacterium tuberculosis,NA,124,WMB357,50.02,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pan-S,S,S,S,S
SRR5709769,PRJNA390471,SAMN07236377,1773,Mycobacterium tuberculosis,NA,125,WMB358,48.53,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pan-S,S,S,S,S
SRR5709770,PRJNA390471,SAMN07236374,1773,Mycobacterium tuberculosis,NA,123,WMB355,53.3,East-Asian,Lineage 2.2.1.1,"(RD105,207,181,150)",PRJNA390471,training set,Pan-S,S,S,S,S
SRR5709772,PRJNA390471,SAMN07236372,1773,Mycobacterium tuberculosis,NA,121,WMB353,192.33,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pan-S,S,S,S,S
SRR5709773,PRJNA390471,SAMN07236373,1773,Mycobacterium tuberculosis,NA,122,WMB354,47.7,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pan-S,S,S,S,S
SRR5709774,PRJNA390471,SAMN07236370,1773,Mycobacterium tuberculosis,NA,119,WMB351,47.3,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pan-S,S,S,S,S
SRR5709775,PRJNA390471,SAMN07236371,1773,Mycobacterium tuberculosis,NA,120,WMB352,271.68,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pan-S,S,S,S,S
SRR5709776,PRJNA390471,SAMN07236368,1773,Mycobacterium tuberculosis,NA,118,WMB349,141.13,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pan-S,S,S,S,S
SRR5709780,PRJNA390471,SAMN07236290,1773,Mycobacterium tuberculosis,NA,43,WMB266,85.22,East-Asian,Lineage 2.2.2,"(RD105,207)",PRJNA390471,training set,Pre-XDR,S,S,S,R
SRR5709781,PRJNA390471,SAMN07236346,1773,Mycobacterium tuberculosis,NA,96,WMB325,123.72,Euro-American,"Lineage 4.2, 4.4, 4.7, H37Rv like and others",(pks15/1:7D),PRJNA390471,training set,Pan-S,S,S,S,S
SRR5709782,PRJNA390471,SAMN07236344,1773,Mycobacterium tuberculosis,NA,94,WMB323,111.74,Indo-Oceanic,Lineage 1,(RD239),PRJNA390471,training set,Pan-S,S,S,S,S
SRR5709792,PRJNA390471,SAMN07236263,1773,Mycobacterium tuberculosis,NA,16,WMB239,61.36,Indo-Oceanic,Lineage 1,(RD239),PRJNA390471,training set,Pre-XDR,R,S,R,S
SRR5709793,PRJNA390471,SAMN07236262,1773,Mycobacterium tuberculosis,NA,15,WMB238,61.48,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pre-XDR,R,S,S,S
SRR5709794,PRJNA390471,SAMN07236265,1773,Mycobacterium tuberculosis,NA,18,WMB241,72.81,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pre-XDR,R,S,S,S
SRR5709795,PRJNA390471,SAMN07236264,1773,Mycobacterium tuberculosis,NA,17,WMB240,74.39,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pre-XDR,R,S,S,S
SRR5709796,PRJNA390471,SAMN07236259,1773,Mycobacterium tuberculosis,NA,12,WMB235,55.6,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pre-XDR,R,S,R,S
SRR5709797,PRJNA390471,SAMN07236258,1773,Mycobacterium tuberculosis,NA,11,WMB233,46.81,East-Asian,special sublineage,"(RD105, 181)  assume Beijing special lineage",PRJNA390471,training set,Pre-XDR,R,R,R,R
SRR5709798,PRJNA390471,SAMN07236261,1773,Mycobacterium tuberculosis,NA,14,WMB237,117.92,East-Asian,Lineage 2.1,(RD105),PRJNA390471,training set,XDR,R,S,R,R
SRR5709799,PRJNA390471,SAMN07236260,1773,Mycobacterium tuberculosis,NA,13,WMB236,100.71,East-Asian,Lineage 2.2.1,"(RD105,207,181); Mtb",PRJNA390471,training set,Pre-XDR,R,S,S,R
SRR5709801,PRJNA390471,SAMN07236267,1773,Mycobacterium tuberculosis,NA,20,WMB243,174.19,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pre-XDR,R,S,R,R
SRR5709802,PRJNA390471,SAMN07236266,1773,Mycobacterium tuberculosis,NA,19,WMB242,50.32,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pre-XDR,R,S,R,S
SRR5709803,PRJNA390471,SAMN07236302,1773,Mycobacterium tuberculosis,NA,55,WMB280,102.1,East-Asian,Lineage 2.2.2,"(RD105,207)",PRJNA390471,training set,Pre-XDR,R,S,R,R
SRR5709805,PRJNA390471,SAMN07236387,1773,Mycobacterium tuberculosis,NA,135,WMB368,199.81,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pan-S,S,S,S,S
SRR5709806,PRJNA390471,SAMN07236386,1773,Mycobacterium tuberculosis,NA,134,WMB367,208.22,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pan-S,S,S,S,S
SRR5709807,PRJNA390471,SAMN07236383,1773,Mycobacterium tuberculosis,NA,131,WMB364,51.53,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pan-S,S,S,S,S
SRR5709808,PRJNA390471,SAMN07236382,1773,Mycobacterium tuberculosis,NA,130,WMB363,58.6,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pan-S,S,S,S,S
SRR5709809,PRJNA390471,SAMN07236385,1773,Mycobacterium tuberculosis,NA,133,WMB366,231.39,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pan-S,S,S,S,S
SRR5709810,PRJNA390471,SAMN07236384,1773,Mycobacterium tuberculosis,NA,132,WMB365,52.92,Indo-Oceanic,Lineage 1,(RD239),PRJNA390471,training set,Pan-S,S,S,S,S
SRR5709811,PRJNA390471,SAMN07236379,1773,Mycobacterium tuberculosis,NA,127,WMB360,216.89,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pan-S,S,S,S,S
SRR5709812,PRJNA390471,SAMN07236378,1773,Mycobacterium tuberculosis,NA,126,WMB359,57.91,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pan-S,S,S,S,S
SRR5709813,PRJNA390471,SAMN07236381,1773,Mycobacterium tuberculosis,NA,129,WMB362,57.97,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pan-S,S,S,S,S
SRR5709814,PRJNA390471,SAMN07236380,1773,Mycobacterium tuberculosis,NA,128,WMB361,50.18,East-Asian,Lineage 2.1,(RD105),PRJNA390471,training set,Pan-S,S,S,S,S
SRR5709815,PRJNA390471,SAMN07236288,1773,Mycobacterium tuberculosis,NA,41,WMB264,46.47,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pre-XDR,R,S,S,S
SRR5709816,PRJNA390471,SAMN07236317,1773,Mycobacterium tuberculosis,NA,69,WMB295,54.28,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pre-XDR,R,S,R,R
SRR5709817,PRJNA390471,SAMN07236336,1773,Mycobacterium tuberculosis,NA,86,WMB314,156.44,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pan-S,S,S,S,S
SRR5709818,PRJNA390471,SAMN07236337,1773,Mycobacterium tuberculosis,NA,87,WMB315,59.31,Indo-Oceanic,special lineage,All RD present (assume Mtb ancestral lineage),PRJNA390471,training set,Pan-S,S,S,S,S
SRR5709819,PRJNA390471,SAMN07236334,1773,Mycobacterium tuberculosis,NA,84,WMB312,200.29,Indo-Oceanic,Lineage 1,(RD239),PRJNA390471,training set,Pan-S,S,S,S,S
SRR5709820,PRJNA390471,SAMN07236335,1773,Mycobacterium tuberculosis,NA,85,WMB313,203.7,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pan-S,S,S,S,S
SRR5709821,PRJNA390471,SAMN07236332,1773,Mycobacterium tuberculosis,NA,82,WMB310,133.83,Euro-American,"Lineage 4.2, 4.4, 4.7, H37Rv like and others",(pks15/1:7D),PRJNA390471,training set,Pre-XDR,R,S,S,S
SRR5709822,PRJNA390471,SAMN07236333,1773,Mycobacterium tuberculosis,NA,83,WMB311,160.72,East-Asian,Lineage 2.1,(RD105),PRJNA390471,training set,XDR,R,S,R,R
SRR5709823,PRJNA390471,SAMN07236330,1773,Mycobacterium tuberculosis,NA,80,WMB308,104.75,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pre-XDR,R,S,S,S
SRR5709824,PRJNA390471,SAMN07236331,1773,Mycobacterium tuberculosis,NA,81,WMB309,85.04,East-Asian,Lineage 2.1,(RD105),PRJNA390471,training set,Pre-XDR,R,S,R,R
SRR5709825,PRJNA390471,SAMN07236328,1773,Mycobacterium tuberculosis,NA,78,WMB306,191.17,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pre-XDR,R,S,S,S
SRR5709826,PRJNA390471,SAMN07236329,1773,Mycobacterium tuberculosis,NA,79,WMB307,169.32,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pre-XDR,R,S,S,S
SRR5709837,PRJNA390471,SAMN07236347,1773,Mycobacterium tuberculosis,NA,97,WMB326,60.08,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pan-S,S,S,S,S
SRR5709839,PRJNA390471,SAMN07236293,1773,Mycobacterium tuberculosis,NA,46,WMB269,46.25,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pre-XDR,R,R,R,R
SRR5709840,PRJNA390471,SAMN07236396,1773,Mycobacterium tuberculosis,NA,144,WMB378,48.4,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pan-S,S,S,S,S
SRR5709841,PRJNA390471,SAMN07236397,1773,Mycobacterium tuberculosis,NA,145,WMB379,48.29,Euro-American,"Lineage 4.2, 4.4, 4.7, H37Rv like and others",(pks15/1:7D),PRJNA390471,training set,Pan-S,S,S,S,S
SRR5709842,PRJNA390471,SAMN07236388,1773,Mycobacterium tuberculosis,NA,136,WMB369,48.73,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pan-S,S,S,S,S
SRR5709843,PRJNA390471,SAMN07236389,1773,Mycobacterium tuberculosis,NA,137,WMB370,199.32,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pan-S,S,S,S,S
SRR5709844,PRJNA390471,SAMN07236390,1773,Mycobacterium tuberculosis,NA,138,WMB371,48.28,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pan-S,S,S,S,S
SRR5709845,PRJNA390471,SAMN07236391,1773,Mycobacterium tuberculosis,NA,139,WMB373,NA,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pan-S,S,S,S,S
SRR5709846,PRJNA390471,SAMN07236392,1773,Mycobacterium tuberculosis,NA,140,WMB374,208.11,Euro-American,Lineage 4.5,"(pks15/1:7D, RD122)",PRJNA390471,training set,Pan-S,S,S,S,S
SRR5709847,PRJNA390471,SAMN07236393,1773,Mycobacterium tuberculosis,NA,141,WMB375,49.53,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pan-S,S,S,S,S
SRR5709848,PRJNA390471,SAMN07236394,1773,Mycobacterium tuberculosis,NA,142,WMB376,49.9,Indo-Oceanic,Lineage 1,(RD239),PRJNA390471,training set,Pan-S,S,S,S,S
SRR5709849,PRJNA390471,SAMN07236395,1773,Mycobacterium tuberculosis,NA,143,WMB377,50.53,Indo-Oceanic,Lineage 1,(RD239),PRJNA390471,training set,Pan-S,S,S,S,S
SRR5709860,PRJNA390471,SAMN07236321,1773,Mycobacterium tuberculosis,NA,72,WMB299,167.65,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pre-XDR,R,R,R,R
SRR5709862,PRJNA390471,SAMN07236319,1773,Mycobacterium tuberculosis,NA,71,WMB297,180.6,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pre-XDR,R,S,R,R
SRR5709863,PRJNA390471,SAMN07236318,1773,Mycobacterium tuberculosis,NA,70,WMB296,88.68,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pre-XDR,R,S,R,R
SRR5709864,PRJNA390471,SAMN07236325,1773,Mycobacterium tuberculosis,NA,76,WMB303,96.12,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pre-XDR,R,S,R,R
SRR5709865,PRJNA390471,SAMN07236324,1773,Mycobacterium tuberculosis,NA,75,WMB302,239.33,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,FQR,R,S,S,S
SRR5709866,PRJNA390471,SAMN07236323,1773,Mycobacterium tuberculosis,NA,74,WMB301,191.89,Euro-American,"Lineage 4.2, 4.4, 4.7, H37Rv like and others",(pks15/1:7D),PRJNA390471,training set,Pre-XDR,R,S,R,S
SRR5709867,PRJNA390471,SAMN07236322,1773,Mycobacterium tuberculosis,NA,73,WMB300,114.55,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,FQR,R,S,R,R
SRR5709869,PRJNA390471,SAMN07236326,1773,Mycobacterium tuberculosis,NA,77,WMB304,54.68,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pre-XDR,R,S,R,R
SRR5709870,PRJNA390471,SAMN07236296,1773,Mycobacterium tuberculosis,NA,49,WMB272,51.38,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pre-XDR,R,S,S,S
SRR5709871,PRJNA390471,SAMN07236301,1773,Mycobacterium tuberculosis,NA,54,WMB278,174.81,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pre-XDR,R,S,S,S
SRR5709872,PRJNA390471,SAMN07236537,1773,Mycobacterium tuberculosis,NA,192,WBB283,58.44,East-Asian,Lineage 2.1,(RD105),PRJNA390471,training set,XDR,R,S,R,R
SRR5709873,PRJNA390471,SAMN07236405,1773,Mycobacterium tuberculosis,NA,152,WMB387,49.33,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pan-S,S,S,S,S
SRR5709875,PRJNA390471,SAMN07236403,1773,Mycobacterium tuberculosis,NA,151,WMB385,224.96,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pan-S,S,S,S,S
SRR5709876,PRJNA390471,SAMN07236402,1773,Mycobacterium tuberculosis,NA,150,WMB384,218.86,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pan-S,S,S,S,S
SRR5709877,PRJNA390471,SAMN07236401,1773,Mycobacterium tuberculosis,NA,149,WMB383,253.01,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pan-S,S,S,S,S
SRR5709878,PRJNA390471,SAMN07236400,1773,Mycobacterium tuberculosis,NA,148,WMB382,228.64,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pan-S,S,S,S,S
SRR5709879,PRJNA390471,SAMN07236399,1773,Mycobacterium tuberculosis,NA,147,WMB381,48.55,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pan-S,S,S,S,S
SRR5709880,PRJNA390471,SAMN07236398,1773,Mycobacterium tuberculosis,NA,146,WMB380,176.25,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pan-S,S,S,S,S
SRR5709881,PRJNA390471,SAMN07236407,1773,Mycobacterium tuberculosis,NA,154,WMB389,210.61,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pan-S,S,S,S,S
SRR5709882,PRJNA390471,SAMN07236406,1773,Mycobacterium tuberculosis,NA,153,WMB388,212.26,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pan-S,S,S,S,S
SRR5709883,PRJNA390471,SAMN07236305,1773,Mycobacterium tuberculosis,NA,58,WMB283,209.41,East-Asian,Lineage 2.1,(RD105),PRJNA390471,training set,Pre-XDR,R,S,R,R
SRR5709884,PRJNA390471,SAMN07236533,1773,Mycobacterium tuberculosis,NA,188,WBB279,60.72,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,XDR,R,S,S,S
SRR5709885,PRJNA390471,SAMN07236524,1773,Mycobacterium tuberculosis,NA,181,WBB269,54.49,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,XDR,R,S,S,S
SRR5709886,PRJNA390471,SAMN07236525,1773,Mycobacterium tuberculosis,NA,182,WBB270,57.65,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pre-XDR,R,S,R,R
SRR5709887,PRJNA390471,SAMN07236522,1773,Mycobacterium tuberculosis,NA,179,WBB266,59.57,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,XDR,R,S,R,R
SRR5709888,PRJNA390471,SAMN07236523,1773,Mycobacterium tuberculosis,NA,180,WBB268,56.07,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,XDR,R,S,S,S
SRR5709889,PRJNA390471,SAMN07236520,1773,Mycobacterium tuberculosis,NA,177,WBB264,59.25,East-Asian,Lineage 2.2.1.1,"(RD105,207,181,150)",PRJNA390471,training set,XDR,R,R,R,R
SRR5709890,PRJNA390471,SAMN07236521,1773,Mycobacterium tuberculosis,NA,178,WBB265,59.81,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pre-XDR,R,S,R,R
SRR5709891,PRJNA390471,SAMN07236518,1773,Mycobacterium tuberculosis,NA,175,WBB262,55.74,East-Asian,Lineage 2.1,(RD105),PRJNA390471,training set,XDR,R,S,R,R
SRR5709892,PRJNA390471,SAMN07236519,1773,Mycobacterium tuberculosis,NA,176,WBB263,55.24,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,XDR,R,S,R,R
SRR5709893,PRJNA390471,SAMN07236312,1773,Mycobacterium tuberculosis,NA,65,WMB290,57.15,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pre-XDR,R,S,S,S
SRR5709894,PRJNA390471,SAMN07236313,1773,Mycobacterium tuberculosis,NA,66,WMB291,196.07,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pre-XDR,R,S,S,S
SRR5709895,PRJNA390471,SAMN07236314,1773,Mycobacterium tuberculosis,NA,67,WMB292,172.74,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pre-XDR,R,S,R,R
SRR5709896,PRJNA390471,SAMN07236315,1773,Mycobacterium tuberculosis,NA,68,WMB293,61.23,Indo-Oceanic,Lineage 1,(RD239),PRJNA390471,training set,Pre-XDR,R,S,R,S
SRR5709897,PRJNA390471,SAMN07236308,1773,Mycobacterium tuberculosis,NA,61,WMB286,167.67,East-Asian,Lineage 2.1,(RD105),PRJNA390471,training set,Pre-XDR,R,R,R,R
SRR5709898,PRJNA390471,SAMN07236309,1773,Mycobacterium tuberculosis,NA,62,WMB287,115.14,East-Asian,Lineage 2.1,(RD105),PRJNA390471,training set,Pre-XDR,R,S,R,R
SRR5709899,PRJNA390471,SAMN07236526,1773,Mycobacterium tuberculosis,NA,183,WBB271,62.11,East-Asian,Lineage 2.1,(RD105),PRJNA390471,training set,XDR,R,S,R,R
SRR5709900,PRJNA390471,SAMN07236527,1773,Mycobacterium tuberculosis,NA,184,WBB272,59.67,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,XDR,R,S,R,S
SRR5709901,PRJNA390471,SAMN07236339,1773,Mycobacterium tuberculosis,NA,89,WMB317,145.79,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pan-S,S,S,S,S
SRR5709902,PRJNA390471,SAMN07236517,1773,Mycobacterium tuberculosis,NA,174,WBB261,55.81,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,XDR,R,S,R,R
SRR5709903,PRJNA390471,SAMN07236303,1773,Mycobacterium tuberculosis,NA,56,WMB281,171.27,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pre-XDR,R,R,R,R
SRR5709904,PRJNA390471,SAMN07236410,1773,Mycobacterium tuberculosis,NA,157,WMB392,45.64,Euro-American,"Lineage 4.2, 4.4, 4.7, H37Rv like and others",(pks15/1:7D),PRJNA390471,training set,Pan-S,S,S,S,S
SRR5709905,PRJNA390471,SAMN07236411,1773,Mycobacterium tuberculosis,NA,158,WMB393,47.49,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pan-S,S,S,S,S
SRR5709906,PRJNA390471,SAMN07236408,1773,Mycobacterium tuberculosis,NA,155,WMB390,183.09,East-Asian,Lineage 2.2.2,"(RD105,207)",PRJNA390471,training set,Pan-S,S,S,S,S
SRR5709907,PRJNA390471,SAMN07236409,1773,Mycobacterium tuberculosis,NA,156,WMB391,190.53,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pan-S,S,S,S,S
SRR5709908,PRJNA390471,SAMN07236414,1773,Mycobacterium tuberculosis,NA,161,WMB396,46.57,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pan-S,S,S,S,S
SRR5709909,PRJNA390471,SAMN07236415,1773,Mycobacterium tuberculosis,NA,162,WMB397,48.59,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pan-S,S,S,S,S
SRR5709910,PRJNA390471,SAMN07236412,1773,Mycobacterium tuberculosis,NA,159,WMB394,196.49,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pan-S,S,S,S,S
SRR5709911,PRJNA390471,SAMN07236413,1773,Mycobacterium tuberculosis,NA,160,WMB395,189.82,East-Asian,Lineage 2.2.1.1,"(RD105,207,181,150)",PRJNA390471,training set,Pan-S,S,S,S,S
SRR5709912,PRJNA390471,SAMN07236255,1773,Mycobacterium tuberculosis,NA,8,WMB229,81.53,East-Asian,Lineage 2.2.1,"(RD105,207,181)",PRJNA390471,training set,Pre-XDR,R,S,S,S
SRR5709913,PRJNA390471,SAMN07236254,1773,Mycobacterium tuberculosis,NA,7,WMB228,87.38,Indo-Oceanic,Lineage 1,(RD239),PRJNA390471,training set,Pre-XDR,R,S,R,S
SRR5709915,PRJNA390471,SAMN07236417,1773,Mycobacterium tuberculosis,NA,163,WMB399,203.48,Euro-American,"Lineage 4.2, 4.4, 4.7, H37Rv like and others",(pks15/1:7D),PRJNA390471,training set,Pan-S,S,S,S,S
SRR5709916,PRJNA390471,SAMN07236251,1773,Mycobacterium tuberculosis,NA,4,WMB225,59.54,Indo-Oceanic,Lineage 1,(RD239),PRJNA390471,training set,Pre-XDR,R,S,R,S
SRR5709917,PRJNA390471,SAMN07236250,1773,Mycobacterium tuberculosis,NA,3,WMB224,58.33,Indo-Oceanic,Lineage 1,"(RD239,RD12bov, 12can)",PRJNA390471,training set,Pre-XDR,R,S,R,S
