Assembly,Level,run_accession,sample_accession,sample,Taxonomy,CC,mecA Type,Penicillin MIC ug/ml + 15ug/ml Clavulanic acid,Penicillin MIC ug/ml,Amoxicillin MIC ug/ml + 15ug/ml Clavulanic acid,Amoxicillin MIC ug/ml,Number,Isolate,ENA accession,Penicillin/clavulanic acid susceptibility based on ECOFF of ≤2.0 µg/ml.,fastq_ftp,year
GCA_019103605.1,Contig,JAHRUG000000000,SAMN19372474,SRSAAA140020,Staphylococcus aureus,others,S2,2,8,4,8,NA,NA,NA,NA,NA,NA
GCA_019103585.1,Contig,JAHRUE000000000,SAMN19372476,SRSAAA140022,Staphylococcus aureus,59,S2,32,32,64,64,NA,NA,NA,NA,NA,NA
GCA_019103565.1,Contig,JAHRUF000000000,SAMN19372475,SRSAAA140021,Staphylococcus aureus,1,R1,2,8,4,8,NA,NA,NA,NA,NA,NA
GCA_019103545.1,Contig,JAHRUD000000000,SAMN19372477,SRSAAA140023,Staphylococcus aureus,59,S6,0.125,8,0.5,16,NA,NA,NA,NA,NA,NA
GCA_019103525.1,Contig,JAHRUC000000000,SAMN19372478,SRSAAA140024,Staphylococcus aureus,5,R3,16,4,32,8,NA,NA,NA,NA,NA,NA
GCA_019103505.1,Contig,JAHRUB000000000,SAMN19372479,SRSAAA140025,Staphylococcus aureus,59,S2,0.125,2,1,2,NA,NA,NA,NA,NA,NA
GCA_019103475.1,Contig,JAHRUA000000000,SAMN19372480,SRSAAA140026,Staphylococcus aureus,8,S3,0.5,32,2,32,NA,NA,NA,NA,NA,NA
GCA_019103465.1,Contig,JAHRTZ000000000,SAMN19372481,SRSAAA140027,Staphylococcus aureus,59,S2,0.125,2,0.5,2,NA,NA,NA,NA,NA,NA
GCA_019103445.1,Contig,JAHRTY000000000,SAMN19372482,SRSAAA140028,Staphylococcus aureus,5,R4,32,16,32,16,NA,NA,NA,NA,NA,NA
GCA_019103425.1,Contig,JAHRTX000000000,SAMN19372483,SRSAAA140029,Staphylococcus aureus,5,R4,0.125,1,0.5,1,NA,NA,NA,NA,NA,NA
GCA_019103405.1,Contig,JAHRTW000000000,SAMN19372484,SRSAAA140030,Staphylococcus aureus,5,R3,32,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019103365.1,Contig,JAHRTU000000000,SAMN19372486,SRSAAA140032,Staphylococcus aureus,239,R2,32,64,32,64,NA,NA,NA,NA,NA,NA
GCA_019103335.1,Contig,JAHRTT000000000,SAMN19372487,SRSAAA140033,Staphylococcus aureus,59,S2,0.25,4,2,4,NA,NA,NA,NA,NA,NA
GCA_019103325.1,Contig,JAHRTR000000000,SAMN19372489,SRSAAA140035,Staphylococcus aureus,5,R4,16,32,16,32,NA,NA,NA,NA,NA,NA
GCA_019103305.1,Contig,JAHRTS000000000,SAMN19372488,SRSAAA140034,Staphylococcus aureus,5,R4,32,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019103285.1,Contig,JAHRTQ000000000,SAMN19372490,SRSAAA140036,Staphylococcus aureus,59,S2,0.25,2,1,2,NA,NA,NA,NA,NA,NA
GCA_019103265.1,Contig,JAHRTP000000000,SAMN19372491,SRSAAA140037,Staphylococcus aureus,88,S3,0.125,2,0.25,2,NA,NA,NA,NA,NA,NA
GCA_019103245.1,Contig,JAHRTN000000000,SAMN19372493,SRSAAA140039,Staphylococcus aureus,5,S2,0.25,2,1,2,NA,NA,NA,NA,NA,NA
GCA_019103185.1,Contig,JAHRTL000000000,SAMN19372495,SRSAAA140041,Staphylococcus aureus,5,R4,32,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019103195.1,Contig,JAHRTO000000000,SAMN19372492,SRSAAA140038,Staphylococcus aureus,5,R4,32,32,64,32,NA,NA,NA,NA,NA,NA
GCA_019103205.1,Contig,JAHRTM000000000,SAMN19372494,SRSAAA140040,Staphylococcus aureus,59,S7,<0.03125,1,0.5,1,NA,NA,NA,NA,NA,NA
GCA_019103165.1,Contig,JAHRTK000000000,SAMN19372496,SRSAAA140042,Staphylococcus aureus,1,S2,2,8,4,8,NA,NA,NA,NA,NA,NA
GCA_019103145.1,Contig,JAHRTJ000000000,SAMN19372497,SRSAAA140043,Staphylococcus aureus,5,R4,32,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019103105.1,Contig,JAHRTI000000000,SAMN19372498,SRSAAA140044,Staphylococcus aureus,239,R7,16,32,16,32,NA,NA,NA,NA,NA,NA
GCA_019103115.1,Contig,JAHRTG000000000,SAMN19372500,SRSAAA140046,Staphylococcus aureus,5,R4,32,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019103085.1,Contig,JAHRTH000000000,SAMN19372499,SRSAAA140045,Staphylococcus aureus,5,R4,32,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019103065.1,Contig,JAHRTF000000000,SAMN19372501,SRSAAA140047,Staphylococcus aureus,59,S2,0.25,4,1,4,NA,NA,NA,NA,NA,NA
GCA_019103045.1,Contig,JAHRTE000000000,SAMN19372502,SRSAAA140048,Staphylococcus aureus,5,R3,16,16,32,16,NA,NA,NA,NA,NA,NA
GCA_019103025.1,Scaffold,JAHRTD000000000,SAMN19372503,SRSAAA140049,Staphylococcus aureus,88,S2,2,4,2,4,NA,NA,NA,NA,NA,NA
GCA_019103005.1,Contig,JAHRTC000000000,SAMN19372504,SRSAAA140050,Staphylococcus aureus,5,R4,32,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019102985.1,Contig,JAHRSY000000000,SAMN19372508,SRSAAA140054,Staphylococcus aureus,8,S7,<0.03125,2,0.5,2,NA,NA,NA,NA,NA,NA
GCA_019102965.1,Contig,JAHRTB000000000,SAMN19372505,SRSAAA140051,Staphylococcus aureus,5,R4,32,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019102945.1,Scaffold,JAHRTA000000000,SAMN19372506,SRSAAA140052,Staphylococcus aureus,5,R3,32,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019102905.1,Contig,JAHRSW000000000,SAMN19372510,SRSAAA140056,Staphylococcus aureus,5,R3,16,16,32,16,NA,NA,NA,NA,NA,NA
GCA_019102915.1,Contig,JAHRSZ000000000,SAMN19372507,SRSAAA140053,Staphylococcus aureus,5,R4,32,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019102885.1,Scaffold,JAHRSX000000000,SAMN19372509,SRSAAA140055,Staphylococcus aureus,5,R4,32,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019102865.1,Contig,JAHRSV000000000,SAMN19372511,SRSAAA140057,Staphylococcus aureus,59,S2,0.125,1,0.25,1,NA,NA,NA,NA,NA,NA
GCA_019102805.1,Contig,JAHRSU000000000,SAMN19372512,SRSAAA140058,Staphylococcus aureus,others,S1,0.0625,2,0.5,2,NA,NA,NA,NA,NA,NA
GCA_019102815.1,Contig,JAHRST000000000,SAMN19372513,SRSAAA140059,Staphylococcus aureus,88,S3,0.25,4,1,4,NA,NA,NA,NA,NA,NA
GCA_019102795.1,Contig,JAHRSO000000000,SAMN19372518,SRSAAA140064,Staphylococcus aureus,5,R3,16,16,32,16,NA,NA,NA,NA,NA,NA
GCA_019102785.1,Contig,JAHRSS000000000,SAMN19372514,SRSAAA140060,Staphylococcus aureus,59,S2,0.25,4,2,4,NA,NA,NA,NA,NA,NA
GCA_019102765.1,Contig,JAHRSR000000000,SAMN19372515,SRSAAA140061,Staphylococcus aureus,5,R3,32,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019102745.1,Contig,JAHRSP000000000,SAMN19372517,SRSAAA140063,Staphylococcus aureus,5,R4,16,16,16,16,NA,NA,NA,NA,NA,NA
GCA_019102725.1,Contig,JAHRSQ000000000,SAMN19372516,SRSAAA140062,Staphylococcus aureus,5,R3,16,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019102705.1,Contig,JAHRSN000000000,SAMN19372519,SRSAAA140065,Staphylococcus aureus,5,R4,32,32,64,32,NA,NA,NA,NA,NA,NA
GCA_019102675.1,Scaffold,JAHRSK000000000,SAMN19372522,SRSAAA140068,Staphylococcus aureus,59,S2,8,2,16,8,NA,NA,NA,NA,NA,NA
GCA_019102665.1,Contig,JAHRSM000000000,SAMN19372520,SRSAAA140066,Staphylococcus aureus,59,S2,0.25,2,2,4,NA,NA,NA,NA,NA,NA
GCA_019102625.1,Contig,JAHRSJ000000000,SAMN19372523,SRSAAA140069,Staphylococcus aureus,5,R4,32,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019102605.1,Contig,JAHRSI000000000,SAMN19372524,SRSAAA140070,Staphylococcus aureus,5,R12,16,16,16,16,NA,NA,NA,NA,NA,NA
GCA_019102585.1,Contig,JAHRSG000000000,SAMN19372526,SRSAAA140072,Staphylococcus aureus,59,S7,0.0625,1,0.25,2,NA,NA,NA,NA,NA,NA
GCA_019102565.1,Contig,JAHRSL000000000,SAMN19372521,SRSAAA140067,Staphylococcus aureus,5,R3,16,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019102545.1,Contig,JAHRSF000000000,SAMN19372527,SRSAAA140073,Staphylococcus aureus,5,R9,8,8,8,8,NA,NA,NA,NA,NA,NA
GCA_019102525.1,Contig,JAHRSD000000000,SAMN19372529,SRSAAA140075,Staphylococcus aureus,8,S7,0.125,4,0.5,4,NA,NA,NA,NA,NA,NA
GCA_019102505.1,Contig,JAHRSC000000000,SAMN19372530,SRSAAA140076,Staphylococcus aureus,239,R14,32,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019102475.1,Scaffold,JAHRSB000000000,SAMN19372531,SRSAAA140077,Staphylococcus aureus,5,S2,16,32,16,32,NA,NA,NA,NA,NA,NA
GCA_019102465.1,Contig,JAHRSE000000000,SAMN19372528,SRSAAA140074,Staphylococcus aureus,5,R4,16,16,32,16,NA,NA,NA,NA,NA,NA
GCA_019102445.1,Contig,JAHRSA000000000,SAMN19372532,SRSAAA140078,Staphylococcus aureus,5,R3,32,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019102425.1,Contig,JAHRRX000000000,SAMN19372535,SRSAAA140081,Staphylococcus aureus,59,S2,0.25,2,2,4,NA,NA,NA,NA,NA,NA
GCA_019102405.1,Contig,JAHRRZ000000000,SAMN19372533,SRSAAA140079,Staphylococcus aureus,5,R3,32,32,64,32,NA,NA,NA,NA,NA,NA
GCA_019102385.1,Contig,JAHRRY000000000,SAMN19372534,SRSAAA140080,Staphylococcus aureus,others,S5,0.125,1,0.5,2,NA,NA,NA,NA,NA,NA
GCA_019102355.1,Scaffold,JAHRRW000000000,SAMN19372536,SRSAAA150001,Staphylococcus aureus,59,S2,0.125,2,1,4,NA,NA,NA,NA,NA,NA
GCA_019102345.1,Scaffold,JAHRRV000000000,SAMN19372537,SRSAAA150002,Staphylococcus aureus,59,S6,0.25,8,2,8,NA,NA,NA,NA,NA,NA
GCA_019102315.1,Contig,JAHRRT000000000,SAMN19372539,SRSAAA150004,Staphylococcus aureus,59,S2,1,4,2,8,NA,NA,NA,NA,NA,NA
GCA_019102295.1,Contig,JAHRRS000000000,SAMN19372540,SRSAAA150005,Staphylococcus aureus,59,S2,0.25,8,1,8,NA,NA,NA,NA,NA,NA
GCA_019102285.1,Contig,JAHRRU000000000,SAMN19372538,SRSAAA150003,Staphylococcus aureus,5,R10,32,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019102265.1,Contig,JAHRRQ000000000,SAMN19372542,SRSAAA150007,Staphylococcus aureus,others,R3,32,32,16,32,NA,NA,NA,NA,NA,NA
GCA_019102245.1,Contig,JAHRRR000000000,SAMN19372541,SRSAAA150006,Staphylococcus aureus,5,R8,16,32,16,32,NA,NA,NA,NA,NA,NA
GCA_019102225.1,Scaffold,JAHRRP000000000,SAMN19372543,SRSAAA150008,Staphylococcus aureus,5,R3,16,16,32,16,NA,NA,NA,NA,NA,NA
GCA_019102205.1,Contig,JAHRRO000000000,SAMN19372544,SRSAAA150009,Staphylococcus aureus,5,R4,32,32,64,64,NA,NA,NA,NA,NA,NA
GCA_019102185.1,Scaffold,JAHRRN000000000,SAMN19372545,SRSAAA150010,Staphylococcus aureus,5,R3,32,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019102165.1,Contig,JAHRRM000000000,SAMN19372546,SRSAAA150011,Staphylococcus aureus,5,R3,32,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019102145.1,Contig,JAHRRL000000000,SAMN19372547,SRSAAA150012,Staphylococcus aureus,others,S2,0.25,4,2,4,NA,NA,NA,NA,NA,NA
GCA_019102115.1,Scaffold,JAHRRJ000000000,SAMN19372549,SRSAAA150014,Staphylococcus aureus,1,R1,2,8,4,8,NA,NA,NA,NA,NA,NA
GCA_019102105.1,Contig,JAHRRK000000000,SAMN19372548,SRSAAA150013,Staphylococcus aureus,5,R8,16,32,16,32,NA,NA,NA,NA,NA,NA
GCA_019102085.1,Contig,JAHRRI000000000,SAMN19372550,SRSAAA150015,Staphylococcus aureus,59,S1,0.125,2,0.5,4,NA,NA,NA,NA,NA,NA
GCA_019102065.1,Contig,JAHRRH000000000,SAMN19372551,SRSAAA150016,Staphylococcus aureus,59,S7,0.125,1,0.5,2,NA,NA,NA,NA,NA,NA
GCA_019102045.1,Contig,JAHRRG000000000,SAMN19372552,SRSAAA150017,Staphylococcus aureus,59,S2,0.25,4,1,4,NA,NA,NA,NA,NA,NA
GCA_019102025.1,Contig,JAHRRE000000000,SAMN19372554,SRSAAA150019,Staphylococcus aureus,59,S2,0.25,4,1,4,NA,NA,NA,NA,NA,NA
GCA_019102005.1,Contig,JAHRRF000000000,SAMN19372553,SRSAAA150018,Staphylococcus aureus,59,S7,0.125,1,0.5,2,NA,NA,NA,NA,NA,NA
GCA_019101985.1,Contig,JAHRRC000000000,SAMN19372556,SRSAAA150021,Staphylococcus aureus,59,S2,4,16,8,16,NA,NA,NA,NA,NA,NA
GCA_019101945.1,Contig,JAHRRB000000000,SAMN19372557,SRSAAA150022,Staphylococcus aureus,59,S7,0.125,1,0.5,2,NA,NA,NA,NA,NA,NA
GCA_019101955.1,Contig,JAHRRD000000000,SAMN19372555,SRSAAA150020,Staphylococcus aureus,59,S2,0.5,2,1,4,NA,NA,NA,NA,NA,NA
GCA_019101915.1,Contig,JAHRQZ000000000,SAMN19372559,SRSAAA150024,Staphylococcus aureus,others,S2,2,8,4,8,NA,NA,NA,NA,NA,NA
GCA_019101905.1,Contig,JAHRRA000000000,SAMN19372558,SRSAAA150023,Staphylococcus aureus,others,S2,0.125,4,2,8,NA,NA,NA,NA,NA,NA
GCA_019101885.1,Contig,JAHRQY000000000,SAMN19372560,SRSAAA150025,Staphylococcus aureus,8,S7,<0.03125,2,0.5,2,NA,NA,NA,NA,NA,NA
GCA_019101865.1,Contig,JAHRQW000000000,SAMN19372562,SRSAAA130001,Staphylococcus aureus,5,S1,0.5,4,1,4,NA,NA,NA,NA,NA,NA
GCA_019101845.1,Contig,JAHRQX000000000,SAMN19372561,SRSAAA150026,Staphylococcus aureus,5,R3,16,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019101825.1,Contig,JAHRQV000000000,SAMN19372563,SRSAAA130002,Staphylococcus aureus,5,R5,16,16,16,8,NA,NA,NA,NA,NA,NA
GCA_019101805.1,Contig,JAHRQU000000000,SAMN19372564,SRSAAA130003,Staphylococcus aureus,239,R2,32,64,32,64,NA,NA,NA,NA,NA,NA
GCA_019101775.1,Scaffold,JAHRQT000000000,SAMN19372565,SRSAAA130004,Staphylococcus aureus,5,R4,32,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019101755.1,Contig,JAHRQS000000000,SAMN19372566,SRSAAA130005,Staphylococcus aureus,5,R3,32,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019101745.1,Contig,JAHRQR000000000,SAMN19372567,SRSAAA130006,Staphylococcus aureus,5,R4,32,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019101725.1,Contig,JAHRQQ000000000,SAMN19372568,SRSAAA130007,Staphylococcus aureus,5,R3,32,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019101705.1,Contig,JAHRQP000000000,SAMN19372569,SRSAAA130008,Staphylococcus aureus,5,R3,16,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019101685.1,Contig,JAHRQO000000000,SAMN19372570,SRSAAA130009,Staphylococcus aureus,5,R4,32,32,64,32,NA,NA,NA,NA,NA,NA
GCA_019101635.1,Contig,JAHRQN000000000,SAMN19372571,SRSAAA130010,Staphylococcus aureus,5,R4,16,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019101595.1,Scaffold,JAHRQJ000000000,SAMN19372575,SRSAAA130014,Staphylococcus aureus,59,S2,0.5,2,1,4,NA,NA,NA,NA,NA,NA
GCA_019101625.1,Contig,JAHRQL000000000,SAMN19372573,SRSAAA130012,Staphylococcus aureus,5,R3,16,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019101585.1,Contig,JAHRQK000000000,SAMN19372574,SRSAAA130013,Staphylococcus aureus,5,R4,32,32,64,32,NA,NA,NA,NA,NA,NA
GCA_019101565.1,Contig,JAHRQH000000000,SAMN19372577,SRSAAA130016,Staphylococcus aureus,239,R7,32,64,32,64,NA,NA,NA,NA,NA,NA
GCA_019101545.1,Contig,JAHRQI000000000,SAMN19372576,SRSAAA130015,Staphylococcus aureus,5,R3,32,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019101525.1,Contig,JAHRQG000000000,SAMN19372578,SRSAAA130017,Staphylococcus aureus,5,R5,32,32,32,64,NA,NA,NA,NA,NA,NA
GCA_019101475.1,Contig,JAHRQE000000000,SAMN19372580,SRSAAA130019,Staphylococcus aureus,5,R3,32,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019101485.1,Contig,JAHRQC000000000,SAMN19372582,SRSAAA130021,Staphylococcus aureus,5,R3,32,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019101465.1,Contig,JAHRQF000000000,SAMN19372579,SRSAAA130018,Staphylococcus aureus,5,R4,32,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019101445.1,Contig,JAHRQD000000000,SAMN19372581,SRSAAA130020,Staphylococcus aureus,5,R3,32,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019101425.1,Contig,JAHRQB000000000,SAMN19372583,SRSAAA130022,Staphylococcus aureus,5,R4,32,32,32,64,NA,NA,NA,NA,NA,NA
GCA_019101405.1,Contig,JAHRQA000000000,SAMN19372584,SRSAAA130023,Staphylococcus aureus,5,R3,32,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019101365.1,Contig,JAHRPY000000000,SAMN19372586,SRSAAA130025,Staphylococcus aureus,5,R3,32,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019101345.1,Contig,JAHRPZ000000000,SAMN19372585,SRSAAA130024,Staphylococcus aureus,5,R3,16,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019101355.1,Contig,JAHRPX000000000,SAMN19372587,SRSAAA130026,Staphylococcus aureus,5,R3,16,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019101325.1,Contig,JAHRPT000000000,SAMN19372591,SRSAAA130030,Staphylococcus aureus,5,R3,16,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019101305.1,Contig,JAHRPV000000000,SAMN19372589,SRSAAA130028,Staphylococcus aureus,5,R3,32,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019101275.1,Contig,JAHRPU000000000,SAMN19372590,SRSAAA130029,Staphylococcus aureus,5,R3,32,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019101265.1,Contig,JAHRPW000000000,SAMN19372588,SRSAAA130027,Staphylococcus aureus,5,R5,16,32,16,32,NA,NA,NA,NA,NA,NA
GCA_019101245.1,Contig,JAHRPS000000000,SAMN19372592,SRSAAA130031,Staphylococcus aureus,59,S2,8,32,16,32,NA,NA,NA,NA,NA,NA
GCA_019101225.1,Contig,JAHRPR000000000,SAMN19372593,SRSAAA130032,Staphylococcus aureus,5,R3,16,16,16,16,NA,NA,NA,NA,NA,NA
GCA_019101195.1,Contig,JAHRPO000000000,SAMN19372596,SRSAAA130035,Staphylococcus aureus,5,R3,16,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019101185.1,Contig,JAHRPP000000000,SAMN19372595,SRSAAA130034,Staphylococcus aureus,5,R3,16,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019101165.1,Contig,JAHRPQ000000000,SAMN19372594,SRSAAA130033,Staphylococcus aureus,5,R3,32,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019101145.1,Scaffold,JAHRPN000000000,SAMN19372597,SRSAAA130036,Staphylococcus aureus,59,S2,0.5,2,1,4,NA,NA,NA,NA,NA,NA
GCA_019101125.1,Contig,JAHRPL000000000,SAMN19372599,SRSAAA130038,Staphylococcus aureus,239,R2,32,64,32,64,NA,NA,NA,NA,NA,NA
GCA_019101095.1,Contig,JAHRPK000000000,SAMN19372600,SRSAAA130039,Staphylococcus aureus,88,S2,2,8,4,8,NA,NA,NA,NA,NA,NA
GCA_019101085.1,Contig,JAHRPM000000000,SAMN19372598,SRSAAA130037,Staphylococcus aureus,239,R7,32,64,32,64,NA,NA,NA,NA,NA,NA
GCA_019101065.1,Contig,JAHRPJ000000000,SAMN19372601,SRSAAA130040,Staphylococcus aureus,5,R3,32,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019101035.1,Scaffold,JAHRPI000000000,SAMN19372602,SRSAAA130041,Staphylococcus aureus,5,R3,16,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019101025.1,Contig,JAHRPH000000000,SAMN19372603,SRSAAA130042,Staphylococcus aureus,5,R5,16,8,16,16,NA,NA,NA,NA,NA,NA
GCA_019100985.1,Contig,JAHRPE000000000,SAMN19372606,SRSAAA130045,Staphylococcus aureus,5,R3,32,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019100995.1,Scaffold,JAHRPG000000000,SAMN19372604,SRSAAA130043,Staphylococcus aureus,8,S7,0.125,1,0.5,2,NA,NA,NA,NA,NA,NA
GCA_019100965.1,Contig,JAHRPF000000000,SAMN19372605,SRSAAA130044,Staphylococcus aureus,5,R3,32,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019100945.1,Contig,JAHRPD000000000,SAMN19372607,SRSAAA130046,Staphylococcus aureus,5,R4,16,32,16,32,NA,NA,NA,NA,NA,NA
GCA_019100925.1,Contig,JAHRPC000000000,SAMN19372608,SRSAAA130047,Staphylococcus aureus,59,S2,0.25,2,2,8,NA,NA,NA,NA,NA,NA
GCA_019100895.1,Scaffold,JAHRPB000000000,SAMN19372609,SRSAAA130048,Staphylococcus aureus,5,R4,32,32,32,64,NA,NA,NA,NA,NA,NA
GCA_019100885.1,Scaffold,JAHROW000000000,SAMN19372614,SRSAAA130053,Staphylococcus aureus,5,R3,32,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019100865.1,Contig,JAHRPA000000000,SAMN19372610,SRSAAA130049,Staphylococcus aureus,5,R3,32,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019100845.1,Scaffold,JAHROZ000000000,SAMN19372611,SRSAAA130050,Staphylococcus aureus,others,S2,2,8,4,8,NA,NA,NA,NA,NA,NA
GCA_019100825.1,Contig,JAHROY000000000,SAMN19372612,SRSAAA130051,Staphylococcus aureus,5,R4,32,32,32,64,NA,NA,NA,NA,NA,NA
GCA_019100805.1,Contig,JAHROV000000000,SAMN19372615,SRSAAA130054,Staphylococcus aureus,59,S2,0.125,4,2,4,NA,NA,NA,NA,NA,NA
GCA_019100785.1,Contig,JAHROX000000000,SAMN19372613,SRSAAA130052,Staphylococcus aureus,5,R3,32,32,32,64,NA,NA,NA,NA,NA,NA
GCA_019100765.1,Contig,JAHROU000000000,SAMN19372616,SRSAAA130055,Staphylococcus aureus,59,S2,0.25,4,1,8,NA,NA,NA,NA,NA,NA
GCA_019100725.1,Contig,JAHROT000000000,SAMN19372617,SRSAAA130056,Staphylococcus aureus,others,S2,2,8,4,8,NA,NA,NA,NA,NA,NA
GCA_019100715.1,Scaffold,JAHROQ000000000,SAMN19372620,SRSAAA130059,Staphylococcus aureus,59,R1,1,8,2,16,NA,NA,NA,NA,NA,NA
GCA_019100705.1,Contig,JAHROS000000000,SAMN19372618,SRSAAA130057,Staphylococcus aureus,5,R3,16,32,32,32,NA,NA,NA,NA,NA,NA
GCA_019100685.1,Contig,JAHROR000000000,SAMN19372619,SRSAAA130058,Staphylococcus aureus,59,S2,0.125,4,1,16,NA,NA,NA,NA,NA,NA
