PATRIC ID,Run Accession,Genome Name,Publication (pubmed ID),amikacin,capreomycin,ethambutol,ethionamide,isoniazid,kanamycin,moxifloxacin,ofloxacin,pyrazinamide,rifampin,streptomycin
1773.2446,ERR552659,Mycobacterium tuberculosis 10108-11,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2447,ERR551858,Mycobacterium tuberculosis 1014-10,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2448,ERR498374,Mycobacterium tuberculosis 10118-05,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2449,ERR552676,Mycobacterium tuberculosis 1016-12,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.245,ERR550975,Mycobacterium tuberculosis 10155-09,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2451,ERR551751,Mycobacterium tuberculosis 10162-04,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2452,ERR552249,Mycobacterium tuberculosis 10168-06,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2453,ERR552232,Mycobacterium tuberculosis 10212-12,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2454,ERR552845,Mycobacterium tuberculosis 10213-12,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2455,ERR552813,Mycobacterium tuberculosis 10214-09,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2456,ERR553054,Mycobacterium tuberculosis 10214-12,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2457,ERR551932,Mycobacterium tuberculosis 10229-10,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2458,ERR553379,Mycobacterium tuberculosis 10238-08,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2459,ERR553296,Mycobacterium tuberculosis 10239-08,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.246,ERR550955,Mycobacterium tuberculosis 10243-09,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2461,ERR551839,Mycobacterium tuberculosis 10245-11,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2462,ERR551652,Mycobacterium tuberculosis 10311-11,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2463,ERR552019,Mycobacterium tuberculosis 10324-06,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2464,ERR552984,Mycobacterium tuberculosis 10256-10,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2465,ERR551507,Mycobacterium tuberculosis 10325-06,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2466,ERR553140,Mycobacterium tuberculosis 10353-09,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2467,ERR552371,Mycobacterium tuberculosis 1036-06,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2468,ERR551276,Mycobacterium tuberculosis 10362-05,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2469,ERR551313,Mycobacterium tuberculosis 10363-05,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.247,ERR551836,Mycobacterium tuberculosis 10396-11,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2471,ERR551508,Mycobacterium tuberculosis 10410-05,"2,668,688,026,116,180",,,S,,S,,,,S,S,R
1773.2472,ERR551803,Mycobacterium tuberculosis 1042-05,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2473,ERR550653,Mycobacterium tuberculosis 1043-05,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2474,ERR551257,Mycobacterium tuberculosis 1043-09,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2475,ERR552941,Mycobacterium tuberculosis 10433-12,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2476,ERR552502,Mycobacterium tuberculosis 10461-10,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2477,ERR553196,Mycobacterium tuberculosis 10468-07,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2478,ERR552220,Mycobacterium tuberculosis 1047-07,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2479,ERR552736,Mycobacterium tuberculosis 10471-07,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.248,ERR553076,Mycobacterium tuberculosis 10480-10,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2481,ERR550698,Mycobacterium tuberculosis 10481-10,"2,668,688,026,116,180",,,S,,R,,,,S,S,R
1773.2482,ERR552240,Mycobacterium tuberculosis 1049-02,"2,668,688,026,116,180",,,R,,R,,,,R,R,R
1773.2483,ERR551178,Mycobacterium tuberculosis 10498-05,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2484,ERR551716,Mycobacterium tuberculosis 1050-08,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2485,ERR551698,Mycobacterium tuberculosis 10527-05,"2,668,688,026,116,180",R,R,R,,R,,,,R,R,R
1773.2486,ERR550886,Mycobacterium tuberculosis 10529-05,"2,668,688,026,116,180",R,,R,,R,,,,S,R,R
1773.2487,ERR552906,Mycobacterium tuberculosis 10530-05,"2,668,688,026,116,180",S,S,R,,R,,,,R,R,R
1773.2488,ERR551138,Mycobacterium tuberculosis 10531-05,"2,668,688,026,116,180",S,S,R,,R,,,,R,R,R
1773.2489,ERR552051,Mycobacterium tuberculosis 10531-09,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.249,ERR553217,Mycobacterium tuberculosis 10533-05,"2,668,688,026,116,180",R,R,R,,R,,,,R,R,R
1773.2491,ERR550923,Mycobacterium tuberculosis 10532-05,"2,668,688,026,116,180",S,S,R,,R,,,,R,R,R
1773.2492,ERR552200,Mycobacterium tuberculosis 10536-05,"2,668,688,026,116,180",S,S,S,,R,,,,R,R,R
1773.2493,ERR551489,Mycobacterium tuberculosis 10539-12,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2494,ERR552377,Mycobacterium tuberculosis 10539-05,"2,668,688,026,116,180",R,R,R,,R,,,,S,R,R
1773.2495,ERR552104,Mycobacterium tuberculosis 10540-05,"2,668,688,026,116,180",S,S,R,,R,,,,R,R,R
1773.2496,ERR551095,Mycobacterium tuberculosis 10546-12,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2497,ERR552886,Mycobacterium tuberculosis 10549-06,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2498,ERR552898,Mycobacterium tuberculosis 10562-08,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2499,ERR552364,Mycobacterium tuberculosis 10564-01,"2,668,688,026,116,180",,,S,,R,,,,S,R,R
1773.25,ERR551846,Mycobacterium tuberculosis 10567-10,"2,668,688,026,116,180",,,S,,S,,,,S,S,R
1773.2501,ERR552050,Mycobacterium tuberculosis 10574-08,"2,668,688,026,116,180",,,S,,S,,,,R,S,S
1773.2502,ERR551269,Mycobacterium tuberculosis 10574-09,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2503,ERR552320,Mycobacterium tuberculosis 10583-07,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2504,ERR551538,Mycobacterium tuberculosis 10584-09,"2,668,688,026,116,180",,,S,,S,,,,S,S,R
1773.2505,ERR552846,Mycobacterium tuberculosis 10596-05,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2506,ERR551469,Mycobacterium tuberculosis 1062-02,"2,668,688,026,116,180",,,R,,R,,,,S,R,R
1773.2507,ERR553138,Mycobacterium tuberculosis 10622-09,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2508,ERR552317,Mycobacterium tuberculosis 10641-08,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2509,ERR551900,Mycobacterium tuberculosis 10672-10,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.251,ERR551462,Mycobacterium tuberculosis 10701-08,"2,668,688,026,116,180",,,S,,R,,,,S,S,R
1773.2511,ERR553056,Mycobacterium tuberculosis 10714-06,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2512,ERR551294,Mycobacterium tuberculosis 10718-09,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2513,ERR553195,Mycobacterium tuberculosis 10730-04,"2,668,688,026,116,180",S,S,R,,R,,,,R,R,R
1773.2514,ERR553153,Mycobacterium tuberculosis 10732-04,"2,668,688,026,116,180",S,S,R,,R,,,,S,R,R
1773.2515,ERR553139,Mycobacterium tuberculosis 10734-04,"2,668,688,026,116,180",S,S,S,,R,,,,S,R,R
1773.2516,ERR550650,Mycobacterium tuberculosis 10734-09,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2517,ERR551637,Mycobacterium tuberculosis 10735-04,"2,668,688,026,116,180",S,S,R,,R,,,,S,R,R
1773.2518,ERR552586,Mycobacterium tuberculosis 10736-04,"2,668,688,026,116,180",S,S,R,,R,,,,R,R,R
1773.2519,ERR552983,Mycobacterium tuberculosis 10738-04,"2,668,688,026,116,180",R,R,R,,R,,,,R,R,R
1773.252,ERR552090,Mycobacterium tuberculosis 10836-09,"2,668,688,026,116,180",,,S,,R,,,,S,R,R
1773.2521,ERR551266,Mycobacterium tuberculosis 10849-11,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2522,ERR550997,Mycobacterium tuberculosis 10864-08,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2523,ERR552591,Mycobacterium tuberculosis 10874-11,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2524,ERR550876,Mycobacterium tuberculosis 10932-10,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2525,ERR551479,Mycobacterium tuberculosis 10974-11,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2526,ERR552030,Mycobacterium tuberculosis 1103-06,"2,668,688,026,116,180",,,S,,R,,,,S,S,S
1773.2527,ERR551302,Mycobacterium tuberculosis 11048-07,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2528,ERR551856,Mycobacterium tuberculosis 11056-12,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2529,ERR551917,Mycobacterium tuberculosis 1110-07,"2,668,688,026,116,180",,,S,,S,,,,R,S,S
1773.253,ERR550689,Mycobacterium tuberculosis 11135-07,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2531,ERR550878,Mycobacterium tuberculosis 11156-07,"2,668,688,026,116,180",,,S,,S,,,,S,S,R
1773.2532,ERR550820,Mycobacterium tuberculosis 11198-11,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2533,ERR553245,Mycobacterium tuberculosis 11219-12,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2534,ERR552608,Mycobacterium tuberculosis 11233-10,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2535,ERR553109,Mycobacterium tuberculosis 11244-08,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2536,ERR550877,Mycobacterium tuberculosis 11306-09,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2537,ERR551476,Mycobacterium tuberculosis 1131-10,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2538,ERR551703,Mycobacterium tuberculosis 11331-06,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2539,ERR551343,Mycobacterium tuberculosis 11361-03,"2,668,688,026,116,180",S,S,R,,R,,,,R,R,R
1773.254,ERR551131,Mycobacterium tuberculosis 11362-03,"2,668,688,026,116,180",S,R,R,,R,,,,R,R,R
1773.2541,ERR550652,Mycobacterium tuberculosis 11365-03,"2,668,688,026,116,180",S,S,R,,R,,,,S,R,R
1773.2542,ERR553169,Mycobacterium tuberculosis 11366-03,"2,668,688,026,116,180",S,S,R,,R,,,,R,R,R
1773.2543,ERR550742,Mycobacterium tuberculosis 11368-07,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2544,ERR552852,Mycobacterium tuberculosis 1137-10,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2545,ERR553190,Mycobacterium tuberculosis 11372-03,"2,668,688,026,116,180",S,S,R,,R,,,,R,R,R
1773.2546,ERR551691,Mycobacterium tuberculosis 11404-09,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2547,ERR551498,Mycobacterium tuberculosis 11406-08,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2548,ERR552292,Mycobacterium tuberculosis 11429-10,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2549,ERR552334,Mycobacterium tuberculosis 11430-10,"2,668,688,026,116,180",,,S,,S,,,,S,S,R
1773.255,ERR553341,Mycobacterium tuberculosis 11467-12,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2551,ERR550803,Mycobacterium tuberculosis 11468-12,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2552,ERR551355,Mycobacterium tuberculosis 11493-10,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2553,ERR553240,Mycobacterium tuberculosis 11494-10,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2554,ERR551001,Mycobacterium tuberculosis 11535-12,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2555,ERR551163,Mycobacterium tuberculosis 11582-07,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2556,ERR551323,Mycobacterium tuberculosis 11583-07,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2557,ERR553100,Mycobacterium tuberculosis 11584-07,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2558,ERR550702,Mycobacterium tuberculosis 11586-07,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2559,ERR551756,Mycobacterium tuberculosis 1160-05,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.256,ERR552874,Mycobacterium tuberculosis 116-04,"2,668,688,026,116,180",S,S,S,,R,,,,S,S,R
1773.2561,ERR551473,Mycobacterium tuberculosis 11612-12,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2562,ERR553257,Mycobacterium tuberculosis 11613-12,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2563,ERR551402,Mycobacterium tuberculosis 11620-08,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2564,ERR553008,Mycobacterium tuberculosis 11626-12,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2565,ERR550954,Mycobacterium tuberculosis 11629-12,"2,668,688,026,116,180",,,S,,S,,,,R,S,S
1773.2566,ERR551144,Mycobacterium tuberculosis 1166-12,"2,668,688,026,116,180",,,S,,S,,,,S,S,R
1773.2567,ERR551669,Mycobacterium tuberculosis 11665-11,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2568,ERR550760,Mycobacterium tuberculosis 11664-11,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2569,ERR552571,Mycobacterium tuberculosis 117-04,"2,668,688,026,116,180",S,S,R,,R,,,,S,R,R
1773.257,ERR553331,Mycobacterium tuberculosis 11753-11,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2571,ERR552167,Mycobacterium tuberculosis 11760-08,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2572,ERR551593,Mycobacterium tuberculosis 1180-10,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2573,ERR552012,Mycobacterium tuberculosis 118-04,"2,668,688,026,116,180",S,S,R,,R,,,,R,R,R
1773.2574,ERR552742,Mycobacterium tuberculosis 1185-09,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2575,ERR551002,Mycobacterium tuberculosis 11857-07,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2576,ERR551046,Mycobacterium tuberculosis 11858-07,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2577,ERR551656,Mycobacterium tuberculosis 11859-07,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2578,ERR552903,Mycobacterium tuberculosis 1186-09,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2579,ERR552338,Mycobacterium tuberculosis 1186-11,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.258,ERR552613,Mycobacterium tuberculosis 1188-11,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2581,ERR553208,Mycobacterium tuberculosis 119-04,"2,668,688,026,116,180",R,R,R,,R,,,,R,R,R
1773.2582,ERR552438,Mycobacterium tuberculosis 11931-10,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2583,ERR550789,Mycobacterium tuberculosis 11933-08,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2584,ERR553307,Mycobacterium tuberculosis 11935-08,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2585,ERR552525,Mycobacterium tuberculosis 1197-11,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2586,ERR552114,Mycobacterium tuberculosis 1199-08,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2587,ERR553368,Mycobacterium tuberculosis 12000-10,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2588,ERR552384,Mycobacterium tuberculosis 120-04,"2,668,688,026,116,180",S,S,R,,R,,,,S,R,R
1773.2589,ERR552061,Mycobacterium tuberculosis 1203-08,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.259,ERR553052,Mycobacterium tuberculosis 1204-06,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2591,ERR551660,Mycobacterium tuberculosis 121-04,"2,668,688,026,116,180",S,S,S,,R,,,,R,R,R
1773.2592,ERR552795,Mycobacterium tuberculosis 12114-12,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2593,ERR550686,Mycobacterium tuberculosis 1212-06,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2594,ERR550925,Mycobacterium tuberculosis 12137-12,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2595,ERR551405,Mycobacterium tuberculosis 1231-05,"2,668,688,026,116,180",,,S,,S,,,,S,S,R
1773.2596,ERR550793,Mycobacterium tuberculosis 12355-12,"2,668,688,026,116,180",,,S,,S,,R,,S,S,R
1773.2597,ERR551234,Mycobacterium tuberculosis 1238-02,"2,668,688,026,116,180",,,S,,R,,,,S,R,S
1773.2598,ERR552694,Mycobacterium tuberculosis 12397-12,"2,668,688,026,116,180",,,S,,S,,,,S,S,R
1773.2599,ERR552256,Mycobacterium tuberculosis 1244-12,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.26,ERR552266,Mycobacterium tuberculosis 130-09,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2601,ERR552501,Mycobacterium tuberculosis 1301-05,"2,668,688,026,116,180",S,S,R,,R,,,,R,R,R
1773.2602,ERR551727,Mycobacterium tuberculosis 1310-05,"2,668,688,026,116,180",R,R,R,,R,,,,S,R,R
1773.2603,ERR551923,Mycobacterium tuberculosis 1311-05,"2,668,688,026,116,180",R,R,R,,R,,,,R,R,R
1773.2604,ERR551304,Mycobacterium tuberculosis 1312-05,"2,668,688,026,116,180",S,S,R,,R,,,,R,R,R
1773.2605,ERR553163,Mycobacterium tuberculosis 1313-05,"2,668,688,026,116,180",S,S,S,,R,,,,S,R,R
1773.2606,ERR552709,Mycobacterium tuberculosis 1314-05,"2,668,688,026,116,180",R,R,R,,R,,,,R,R,R
1773.2607,ERR550736,Mycobacterium tuberculosis 1315-05,"2,668,688,026,116,180",R,R,R,,R,,,,R,R,R
1773.2608,ERR551410,Mycobacterium tuberculosis 1319-05,"2,668,688,026,116,180",S,S,S,,R,,,,S,R,R
1773.2609,ERR551268,Mycobacterium tuberculosis 1323-08,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.261,ERR551368,Mycobacterium tuberculosis 1327-06,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2611,ERR551934,Mycobacterium tuberculosis 1339-07,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2612,ERR552062,Mycobacterium tuberculosis 134-06,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2613,ERR552831,Mycobacterium tuberculosis 1346-10,"2,668,688,026,116,180",,,S,,S,,,,S,S,R
1773.2614,ERR552459,Mycobacterium tuberculosis 1346-11,"2,668,688,026,116,180",,S,S,,R,,,,S,S,R
1773.2615,ERR551327,Mycobacterium tuberculosis 1355-10,"2,668,688,026,116,180",,,S,,S,,,,S,S,R
1773.2616,ERR553238,Mycobacterium tuberculosis 1373-06,"2,668,688,026,116,180",,,R,,R,,,,S,R,R
1773.2617,ERR551916,Mycobacterium tuberculosis 1373-08,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2618,ERR553065,Mycobacterium tuberculosis 1380-07,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2619,ERR552752,Mycobacterium tuberculosis 1398-07,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.262,ERR551664,Mycobacterium tuberculosis 1440-08,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2621,ERR552063,Mycobacterium tuberculosis 1441-09,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2622,ERR551008,Mycobacterium tuberculosis 1447-05,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2623,ERR550769,Mycobacterium tuberculosis 1457-09,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2624,ERR552773,Mycobacterium tuberculosis 1465-07,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2625,ERR551335,Mycobacterium tuberculosis 1468-06,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2626,ERR551876,Mycobacterium tuberculosis 1470-06,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2627,ERR550790,Mycobacterium tuberculosis 1471-06,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2628,ERR551270,Mycobacterium tuberculosis 1476-08,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2629,ERR551958,Mycobacterium tuberculosis 1482-07,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.263,ERR552092,Mycobacterium tuberculosis 1519-10,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2631,ERR550797,Mycobacterium tuberculosis 1520-10,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2632,ERR551271,Mycobacterium tuberculosis 1537-06,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2633,ERR553336,Mycobacterium tuberculosis 1553-05,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2634,ERR552975,Mycobacterium tuberculosis 1560-09,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2635,ERR551859,Mycobacterium tuberculosis 1563-10,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2636,ERR551394,Mycobacterium tuberculosis 1565-10,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2637,ERR551814,Mycobacterium tuberculosis 1568-10,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2638,ERR552626,Mycobacterium tuberculosis 1600-06,"2,668,688,026,116,180",S,S,R,,R,,,,S,R,R
1773.2639,ERR551781,Mycobacterium tuberculosis 1601-06,"2,668,688,026,116,180",S,S,R,,R,,,,R,R,R
1773.264,ERR550787,Mycobacterium tuberculosis 1602-06,"2,668,688,026,116,180",S,S,R,,R,,,,S,R,R
1773.2641,ERR551645,Mycobacterium tuberculosis 1603-06,"2,668,688,026,116,180",S,S,S,,R,,,,R,R,R
1773.2642,ERR552214,Mycobacterium tuberculosis 1616-09,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2643,ERR552601,Mycobacterium tuberculosis 1616-12,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2644,ERR553043,Mycobacterium tuberculosis 1618-09,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2645,ERR550986,Mycobacterium tuberculosis 164-10,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2646,ERR552175,Mycobacterium tuberculosis 1654-11,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2647,ERR553075,Mycobacterium tuberculosis 1732-05,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2648,ERR550710,Mycobacterium tuberculosis 1733-05,"2,668,688,026,116,180",,,S,,S,,,,S,S,R
1773.2649,ERR551349,Mycobacterium tuberculosis 1764-05,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.265,ERR553324,Mycobacterium tuberculosis 4276-09,25599400,,,S,,S,,,,,S,S
1773.265,ERR552268,Mycobacterium tuberculosis 1771-06,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2651,ERR552233,Mycobacterium tuberculosis 1831-10,"2,668,688,026,116,180",,,S,,S,,,,S,S,R
1773.2652,ERR552054,Mycobacterium tuberculosis 1833-10,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2653,ERR551783,Mycobacterium tuberculosis 184-09,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2654,ERR550617,Mycobacterium tuberculosis 1847-09,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
1773.2655,ERR551238,Mycobacterium tuberculosis 1877-06,"2,668,688,026,116,180",,,R,,R,,,,S,R,R
1773.2656,ERR552027,Mycobacterium tuberculosis 1880-09,"2,668,688,026,116,180",,,S,,S,,,,S,S,S
