Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,Lat_Lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,Isolate ID,Collection_Date,Isolation_Source,Host_disease,Number of Bases,Number of Reads,Number of Assembled Contigs,Assembly Size (bp),N50,%GC,Fold Coverage,MLST,Capsule Locus Type,Meropenem Etest MIC (mg/L),Ertapenem Etest MIC (mg/L),Imipenem Etest MIC (mg/L)
SRR14532043,WGS,302,342298276,PRJNA395086,SAMN17600122,Pathogen.cl,145634883,NORTHWESTERN UNIVERSITY FEINBERG SCHOOL OF MEDICINE,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX10876898,USA,North America,"USA: Chicago\, IL",Homo sapiens,Illumina HiSeq 4000,41.8945 N 87.6208 W,NU-CRE025,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2021-05-15T00:00:00Z,NU-CRE025,SRP319780,CRE-025,2011-04,urine,NA,342298276,2266876,522,5982364,134024,56.89,57,ST258,KL107,8,8,>32
SRR14532044,WGS,302,851561782,PRJNA395086,SAMN17600198,Pathogen.cl,342373885,NORTHWESTERN UNIVERSITY FEINBERG SCHOOL OF MEDICINE,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX10876897,USA,North America,"USA: Chicago\, IL",Homo sapiens,Illumina HiSeq 4000,41.8945 N 87.6208 W,NU-CRE156,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2021-05-15T00:00:00Z,NU-CRE156,SRP319780,CRE-156,2013-10,Non-bronchoscopic bronchoalveolar lavage,NA,851561782,5639482,460,5657046,181486,57.14,151,ST45,KL24,1,8,0.5
SRR14532045,WGS,302,752667654,PRJNA395086,SAMN17600197,Pathogen.cl,281970747,NORTHWESTERN UNIVERSITY FEINBERG SCHOOL OF MEDICINE,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX10876896,USA,North America,"USA: Chicago\, IL",Homo sapiens,Illumina HiSeq 4000,41.8945 N 87.6208 W,NU-CRE155,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2021-05-15T00:00:00Z,NU-CRE155,SRP319780,CRE-155,2013-10,Wound/Abscess,NA,752667654,4984554,293,5835383,151720,56.94,129,ST258,NA,8,>32,4
SRR14532046,WGS,302,841959692,PRJNA395086,SAMN17600196,Pathogen.cl,321814702,NORTHWESTERN UNIVERSITY FEINBERG SCHOOL OF MEDICINE,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX10876895,USA,North America,"USA: Chicago\, IL",Homo sapiens,Illumina HiSeq 4000,41.8945 N 87.6208 W,NU-CRE154,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2021-05-15T00:00:00Z,NU-CRE154,SRP319780,CRE-154,2013-10,urine,NA,841959692,5575892,385,5981901,150209,56.79,141,ST258,KL107,1,8,1
SRR14532047,WGS,302,773125436,PRJNA395086,SAMN17600195,Pathogen.cl,287282055,NORTHWESTERN UNIVERSITY FEINBERG SCHOOL OF MEDICINE,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX10876894,USA,North America,"USA: Chicago\, IL",Homo sapiens,Illumina HiSeq 4000,41.8945 N 87.6208 W,NU-CRE153,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2021-05-15T00:00:00Z,NU-CRE153,SRP319780,CRE-153,2013-10,urine,NA,773125436,5120036,339,5887904,130143,56.99,131,ST258,KL107,4,>32,4
SRR14532048,WGS,302,837281410,PRJNA395086,SAMN17600194,Pathogen.cl,305463219,NORTHWESTERN UNIVERSITY FEINBERG SCHOOL OF MEDICINE,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX10876893,USA,North America,"USA: Chicago\, IL",Homo sapiens,Illumina HiSeq 4000,41.8945 N 87.6208 W,NU-CRE152,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2021-05-15T00:00:00Z,NU-CRE152,SRP319780,CRE-152,2013-09,wound-abdominal,NA,837281410,5544910,214,5818151,134034,57.05,144,ST258,KL107,8,>32,2
SRR14532049,WGS,302,1529438834,PRJNA395086,SAMN17600193,Pathogen.cl,639772057,NORTHWESTERN UNIVERSITY FEINBERG SCHOOL OF MEDICINE,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX10876892,USA,North America,"USA: Chicago\, IL",Homo sapiens,Illumina HiSeq 4000,41.8945 N 87.6208 W,NU-CRE143,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2021-05-15T00:00:00Z,NU-CRE143,SRP319780,CRE-143,2013-07,urine,NA,1529438834,10128734,315,6009706,152205,56.74,254,ST258,KL107,1,4,2
SRR14532050,WGS,302,1366338298,PRJNA395086,SAMN17600192,Pathogen.cl,521085640,NORTHWESTERN UNIVERSITY FEINBERG SCHOOL OF MEDICINE,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX10876891,USA,North America,"USA: Chicago\, IL",Homo sapiens,Illumina HiSeq 4000,41.8945 N 87.6208 W,NU-CRE141,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2021-05-15T00:00:00Z,NU-CRE141,SRP319780,CRE-141,2013-07,blood,Bacteremia,1366338298,9048598,326,6084452,126389,56.81,225,ST258,KL107,4,>32,2
SRR14532051,WGS,295,609201011,PRJNA395086,SAMN17600191,Pathogen.cl,356047015,NORTHWESTERN UNIVERSITY FEINBERG SCHOOL OF MEDICINE,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX10876890,USA,North America,"USA: Chicago\, IL",Homo sapiens,Illumina MiSeq,41.8945 N 87.6208 W,NU-CRE138,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2021-05-15T00:00:00Z,NU-CRE138,SRP319780,CRE-138,2013-07,Non-bronchoscopic bronchoalveolar lavage,NA,609201011,4122634,230,5714171,204099,57.14,107,ST15,NA,2,2,4
SRR14532052,WGS,298,555407899,PRJNA395086,SAMN17600190,Pathogen.cl,320562688,NORTHWESTERN UNIVERSITY FEINBERG SCHOOL OF MEDICINE,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX10876889,USA,North America,"USA: Chicago\, IL",Homo sapiens,Illumina MiSeq,41.8945 N 87.6208 W,NU-CRE137,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2021-05-15T00:00:00Z,NU-CRE137,SRP319780,CRE-137,2013-07,urine,NA,555407899,3725920,245,5875850,220206,57.07,95,ST258,KL107,4,8,16
SRR14532053,WGS,302,615311108,PRJNA395086,SAMN17600189,Pathogen.cl,225130334,NORTHWESTERN UNIVERSITY FEINBERG SCHOOL OF MEDICINE,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX10876888,USA,North America,"USA: Chicago\, IL",Homo sapiens,Illumina HiSeq 4000,41.8945 N 87.6208 W,NU-CRE136,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2021-05-15T00:00:00Z,NU-CRE136,SRP319780,CRE-136,2013-07,Non-bronchoscopic bronchoalveolar lavage,NA,615311108,4074908,155,6010639,130292,56.73,102,ST258,KL107,4,8,2
SRR14532054,WGS,302,780199484,PRJNA395086,SAMN17600121,Pathogen.cl,329147792,NORTHWESTERN UNIVERSITY FEINBERG SCHOOL OF MEDICINE,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX10876887,USA,North America,"USA: Chicago\, IL",Homo sapiens,Illumina HiSeq 4000,41.8945 N 87.6208 W,NU-CRE023,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2021-05-15T00:00:00Z,NU-CRE023,SRP319780,CRE-023,2011-03,Endotracheal secretion,NA,780199484,5166884,478,5947503,130289,56.96,131,ST258,NA,16,>32,>32
SRR14532055,WGS,302,367017580,PRJNA395086,SAMN17600188,Pathogen.cl,136653752,NORTHWESTERN UNIVERSITY FEINBERG SCHOOL OF MEDICINE,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX10876886,USA,North America,"USA: Chicago\, IL",Homo sapiens,Illumina HiSeq 4000,41.8945 N 87.6208 W,NU-CRE135,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2021-05-15T00:00:00Z,NU-CRE135,SRP319780,CRE-135,2013-06,urine,NA,367017580,2430580,584,5701851,88995,57.08,64,ST15,KL112,2,4,1
SRR14532056,WGS,302,547355370,PRJNA395086,SAMN17600187,Pathogen.cl,223190147,NORTHWESTERN UNIVERSITY FEINBERG SCHOOL OF MEDICINE,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX10876885,USA,North America,"USA: Chicago\, IL",Homo sapiens,Illumina HiSeq 4000,41.8945 N 87.6208 W,NU-CRE133,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2021-05-15T00:00:00Z,NU-CRE133,SRP319780,CRE-133,2013-06,urine,NA,547355370,3624870,258,5690723,139053,57.16,96,ST258,KL107,2,8,2
SRR14532057,WGS,302,1097864828,PRJNA395086,SAMN17600186,Pathogen.cl,443158922,NORTHWESTERN UNIVERSITY FEINBERG SCHOOL OF MEDICINE,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX10876884,USA,North America,"USA: Chicago\, IL",Homo sapiens,Illumina HiSeq 4000,41.8945 N 87.6208 W,NU-CRE132,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2021-05-15T00:00:00Z,NU-CRE132,SRP319780,CRE-132,2013-06,blood,Bacteremia,1097864828,7270628,256,5784018,137517,57.12,190,ST258,NA,4,>32,4
SRR14532058,WGS,302,1263933118,PRJNA395086,SAMN17600185,Pathogen.cl,496808268,NORTHWESTERN UNIVERSITY FEINBERG SCHOOL OF MEDICINE,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX10876883,USA,North America,"USA: Chicago\, IL",Homo sapiens,Illumina HiSeq 4000,41.8945 N 87.6208 W,NU-CRE131,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2021-05-15T00:00:00Z,NU-CRE131,SRP319780,CRE-131,2013-05,urine,NA,1263933118,8370418,363,5859009,154281,57.03,216,ST258,NA,8,>32,8
SRR14532059,WGS,302,1102598376,PRJNA395086,SAMN17600184,Pathogen.cl,433410408,NORTHWESTERN UNIVERSITY FEINBERG SCHOOL OF MEDICINE,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX10876882,USA,North America,"USA: Chicago\, IL",Homo sapiens,Illumina HiSeq 4000,41.8945 N 87.6208 W,NU-CRE130,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2021-05-15T00:00:00Z,NU-CRE130,SRP319780,CRE-130,2013-05,urine,NA,1102598376,7301976,424,5876885,137330,56.98,188,ST258,NA,4,4,1
SRR14532060,WGS,302,1315410226,PRJNA395086,SAMN17600183,Pathogen.cl,529523002,NORTHWESTERN UNIVERSITY FEINBERG SCHOOL OF MEDICINE,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX10876881,USA,North America,"USA: Chicago\, IL",Homo sapiens,Illumina HiSeq 4000,41.8945 N 87.6208 W,NU-CRE129,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2021-05-15T00:00:00Z,NU-CRE129,SRP319780,CRE-129,2013-04,blood,Bacteremia,1315410226,8711326,169,5609304,130499,57.22,235,ST258,KL107,2,4,4
SRR14532061,WGS,302,1336171518,PRJNA395086,SAMN17600182,Pathogen.cl,538903579,NORTHWESTERN UNIVERSITY FEINBERG SCHOOL OF MEDICINE,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX10876880,USA,North America,"USA: Chicago\, IL",Homo sapiens,Illumina HiSeq 4000,41.8945 N 87.6208 W,NU-CRE127,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2021-05-15T00:00:00Z,NU-CRE127,SRP319780,CRE-127,2013-04,bronchoalveolar lavage,NA,1336171518,8848818,679,5862519,170342,56.98,228,ST258,KL107,8,8,16
SRR14532062,WGS,302,978635530,PRJNA395086,SAMN17600181,Pathogen.cl,398268986,NORTHWESTERN UNIVERSITY FEINBERG SCHOOL OF MEDICINE,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX10876879,USA,North America,"USA: Chicago\, IL",Homo sapiens,Illumina HiSeq 4000,41.8945 N 87.6208 W,NU-CRE124,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2021-05-15T00:00:00Z,NU-CRE124,SRP319780,CRE-124,2013-03,Endotracheal secretion,NA,978635530,6481030,782,5833554,132785,57.06,168,ST258,NA,4,8,4
SRR14532063,WGS,302,1105997688,PRJNA395086,SAMN17600180,Pathogen.cl,433593432,NORTHWESTERN UNIVERSITY FEINBERG SCHOOL OF MEDICINE,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX10876878,USA,North America,"USA: Chicago\, IL",Homo sapiens,Illumina HiSeq 4000,41.8945 N 87.6208 W,NU-CRE123,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2021-05-15T00:00:00Z,NU-CRE123,SRP319780,CRE-123,2013-03,urine,NA,1105997688,7324488,447,5868832,141981,57.03,188,ST258,KL107,2,8,2
SRR14532064,WGS,302,975668380,PRJNA395086,SAMN17600179,Pathogen.cl,393340194,NORTHWESTERN UNIVERSITY FEINBERG SCHOOL OF MEDICINE,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX10876877,USA,North America,"USA: Chicago\, IL",Homo sapiens,Illumina HiSeq 4000,41.8945 N 87.6208 W,NU-CRE122,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2021-05-15T00:00:00Z,NU-CRE122,SRP319780,CRE-122,2013-03,urine,NA,975668380,6461380,673,5792324,133091,57.13,168,ST258,KL107,4,8,4
SRR14532065,WGS,302,506449772,PRJNA395086,SAMN17600120,Pathogen.cl,216864078,NORTHWESTERN UNIVERSITY FEINBERG SCHOOL OF MEDICINE,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX10876876,USA,North America,"USA: Chicago\, IL",Homo sapiens,Illumina HiSeq 4000,41.8945 N 87.6208 W,NU-CRE019,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2021-05-15T00:00:00Z,NU-CRE019,SRP319780,CRE-019,2011-03,Non-bronchoscopic bronchoalveolar lavage,NA,506449772,3353972,685,6033415,130289,56.86,84,ST258,KL107,16,4,>32
SRR14532066,WGS,302,863703692,PRJNA395086,SAMN17600178,Pathogen.cl,323066741,NORTHWESTERN UNIVERSITY FEINBERG SCHOOL OF MEDICINE,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX10876875,USA,North America,"USA: Chicago\, IL",Homo sapiens,Illumina HiSeq 4000,41.8945 N 87.6208 W,NU-CRE121,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2021-05-15T00:00:00Z,NU-CRE121,SRP319780,CRE-121,2013-03,urine,NA,863703692,5719892,577,5922606,137623,57.03,146,ST258,NA,2,>32,1
SRR14532067,WGS,302,1044064736,PRJNA395086,SAMN17600177,Pathogen.cl,392165081,NORTHWESTERN UNIVERSITY FEINBERG SCHOOL OF MEDICINE,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX10876874,USA,North America,"USA: Chicago\, IL",Homo sapiens,Illumina HiSeq 4000,41.8945 N 87.6208 W,NU-CRE117,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2021-05-15T00:00:00Z,NU-CRE117,SRP319780,CRE-117,2012-12,urine,NA,1044064736,6914336,413,5945019,152205,56.95,176,ST258,KL107,8,>32,16
SRR14532068,WGS,302,1782092638,PRJNA395086,SAMN17600176,Pathogen.cl,720749021,NORTHWESTERN UNIVERSITY FEINBERG SCHOOL OF MEDICINE,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX10876873,USA,North America,"USA: Chicago\, IL",Homo sapiens,Illumina HiSeq 4000,41.8945 N 87.6208 W,NU-CRE115,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2021-05-15T00:00:00Z,NU-CRE115,SRP319780,CRE-115,2012-11,urine,NA,1782092638,11801938,559,6179500,129689,56.45,288,ST258,NA,8,16,8
SRR14532069,WGS,302,1387126468,PRJNA395086,SAMN17600175,Pathogen.cl,566559125,NORTHWESTERN UNIVERSITY FEINBERG SCHOOL OF MEDICINE,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX10876872,USA,North America,"USA: Chicago\, IL",Homo sapiens,Illumina HiSeq 4000,41.8945 N 87.6208 W,NU-CRE114,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2021-05-15T00:00:00Z,NU-CRE114,SRP319780,CRE-114,2012-11,urine,NA,1387126468,9186268,763,6275227,137534,56.27,221,ST258,KL107,1,2,1
SRR14532070,WGS,302,1095183672,PRJNA395086,SAMN17600174,Pathogen.cl,405156748,NORTHWESTERN UNIVERSITY FEINBERG SCHOOL OF MEDICINE,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX10876871,USA,North America,"USA: Chicago\, IL",Homo sapiens,Illumina HiSeq 4000,41.8945 N 87.6208 W,NU-CRE113,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2021-05-15T00:00:00Z,NU-CRE113,SRP319780,CRE-113,2012-11,bronchoalveolar lavage,NA,1095183672,7252872,493,6032044,130603,56.87,182,ST258,KL107,16,>32,16
SRR14532071,WGS,302,1345547108,PRJNA395086,SAMN17600173,Pathogen.cl,539369721,NORTHWESTERN UNIVERSITY FEINBERG SCHOOL OF MEDICINE,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX10876870,USA,North America,"USA: Chicago\, IL",Homo sapiens,Illumina HiSeq 4000,41.8945 N 87.6208 W,NU-CRE112,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2021-05-15T00:00:00Z,NU-CRE112,SRP319780,CRE-112,2012-11,urine,NA,1345547108,8910908,773,5983015,130289,56.93,225,ST258,KL107,8,>32,8
SRR14532072,WGS,302,987125052,PRJNA395086,SAMN17600172,Pathogen.cl,375909472,NORTHWESTERN UNIVERSITY FEINBERG SCHOOL OF MEDICINE,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX10876869,USA,North America,"USA: Chicago\, IL",Homo sapiens,Illumina HiSeq 4000,41.8945 N 87.6208 W,NU-CRE110,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2021-05-15T00:00:00Z,NU-CRE110,SRP319780,CRE-110,2012-10,urine,NA,987125052,6537252,935,6049125,129689,56.78,163,ST258,KL107,1,4,2
SRR14532073,WGS,302,1086579390,PRJNA395086,SAMN17600171,Pathogen.cl,429224538,NORTHWESTERN UNIVERSITY FEINBERG SCHOOL OF MEDICINE,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX10876868,USA,North America,"USA: Chicago\, IL",Homo sapiens,Illumina HiSeq 4000,41.8945 N 87.6208 W,NU-CRE109,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2021-05-15T00:00:00Z,NU-CRE109,SRP319780,CRE-109,2012-10,urine,NA,1086579390,7195890,2505,6499957,153939,56.79,167,ST45,KL24,4,>32,4
SRR14532074,WGS,302,1316110564,PRJNA395086,SAMN17600170,Pathogen.cl,504960994,NORTHWESTERN UNIVERSITY FEINBERG SCHOOL OF MEDICINE,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX10876867,USA,North America,"USA: Chicago\, IL",Homo sapiens,Illumina HiSeq 4000,41.8945 N 87.6208 W,NU-CRE107,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2021-05-15T00:00:00Z,NU-CRE107,SRP319780,CRE-107,2012-10,Wound/Abscess,NA,1316110564,8715964,518,5930859,143715,56.76,222,ST258,KL107,8,>32,4
