scientific_name,submitted_ftp,submitted_md5,sample_alias.x,country.x,fastq_ftp,fastq_md5,library_layout,shortFTP,sample_accession,Run,study_accession,analysis_accession,sample_alias.y,country.y,ciprofloxacin MIC,train_test
Escherichia coli,ftp.sra.ebi.ac.uk/vol1/ERZ390/ERZ390173/SAMEA3993579_Proj_1055_Antimicrobial_Susceptibility_data_format.txt,ff0bbe8465f85e6afb0bc469585796f9,sam_103239_20160518_DTU2016_560_PRJ1055_ESchericha_coli_15079197,Denmark,ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/005/ERR1417725/ERR1417725_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/005/ERR1417725/ERR1417725_2.fastq.gz,abce23eac9ab7732802d349291db9412;921c826182a0222a9eb8c0dcda8abda9,PAIRED,SAMEA3993579_,SAMEA3993579,ERR1417725,PRJEB14086,ERZ390173,sam_103239_20160518_DTU2016_560_PRJ1055_ESchericha_coli_15079197,Denmark,0.015,train
Escherichia coli,ftp.sra.ebi.ac.uk/vol1/ERZ390/ERZ390174/SAMEA3993580_Proj_1055_Antimicrobial_Susceptibility_data_format.txt,975a9c4c755d68d2d6159f66b6a87e25,sam_103239_20160518_DTU2016_561_PRJ1055_ESchericha_coli_15098887,Denmark,ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/006/ERR1417726/ERR1417726_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/006/ERR1417726/ERR1417726_2.fastq.gz,c62c3d3caf6e9511fcb83f08e372bd1b;90bf2d5dc1566db3246ebca300ccabf6,PAIRED,SAMEA3993580_,SAMEA3993580,ERR1417726,PRJEB14086,ERZ390174,sam_103239_20160518_DTU2016_561_PRJ1055_ESchericha_coli_15098887,Denmark,0.015,train
Escherichia coli,ftp.sra.ebi.ac.uk/vol1/ERZ390/ERZ390175/SAMEA3993581_Proj_1055_Antimicrobial_Susceptibility_data_format.txt,28352506bbc9993ca1635eef089271d2,sam_103239_20160518_DTU2016_562_PRJ1055_ESchericha_coli_15089122,Denmark,ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/007/ERR1417727/ERR1417727_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/007/ERR1417727/ERR1417727_2.fastq.gz,8954f55e72c4bbc330ad09e74bd7291b;5547124339dfe610a3f08397e7abbf85,PAIRED,SAMEA3993581_,SAMEA3993581,ERR1417727,PRJEB14086,ERZ390175,sam_103239_20160518_DTU2016_562_PRJ1055_ESchericha_coli_15089122,Denmark,0.015,train
Escherichia coli,ftp.sra.ebi.ac.uk/vol1/ERZ390/ERZ390176/SAMEA3993583_Proj_1055_Antimicrobial_Susceptibility_data_format.txt,edd261323e3be6cd633880fa6d0c430f,sam_103239_20160518_DTU2016_564_PRJ1055_ESchericha_coli_15093354,Denmark,ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/009/ERR1417729/ERR1417729_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/009/ERR1417729/ERR1417729_2.fastq.gz,fec08ed5bba3962a0e6949bbf486cf95;2ce51e99c67a3265f1272a876acf7e4b,PAIRED,SAMEA3993583_,SAMEA3993583,ERR1417729,PRJEB14086,ERZ390176,sam_103239_20160518_DTU2016_564_PRJ1055_ESchericha_coli_15093354,Denmark,0.015,train
Escherichia coli,ftp.sra.ebi.ac.uk/vol1/ERZ390/ERZ390177/SAMEA3993584_Proj_1055_Antimicrobial_Susceptibility_data_format.txt,faf1b83d510f7f8031cbf29579fe9f5a,sam_103239_20160518_DTU2016_565_PRJ1055_ESchericha_coli_15079953,Denmark,ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/000/ERR1417730/ERR1417730_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/000/ERR1417730/ERR1417730_2.fastq.gz,67e289ef42c6052847988a65e868cad8;e926a554e8313fdb59b241a3b499d6ab,PAIRED,SAMEA3993584_,SAMEA3993584,ERR1417730,PRJEB14086,ERZ390177,sam_103239_20160518_DTU2016_565_PRJ1055_ESchericha_coli_15079953,Denmark,0.015,train
Escherichia coli,ftp.sra.ebi.ac.uk/vol1/ERZ390/ERZ390178/SAMEA3993585_Proj_1055_Antimicrobial_Susceptibility_data_format.txt,3a281eb9a63002a715bcbffcf28847b3,sam_103239_20160518_DTU2016_566_PRJ1055_ESchericha_coli_15097577,Denmark,ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/001/ERR1417731/ERR1417731_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/001/ERR1417731/ERR1417731_2.fastq.gz,f3a7fc87a0c9df2114442027e02e18c8;7b265e3252c2589680e783f924ca530e,PAIRED,SAMEA3993585_,SAMEA3993585,ERR1417731,PRJEB14086,ERZ390178,sam_103239_20160518_DTU2016_566_PRJ1055_ESchericha_coli_15097577,Denmark,0.015,train
Escherichia coli,ftp.sra.ebi.ac.uk/vol1/ERZ390/ERZ390179/SAMEA3993586_Proj_1055_Antimicrobial_Susceptibility_data_format.txt,54f5d512aef6a3b5b6fbd2c984e842d6,sam_103239_20160518_DTU2016_567_PRJ1055_ESchericha_coli_15102768,Denmark,ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/002/ERR1417732/ERR1417732_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/002/ERR1417732/ERR1417732_2.fastq.gz,c4385c2a58b11dcb347c47763335aa97;402f4a16b937839521944d8b9550a585,PAIRED,SAMEA3993586_,SAMEA3993586,ERR1417732,PRJEB14086,ERZ390179,sam_103239_20160518_DTU2016_567_PRJ1055_ESchericha_coli_15102768,Denmark,0.015,train
Escherichia coli,ftp.sra.ebi.ac.uk/vol1/ERZ390/ERZ390180/SAMEA3993587_Proj_1055_Antimicrobial_Susceptibility_data_format.txt,a791671c4f25efcec71924972f2e5e8a,sam_103239_20160518_DTU2016_568_PRJ1055_ESchericha_coli_15090208,Denmark,ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/003/ERR1417733/ERR1417733_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/003/ERR1417733/ERR1417733_2.fastq.gz,93d88e9a0888a59cb301fac3ec5e00af;449ddc8bd3631ee7d0755ccc34b9e56d,PAIRED,SAMEA3993587_,SAMEA3993587,ERR1417733,PRJEB14086,ERZ390180,sam_103239_20160518_DTU2016_568_PRJ1055_ESchericha_coli_15090208,Denmark,0.015,train
Escherichia coli,ftp.sra.ebi.ac.uk/vol1/ERZ390/ERZ390181/SAMEA3993588_Proj_1055_Antimicrobial_Susceptibility_data_format.txt,3cedfcfde1f5177ed8f7820c18dc82d3,sam_103239_20160518_DTU2016_569_PRJ1055_ESchericha_coli_15085381,Denmark,ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/004/ERR1417734/ERR1417734_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/004/ERR1417734/ERR1417734_2.fastq.gz,f679f185c35eb352cec51853ad8f0291;a6bb3aa85d1035472db6e481b2e7de5a,PAIRED,SAMEA3993588_,SAMEA3993588,ERR1417734,PRJEB14086,ERZ390181,sam_103239_20160518_DTU2016_569_PRJ1055_ESchericha_coli_15085381,Denmark,0.015,train
Escherichia coli,ftp.sra.ebi.ac.uk/vol1/ERZ390/ERZ390182/SAMEA3993591_Proj_1055_Antimicrobial_Susceptibility_data_format.txt,2d31adf2b7df275fb3e6fc0fb9f421d2,sam_103239_20160518_DTU2016_572_PRJ1055_ESchericha_coli_15093352,Denmark,ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/007/ERR1417737/ERR1417737_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/007/ERR1417737/ERR1417737_2.fastq.gz,5fce43cf91ad03f24f56f011be613fb9;de34955121f4bffb5013b366dad33815,PAIRED,SAMEA3993591_,SAMEA3993591,ERR1417737,PRJEB14086,ERZ390182,sam_103239_20160518_DTU2016_572_PRJ1055_ESchericha_coli_15093352,Denmark,0.015,train
Escherichia coli,ftp.sra.ebi.ac.uk/vol1/ERZ390/ERZ390183/SAMEA3993592_Proj_1055_Antimicrobial_Susceptibility_data_format.txt,e16ea84ee237ac336a75e469ef01b8ce,sam_103239_20160518_DTU2016_573_PRJ1055_ESchericha_coli_15093651,Denmark,ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/008/ERR1417738/ERR1417738_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/008/ERR1417738/ERR1417738_2.fastq.gz,d8c14c5148b8ad68b4215756adb438af;26658aa3c35fe79b9ec935d56558fa39,PAIRED,SAMEA3993592_,SAMEA3993592,ERR1417738,PRJEB14086,ERZ390183,sam_103239_20160518_DTU2016_573_PRJ1055_ESchericha_coli_15093651,Denmark,0.015,train
Escherichia coli,ftp.sra.ebi.ac.uk/vol1/ERZ390/ERZ390184/SAMEA3993594_Proj_1055_Antimicrobial_Susceptibility_data_format.txt,2e820ba290f7c05da49efffec0ed5f77,sam_103239_20160518_DTU2016_575_PRJ1055_ESchericha_coli_15097557,Denmark,ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/000/ERR1417740/ERR1417740_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/000/ERR1417740/ERR1417740_2.fastq.gz,6b30916053eac0ac6a4a70bdb628d6ad;dc8a623b56a66ecf20099fd2c14f0059,PAIRED,SAMEA3993594_,SAMEA3993594,ERR1417740,PRJEB14086,ERZ390184,sam_103239_20160518_DTU2016_575_PRJ1055_ESchericha_coli_15097557,Denmark,0.015,train
Escherichia coli,ftp.sra.ebi.ac.uk/vol1/ERZ390/ERZ390185/SAMEA3993595_Proj_1055_Antimicrobial_Susceptibility_data_format.txt,74ef299c9767cc42b996b89ce46c35e1,sam_103239_20160518_DTU2016_576_PRJ1055_ESchericha_coli_15097580,Denmark,ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/001/ERR1417741/ERR1417741_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/001/ERR1417741/ERR1417741_2.fastq.gz,6d8826d69aebfbf475e5fd2878957bb4;7d51205e3f857eed99c4683e4095ba71,PAIRED,SAMEA3993595_,SAMEA3993595,ERR1417741,PRJEB14086,ERZ390185,sam_103239_20160518_DTU2016_576_PRJ1055_ESchericha_coli_15097580,Denmark,0.03,train
Escherichia coli,ftp.sra.ebi.ac.uk/vol1/ERZ390/ERZ390186/SAMEA3993596_Proj_1055_Antimicrobial_Susceptibility_data_format.txt,7ee48edf3b9992cbffe5129aef11c43a,sam_103239_20160518_DTU2016_577_PRJ1055_ESchericha_coli_15097617,Denmark,ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/002/ERR1417742/ERR1417742_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/002/ERR1417742/ERR1417742_2.fastq.gz,cf9528ffaeb913d667150d77a4707829;b1730827f9774992e86454122864a5fb,PAIRED,SAMEA3993596_,SAMEA3993596,ERR1417742,PRJEB14086,ERZ390186,sam_103239_20160518_DTU2016_577_PRJ1055_ESchericha_coli_15097617,Denmark,0.015,train
Escherichia coli,ftp.sra.ebi.ac.uk/vol1/ERZ390/ERZ390187/SAMEA3993597_Proj_1055_Antimicrobial_Susceptibility_data_format.txt,a6f8b37fea7bd0c92f5d7c1d83d0409a,sam_103239_20160518_DTU2016_578_PRJ1055_ESchericha_coli_15100418,Denmark,ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/003/ERR1417743/ERR1417743_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/003/ERR1417743/ERR1417743_2.fastq.gz,18280951d3e9b0b2010af14ed21fad21;a7512f1cf61fb383cae023f26067efbd,PAIRED,SAMEA3993597_,SAMEA3993597,ERR1417743,PRJEB14086,ERZ390187,sam_103239_20160518_DTU2016_578_PRJ1055_ESchericha_coli_15100418,Denmark,0.015,train
Escherichia coli,ftp.sra.ebi.ac.uk/vol1/ERZ390/ERZ390188/SAMEA3993598_Proj_1055_Antimicrobial_Susceptibility_data_format.txt,804f5984a548a44e1e01ee7b39ce1de1,sam_103239_20160518_DTU2016_579_PRJ1055_ESchericha_coli_15101403,Denmark,ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/004/ERR1417744/ERR1417744_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/004/ERR1417744/ERR1417744_2.fastq.gz,67e543dfdc876e7ae9a11f9b37b129cb;79bed2f62b45831a377660f319a2f512,PAIRED,SAMEA3993598_,SAMEA3993598,ERR1417744,PRJEB14086,ERZ390188,sam_103239_20160518_DTU2016_579_PRJ1055_ESchericha_coli_15101403,Denmark,0.015,train
Escherichia coli,ftp.sra.ebi.ac.uk/vol1/ERZ390/ERZ390189/SAMEA3993599_Proj_1055_Antimicrobial_Susceptibility_data_format.txt,fbba3fe804248e9c92bc334d13ccb651,sam_103239_20160518_DTU2016_580_PRJ1055_ESchericha_coli_15104250,Denmark,ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/005/ERR1417745/ERR1417745_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/005/ERR1417745/ERR1417745_2.fastq.gz,582038aa75701eccfa59b3953a829250;34ec904d3b94d0b11d93d2d98c18cd81,PAIRED,SAMEA3993599_,SAMEA3993599,ERR1417745,PRJEB14086,ERZ390189,sam_103239_20160518_DTU2016_580_PRJ1055_ESchericha_coli_15104250,Denmark,0.03,train
Escherichia coli,ftp.sra.ebi.ac.uk/vol1/ERZ390/ERZ390190/SAMEA3993601_Proj_1055_Antimicrobial_Susceptibility_data_format.txt,aed9cf54ba15847a8bdac9b4f58d534c,sam_103239_20160518_DTU2016_582_PRJ1055_ESchericha_coli_15116853,Denmark,ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/007/ERR1417747/ERR1417747_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/007/ERR1417747/ERR1417747_2.fastq.gz,801385fb39afd78a9f8e43a1bcb2751b;fa034d2e6be12329dcdc8197c37fb156,PAIRED,SAMEA3993601_,SAMEA3993601,ERR1417747,PRJEB14086,ERZ390190,sam_103239_20160518_DTU2016_582_PRJ1055_ESchericha_coli_15116853,Denmark,0.015,train
Escherichia coli,ftp.sra.ebi.ac.uk/vol1/ERZ390/ERZ390191/SAMEA3993604_Proj_1055_Antimicrobial_Susceptibility_data_format.txt,0cca061db16fa3f9a22e195490b25aa7,sam_103239_20160518_DTU2016_585_PRJ1055_ESchericha_coli_15080719,Denmark,ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/000/ERR1417750/ERR1417750_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/000/ERR1417750/ERR1417750_2.fastq.gz,65c60a1d0a59b70e150a947a6241146c;6ec2c996cdbec560e6d121e1ff174555,PAIRED,SAMEA3993604_,SAMEA3993604,ERR1417750,PRJEB14086,ERZ390191,sam_103239_20160518_DTU2016_585_PRJ1055_ESchericha_coli_15080719,Denmark,0.015,train
Escherichia coli,ftp.sra.ebi.ac.uk/vol1/ERZ390/ERZ390192/SAMEA3993605_Proj_1055_Antimicrobial_Susceptibility_data_format.txt,3702444a019164960cd61e481c095a73,sam_103239_20160518_DTU2016_586_PRJ1055_ESchericha_coli_15085380,Denmark,ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/001/ERR1417751/ERR1417751_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/001/ERR1417751/ERR1417751_2.fastq.gz,ff7d1e8099528db1ae85a4d78187a560;7fb219a26310e4d53b228a0fa8c7ef53,PAIRED,SAMEA3993605_,SAMEA3993605,ERR1417751,PRJEB14086,ERZ390192,sam_103239_20160518_DTU2016_586_PRJ1055_ESchericha_coli_15085380,Denmark,0.015,train
Escherichia coli,ftp.sra.ebi.ac.uk/vol1/ERZ390/ERZ390193/SAMEA3993607_Proj_1055_Antimicrobial_Susceptibility_data_format.txt,043675c6683bb3b86d0bf3f1cfb1c0f4,sam_103239_20160518_DTU2016_588_PRJ1055_ESchericha_coli_15080851,Denmark,ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/003/ERR1417753/ERR1417753_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/003/ERR1417753/ERR1417753_2.fastq.gz,74450da3b784e0d2523e8488be457edb;75387607e7bfd8a2d442646bddcaa0ee,PAIRED,SAMEA3993607_,SAMEA3993607,ERR1417753,PRJEB14086,ERZ390193,sam_103239_20160518_DTU2016_588_PRJ1055_ESchericha_coli_15080851,Denmark,0.015,train
Escherichia coli,ftp.sra.ebi.ac.uk/vol1/ERZ390/ERZ390194/SAMEA3993608_Proj_1055_Antimicrobial_Susceptibility_data_format.txt,ba42ad1bddc45ad940ac7f80858dd277,sam_103239_20160518_DTU2016_589_PRJ1055_ESchericha_coli_15089666,Denmark,ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/004/ERR1417754/ERR1417754_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/004/ERR1417754/ERR1417754_2.fastq.gz,62f1d1592760e535c1efd60e321bd2e3;69ffbfb1f4187df93a4450d8c016e136,PAIRED,SAMEA3993608_,SAMEA3993608,ERR1417754,PRJEB14086,ERZ390194,sam_103239_20160518_DTU2016_589_PRJ1055_ESchericha_coli_15089666,Denmark,0.015,train
Escherichia coli,ftp.sra.ebi.ac.uk/vol1/ERZ390/ERZ390195/SAMEA3993609_Proj_1055_Antimicrobial_Susceptibility_data_format.txt,a481e48b08f63591a57bf97fe9e36ef8,sam_103239_20160518_DTU2016_590_PRJ1055_ESchericha_coli_15090169,Denmark,ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/005/ERR1417755/ERR1417755_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/005/ERR1417755/ERR1417755_2.fastq.gz,f6e0a4a88e3e7918a3b13de4c51451b1;f5807ccb5bb94b740707158e426e4ca8,PAIRED,SAMEA3993609_,SAMEA3993609,ERR1417755,PRJEB14086,ERZ390195,sam_103239_20160518_DTU2016_590_PRJ1055_ESchericha_coli_15090169,Denmark,0.015,train
